"sentence","emotion A1","emotion A2","emotion A3"
"যাক পুরোটা ঠিক ঠাক ভাবে সাজানো হয়ে গেছে।
","5","5","5"
" সন্ধ্যের অন্ধকারে ঝলমল করবে বাড়িটা।
","5","5","5"
" এবার একটু নিশ্চিন্তে বসা যাবে।
","5","5","5"
" কোমরে হাত দিয়ে পুরো হলটায় একবার ভালো করে দেখে নিল পিউ ,কোথাও কিছু ভুল হয়নি তো… উফ্ִ এই তিনদিন যা ঝামেলা গেল ।
","5","5","5"
" অবশ্য বিয়ে বাড়ি মানেই ঝামেলা।
","5","5","5"
" নিলয়ের আবার কিছুই পছন্দ হয়না আর পছন্দ করতেও পারেনা ।
","5","5","5"
" সব কিছুতেই পিউ।
","5","5","5"
" কি শার্ট পরবে, পিউ জানে ।
","5","5","5"
"বেডকভার কেমন হবে ,পিউ … এমনকি অফিসে ঝামেলা হলেও ,পিউ।
","5","5","5"
" গত পাঁচ বছরে বেচারা মোবাইলটা মুহুর্তের জন্যও শান্তি পায়নি… হলের একপাশটাই একা একাই হাসছে পিউ।
","5","5","5"
" কিভাবে যে এমন একটা ছেলের প্রেমে পড়ল সেটাই ভাবার বিষয়… সেদিনটা ছিল কলেজের বাৎষরিক অনুষ্ঠান ।
","5","5","5"
" সন্ধ্যেই অনুষ্ঠানে যাবার জন্য আপন মনে একটু সাজগোজ করছিল, হঠাৎ একটা অজানা নাম্বার থেকে একটা কল এলো।
","5","5","5"
" - হ্যালো ও প্রান্ত থেকে একটা পুরুষ কণ্ঠ কাঁপা কাঁপা গলায় বললো… -হ্যালো , আমার হাতে দুটো শার্ট আছে একটা ডীপ ব্লু আর একটা মেরুন কালারের।
","5","5","5"
" কোনটা পরি বলুন তো…?
","5","5","5"
" - মানে ! রং নাম্বার ?
","5","5","5"
" বলেই লাইনটা কেটে দিতে যাচ্ছিল পিউ।
","5","5","5"
" ও প্রান্ত থেকে আবার বললো - প্লিজ একটু হেল্প করুননা, আমি ঠিক বুঝতে পারছিনা কোনটা পরা উচিত ।
","5","5","5"
" - দেখুন, আমি তো আপনাকে দেখিনি তাই বলতে পারছিনা সরি।
","5","5","5"
" - আমার চেহারা মটামুটি সুন্দর বলা চলে, পরিষ্কার, লম্বা , একটু আন্দাজ করে বলুন না প্লিজ।
","5","5","5"
" পিউ এবার হেসেই ফেললো, - আচ্ছা ব্লু টা পরুন ।
","5","5","5"
" - ও আচ্ছা বলেই লাইনটা কেটে দিল ছেলেটা।
","5","5","5"
" তারপর থেকেই এরকম কল প্রায়ই আসতে লাগলো… তারপর কবে যে ওদের প্রেমটা জমে উঠল কেউ বোঝেনি।
","5","5","5"
" সেদিনের সেই কনফিউজড ছেলেটাই হলো নিলয়।
","5","5","5"
" 'পিউ ' নিলয়ের ডাক শুনে পিছনে ফিরল পিউ, যেন অনেক গুলো বছর এগিয়ে চলে গেছল।
","5","5","5"
" দেখল , দুহাতে দুটো শার্ট নিয়ে গোবেচারার মতো দাঁড়িয়ে রয়েছে নিলয়।
","5","5","5"
" চোখে মুখে সেই প্রথম দিনের সারল্য… হো হো করে হেসে উঠলো পিউ।
","5","5","5"
" - এখনো ! এবার তো আপনি বিবাহিত মশাই ।
","5","5","5"
" আর আমি না, এবার থেকে নিজে নিজেই ঠিক করো।
","5","5","5"
" নিলয় মুখে কিছু বললো না শুধু চোখ দুটো ছলছল করে তাকিয়ে রইলো… পিউ কিছু বলতে যেয়েও চুপ করে গেলো, নিলয়ের চোখ গুলো সত্যি খুব সুন্দর।
","5","5","5"
" যতোবার দেখে ততোবারই নতুন ভাবে প্রেমে পড়ে যায়।
","5","5","5"
" এবার মুচকি হেসে নিলয়ের কাছে এগিয়ে গেল পিউ।
","5","5","5"
" - এই লাস্ট বার কিন্তু।
","5","5","5"
" আর পারবনা।
","5","5","5"
" এই শার্ট টাই পরো।
","5","5","5"
" পার্পেল কালারটা তোমাকে খুব মানায়।
","5","5","5"
" মুখে মলিন হাসি নিয়ে নিলয় শার্টটা নিয়ে ভেতরে চলে গেলো।
","5","5","5"
" পিউ নিলয়ের চলে যাওয়ার দিকে তাকিয়ে রইল।
","5","5","5"
