"sentence","emotion A1","emotion A2","emotion A3"
"জানো সুনি, আজকে আমার 'লেখা পাচ্ছে'।
","5","5","5"
" হাসছো তো! আসলে কথাটা তোমার মুখে মানাত, শুনে আমি খুব হাসতাম।
","5","5","5"
" কিন্তু আজ এত দিন, এত বছর পর খুব ইচ্ছা করলো একবার কথাটা বলার।
","5","5","5"
" তোমার কখন 'লেখা পেত' মনে আছে?
","5","5","5"
" যখন তুমি খুব আপসেট থাকতে, কিংবা রেগে যেতে, তখন তোমার গোপন ডায়রির পাতার পর পাতা ভরে যেত তোমার মুক্তোর মতো হাতের লেখায়?
","5","5","5"
" যে কথাগুলো মুখে তুমি প্রকাশ করতে পারতে না, সেগুলো স্বচ্ছন্দ হয়ে কলমের মুখে চলে আসত যেন।
","5","5","5"
" ঝড়ের বেগে হাত চলত।
","5","5","5"
" তুমি চোখ ভর্তি জল নিয়ে বলতে ""খুব 'লেখা পেয়েছিল', তাই লিখে ফেললাম।
","5","5","5"
""" মানুষের খিদে পায়, তেষ্টা পায়, আর তোমার 'লেখা পেত'।
","5","5","5"
" এখনো কি তোমার 'লেখা পায়' গো?
","5","5","5"
" কোথায় আছ সুনি এখন?
","5","5","5"
" একবারও দেখতে ইচ্ছা করে না আমি কেমন আছি?
","5","5","5"
" একবারও জানতে ইচ্ছা করে না যে যতটা ভালো রাখার জন্য আমাকে ছেড়ে গিয়েছিলে, ততটা ভালো আমি থাকতে পেরেছি কিনা?
","5","5","5"
" কেউ আমাকে ততটা ভালো রাখতে পেরেছে কিনা?
","5","5","5"
" মনে পড়ে তুমি বলতে, তুমি আমাকে ছেড়ে চলে গেলে নাকি আরও ভালো কেউ আসবে আমার জীবনে, যে আমাকে 'খুশি' করতে পারবে?
","5","5","5"
" রমা এসেছে বছর দশেক আগে।
","5","5","5"
" বিয়ে করেছি ওকে।
","5","5","5"
" ভালবেসে নয়, শুধুমাত্র তোমার ইচ্ছা পূরণের জন্য।
","5","5","5"
" তুমি যে চেয়েছিলে, আমি বিয়ে করে সংসারী হই।
","5","5","5"
" ও আমাকে 'খুশি' করতে পেরেছে, কিন্তু 'সুখী' করতে পারেনি যে।
","5","5","5"
" প্রত্যেকটা দিন সকালে উঠে ওর মুখে তোমার আদল খুঁজি জানো।
","5","5","5"
" প্রত্যেকটা রাতে ওর শরীরে তোমার শরীরের চেনা গন্ধটা পেতে চাই।
","5","5","5"
" আমাদের মেয়ে সুনন্দা।
","5","5","5"
" ওকেও ডাকি সুনি বলে।
","5","5","5"
" ভাবি, বারবার তোমার নাম ধরে ডাকলে যদি আমার এই ডাক পৌঁছায় তোমার কানে।
","5","5","5"
" ওদের আমি সব কিছু দিয়েছি জানো, কোন কিছুর ত্রুটি রাখিনি।
","5","5","5"
" ওদের সব চাহিদা পূরণ করেছি।
","5","5","5"
" শুধু দিতে পারিনি একটা জিনিস - 'মন'।
","5","5","5"
" খেয়াল আছে, তুমি আমার দেওয়া সব জিনিস ফেরৎ দিয়ে গিয়েছিলে।
","5","5","5"
" শুধু ফেরত দাওনি আমার মনটা, কারণ সেটাই ছিল আমার তরফ থেকে তোমাকে দেওয়া প্রথম উপহার।
","5","5","5"
" আজও সেটা রয়ে গেছে তোমার কাছে।
","5","5","5"
" এই চোদ্দটা বসন্ত পেরিয়েও তুমিই তার অধিকারী।
","5","5","5"
" ছন্দাকে মনে আছে?
","5","5","5"
" আমার প্রথম গার্লফ্রেন্ড?
","5","5","5"
" ওর সাথে ব্রেকআপ-এর পরপরই তুমি এসেছিলে আমার জীবনে।
","5","5","5"
" বন্ধু হিসাবে।
","5","5","5"
" আমার পাস্ট লাইফ জানতে চেয়েছিলে।
","5","5","5"
" কেন জানি না, যে কথাগুলো কোনো দিন কাউকে বলতে পারিনি, গড়গড় করে বলেছিলাম তোমাকে।
","5","5","5"
" আমাকে সান্ত্বনা দিয়ে তুমি বলেছিলে, তোমারও একটা পাস্ট লাইফ আছে।
","5","5","5"
" কিন্তু সেটা আমাকে বলোনি কোনো দিন।
","5","5","5"
" আমি জানতেও চাইনি।
","5","5","5"
" বন্ধুত্বপূর্ণ দিনগুলো কাটছিল ভালোই।
","5","5","5"
" কিন্তু হঠাৎ তুমি ভয় পেয়ে গেলে।
","5","5","5"
" বললে এই বন্ধুত্ব আর রাখবে না।
","5","5","5"
" আমি কারণ জানতে চেয়েছিলাম।
","5","5","5"
" তুমি বলেছিলে, এই বন্ধুত্ব সমাজের চোখে লাগবে।
","5","5","5"
" তোমার পার্সোনাল লাইফে নাকি এই বন্ধুত্বের(যদিও বন্ধুত্বটা ততদিনে সম্পর্কে পরিণত হয়েছিল) কারনে অনেক কম্প্লিকেশন এসেছে।
","5","5","5"
" আমি জানতে চাইনি 'কি কম্প্লিকেশন?
","5","5","5"
