"sentence","emotion A1","emotion A2","emotion A3"
"মাধ্যমিক পাশ করে দাদার কাছে গিয়ে শুনতে পেলাম দাদা আর পড়াবে না আমাদের।
","5","5","5"
" কারন বিবেক দা ষ্কুল থেকে এসে খুব ক্লান্ত হয়ে পরে তার পর আবার এতো গুলো স্টুডেন কে পড়াতে বসা হয় নাকি।
","5","5","5"
" তাই নতুন এক শিক্ষকের কাছে ভর্তি হলাম আজ বিকাল থেকে যেতে হবে পড়তে, বিকালে পড়তে গিয়ে কিছু চেনা আর কিছু অচেনা মুখ দেখতে পেলাম চেনা বলতে বিবেক দার কচিং এ পরতাম এক সঙ্গে কিন্তু অচেনা মুখ গুলো তো দেখি নি কোনো দিন।
","5","5","5"
" সব কিছু আমার কাছে একদাম নতুন নতুন লাগছে হঠাৎ একজন বললো তোর নাম কী,  আমি রুদ্র মন্ডল।
","5","5","5"
"নাম বলেই কে জিগ্গাসা করলো দেখতে গিয়ে দেখি দুটো কোমল কাজল মাখা চোখে মুক্ত ঝরা হাসি নিয়ে দেখছে আমার দিকে।
","5","5","5"
" আমি ভয় ভয় করে বলেই ফেলি আর তোমার নাম , আমি মনোরমা সরকার।
","5","5","5"
" তার পর সে সবার সঙ্গে আলাপ করিয়ে দিল আমার।
","5","5","5"
" কিছু দিনের মধ্যে সব কিছু আমার খুব ভালো করে চেনা হয়েগেছে এখন সবাই ভালো বন্ধু আমার।
","5","5","5"
" আর সব থেকে ভালো বন্ধু হল মনোরমা, কিন্তু মনোরমা যেনো একটু অন্যরকম মনে হয় এখনো বাচ্চা আছে সবসময় ছটপট ছটপট করে কখনো আবার স্যারের সামনে গান করে মার খেয়ে কাঁদার বদলে হাঁসে,সে যেনো এক অদ্ভুত মেয়ে কখনো চুপকরে বসে থাকতে পারে না।
","5","5","5"
" আমি ওকে মনো বলেই ডাকি এখন।
","5","5","5"
"এক দিন স্যার পড়াছেন হঠাৎ একটা পেন আমার কাছে ছিটকে আসে মাথা তুলে দেখি মনোর পেন,হ্যাঁ আর কে হবে  পেন নিয়ে খেলছিলো আর আমাকে খেলার জন্য আহবান জানাছে স্যারের চোখে পরলো ঘটনা ব্যাস মার খেতে হলো।
","5","5","5"
" বাইরে বেইরে দাঁড়িয়ে আছি আজ মনো গেল কিন্তু মনো এসে হালকা ভাবে বললো Sorry রে আমার জন্যে তুই মারখেলি।
","5","5","5"
" ব্যাস আর কি বলবো ওর মিষ্টি কথায় সব ভুলে গেলাম তারপর রাস্তা ধরে এক সঙ্গে হাঁটতে লাগলাম ওর কথা শুনতে শুনতে কখন যে কাছাকাছি চলে এসেছি ওর হাতের সঙ্গে আমার হাতের একটা ছোঁয়া আমাকে এতটা জরে কারেন্ট মারবে বুঝতে পারি নি।
","5","5","5"
"তার পর দু জনে একটু দূরে সরে গেলাম।
","5","5","5"
" দু দিন পরে পড়তে গিয়ে কচিং এর সবাই আমাদের নিয়ে আলোচনা করতে লাগলো তার পর  মনো কে একে একে নানা প্রশ্ন চেপে ধরলো।
","5","5","5"
"মনো তখন আমার দিকে চোখ ভেজা জল নিয়ে দেখছে ও ভেবেছে আমি বলে ছি সবাই কে এই সব কথা।
","5","5","5"
