"sentence","emotion A1","emotion A2","emotion A3"
"দরজায় বেল বাজাতেই পুঁটিরাম দরজা খুলে দিল।
","5","5","5"
" দু'তলার ঘরে ঢুকতেই দেখি ব্যোমকেশ তার চেয়ারে বসে নিশ্চিন্তে খবরের কাগজের একঘেয়ে খবর গলাধঃকরন করছে।
","5","5","5"
" আমার অবস্থা আমিই জানি।
","5","5","5"
" ব্যোমকেশ এতক্ষণ আমার দিকে তাকিয়েছিল, তার জ্ঞানচক্ষু দিয়ে আমাকে আপাদমস্তক পর্যবেক্ষণ করে বললো - 'রোসো বন্ধু রোসো, সব কথা বলার আগে একটুখানি বোসো।
","5","5","5"
"' হঠাৎই তার কবিসুলভ আচরণ কন্ঠ থেকে ঝরনার মতো বেরোলো দেখে একটু অবাক হলাম।
","5","5","5"
" আমি কিছু একটা বলতে যাচ্ছি... আমার কথার উপর সে সহাস্যে বললো - 'বন্ধু রাস্তা-ঘাটে এরকম দৌড়ো- দৌড়ি করতে নেই, শহরের রাস্তা, পথে ঘাটে কত গাড়ি, বিপদ ঘটতে কতক্ষণ! আমি অবাক হয়ে ব্যোমকেশের দিকে তাকালাম, বললাম, তুমি কি করে... সে আবার আমার কথার উপর বললো - 'পুঁটিরাম উপরে এসে বললো, অজিতবাবা খুবই হাপাচ্ছেন, মনে হয় দৌড়ে এসেছেন...।
","5","5","5"
" ব্যোমকেশ খবরের কাগজটা মুখের উপর তুলে নিয়ে বললো -' তা অবিনাশবাবুর কোথাও লাগেনি তো, বয়স হয়েছে তো।
","5","5","5"
"' আমি আবার বিস্ফারিত নেত্রে তার দিকে তাকালাম।
","5","5","5"
" জিজ্ঞেস করতে যাচ্ছি - সে আবার বলে উঠলো - 'তোমার জামার বাঁ দিকে যে শুকনো মাটি লেগে রয়েছে তা নিশ্চয়ই অবিনাশবাবুর বাগানের।
","5","5","5"
"' আমি বললাম -'কিন্তু তুমি কি করে জানলে যে এটা অবিনাশবাবুর বাগানের মাটি...?
","5","5","5"
"' ব্যোমকেশ খবরের কাগজটা রেখে বললো - 'রোসো বন্ধু, তোমাকে তোমার পথ-বিবরণ দিই - অবশ্য এটা আমার অনুমান - ভুল হলে শুধরে দিও?
","5","5","5"
" আমি হাত থেকে প্যাকিং বাক্সটা টেবিলে নামিয়ে খুলতে যাচ্ছি- ব্যোমকেশ বাধা দিয়ে বললো - 'আহা! ভাঙেনি, আগে শোনোই না...।
","5","5","5"
" আমি বিস্ফারিত চোখে সব কিছু শুনতে লাগলাম - সে বলে চললো - সম্ভবত তুমি প্রথমে 'Old and new collection' -এ গেলে - যেখান থেকে তুমি-আমি প্রয়োজনের সব জিনিসই সস্তায় কিনি।
","5","5","5"
" সেখানে তুমি তোমার পছন্দ- সই কোনো কিছু পেলে না।
","5","5","5"
" কিন্তু রুদ্রনীলবাবুর বিয়ের নিয়ন্ত্রণ আজ সন্ধ্যায় - কিছু তো একটা নিয়ে যেতেই হয়।
","5","5","5"
" তুমি তখন সটান চলে গেলে 'কোয়ার্টজ ওয়াচ হাউসে'  -এ।
","5","5","5"
" এখন তুমি যদি জিজ্ঞেস করো কি করে এটা জানলাম, তাহলে বলি - 'তোমার শীতকালীন উলের পোশাকের নীচে ও ডান হাতের কনুই-এর কাছে চড়ুই পাখির দুটো পালক লেগে রয়েছে।
","5","5","5"
"' আমি বিস্ময়ে পালক দুটো জামা থেকে ফেলে দিলাম।
","5","5","5"
" সে বলে চললো - আমি ভাবলাম পাখির পালক মানে তুমি পাখির সংসর্গে এসেছিলে।
","5","5","5"
" নাহলে পালক লাগবে কেন?
","5","5","5"
" হ্যাঁ, উড়ে এসেও লাগতে পারে, কিন্তু যখন জানলাম তুমি ঘড়ি কিনেছো তখন বুঝতে পারলাম তুমি 'Indian birds' house' -এর কাছাকাছি গিয়েছিলে?
","5","5","5"
" আমি ব্যোমকেশকে বললাম - 'আমি যে ঘড়িই কিনেছি তা তুমি জানলে কেমন করে?
","5","5","5"
"' সে বললো - 'ওই যে বললাম পাখির দোকান- 'Indian birds house' ওটার পাশেই তো 'কোয়ার্টজ ওয়াচ হাউস' - দুটো দোকান-ই তো পাশাপাশি?
","5","5","5"
" দুই'এ দুই'এ চার করলেই ব্যাপারটা বোঝা যায়।
","5","5","5"
" তারপর তুমি দোকান থেকে বেরোলে।
","5","5","5"
