"sentence","emotion A1","emotion A2","emotion A3"
"৩০ জুলাই ১৫০২ খ্রিষ্টাব্দ কমলা সূর্যাস্তের নীচে উথালপাথাল করছে নীল জলরাশি।
","5","5","5"
" সামনে ঘন সবুজ কাস্তের ফলার মতো দ্বীপটির তটরেখা।
","5","5","5"
" দূরবীনে এক-চোখ রেখে, জাহাজের ডেক-এ এসে দাঁড়ালেন ক্যাপ্টেন ক্রিস্টোফার।
","5","5","5"
" চারপাশে অভিজ্ঞ চোখটা একবার বুলিয়েই, তিনি স্বস্তির শ্বাস ফেলে, চোস্ত্ স্প্যানিশে বলে উঠলেন: "" Gracias a Dios que hemos salido de esas Honduras "" (যাক বাবা, অনেকদিন পর আবার গাড্ডা থেকে ডাঙায় উঠলাম!)।
","5","5","5"
" তারপর তিনি ছোটোভাই বার্থালোমিউ-কে ডেকে হুকুম দিলেন: “যাও, গোটা এলাকাটা একবার সরজমিনে জরিপ করে এসো!” ৩১ জুলাই ১৫০২ খ্রিষ্টাব্দ ‘ট্রুজিলো’ একটি ছোট্টো ছবির মতো জনপদ।
","5","5","5"
" ওখানে মায়াসভ্যতার রেড-ইন্ডিয়ান-দের বাস।
","5","5","5"
" তাদেরই একটা সাদা পাল-তোলা বানিজ্যতরী চলেছিল প্রধান নগর থেকে ‘ইউকোটান’ বানিজ্য-শহরের পথে, মাঝসমুদ্র দিয়ে।
","5","5","5"
" হঠাৎই ভিনদেশী স্প্যানিশ-আর্মাডা-র গোলায় শিহরিত হয়ে উঠল শান্ত সমুদ্র।
","5","5","5"
" অট্টহাস্য করে উঠলেন বার্থালোমিউ: “যাও! জ্বালিয়ে দাও ওই বর্বরদের জাহাজটাকে! আর লুঠ করে নিয়ে এসো ওদের সব ধন-সম্পদ!” তখন সৈন্যের বর্ম-আঁটা হার্মাদ-বাহিনী ছুটে গেল মায়া-দের কাৎ হয়ে পড়া নৌকোটার দিকে।
","5","5","5"
" ওরা নিষ্ঠুর হাতে লুঠপাট চালাল, খুন করল, আর বাকিদের বন্দী করে জ্বালিয়ে দিল তরীটাকে।
","5","5","5"
" কয়েকজন ভাগ্যবান রেড-ইন্ডিয়ান-ই কেবল পালাতে পারল, স্প্যানিশ জলদস্যুদের নজর এড়িয়ে।
","5","5","5"
" তারা সঙ্গে করে নিয়ে গেল রাজার যত দামি-দামি রত্ন, আর অলঙ্কার, আর মোহর, আর ভাস্কর্য।
","5","5","5"
" সেই সব মহার্ঘ্য রত্নরাজি তারা হাড় আর পাইন-কাঠের তৈরি চেস্ট-সিন্দুকে পুড়ে, লুকিয়ে রাখল এক গভীর জঙ্গলের ভিতর, কোনও অজানা গুহার মধ্যে।
","5","5","5"
"… ১ আগস্ট ২০১৬ দুপুর ১২টা রিও-প্ল্যান্টানো রেইন-ফরেস্ট-এ কিছু দুষ্প্রাপ্য অর্কিড-এর খোঁজে ঘুরে বেড়াচ্ছিলেন ড. মার্কোস লিয়াম।
","5","5","5"
" এইসব ঘন জঙ্গলে এখনও অনেক যায়গায় মানুষের পা-ই পড়েনি।
","5","5","5"
" হঠাৎ মরা নদী-খাত মতো একটা স্থানে, একটা পাথরের চাঁইতে ধাক্কা খেলেন অন্যমনস্ক মার্কোস।
","5","5","5"
" ধুলো ঝেড়ে উঠে, তিনি ঝোপঝাড় সরিয়ে দেখতে পেলেন, পাথরটা আসলে একটা প্রাচীন ফলক।
","5","5","5"
" তাতে অদ্ভুদ কিছু লিপি খোদাই করা রয়েছে।
","5","5","5"
" উদ্ভিদবিজ্ঞানী মার্কোসের মনে সন্দেহ হল, এটা সম্ভবত মায়া-সভ্যতার অবলুপ্ত কোনও লিপি।
","5","5","5"
