"sentence","emotion A1","emotion A2","emotion A3"
"         ভীষণ গরম পড়েছে, ভীষণ মানে 52 ডিগ্রি।
","5","5","5"
" আমি একটু গা ধুতে বাথরুমে ঢুকেছি ,সামনের দরজায় খটখট হয়ে চলেছে।
","5","5","5"
" বুঝলাম,  কারা এসেছে।
","5","5","5"
"      "" আসছি ,আসছি ""করেই গেলাম, কে কার কথা শোনে ।
","5","5","5"
"কিছুক্ষণ পরে দুমদুম  হতে লাগল দরজায় ।
","5","5","5"
"খটখট  থেকে দুমদুম তারপর ধড়াম ধড়ামে পরিণত হল ।
","5","5","5"
" তাড়াতাড়ি করে কোনরকমে গায়ে কাপর জড়িয়ে বেরিয়ে এলাম।
","5","5","5"
" এসে দরজা খুলে দিতেই হুড়মুড় করে সবাই ঢুকে পড়ল ।
","5","5","5"
"            যেখানকার কথা বলছি সেটা উড়িষ্যার একটা ছোট্ট গ্রাম ,রেঙ্গলি ।
","5","5","5"
"আজ থেকে প্রায় 25 বছর আগেকার কথা ,একটা কলোনী তৈরি হয়েছিল  ওইখানে যেহেতু হাই ওয়ে তৈরি হচ্ছিল।
","5","5","5"
" রাস্তার ঠিক পাশে আমরা থাকতাম ,ওখানে কলোনিতে মোট সাতটা বাচ্চা ছিল ।
","5","5","5"
"একই সাইজের, এক মাস দুমাস হয়তো এদিক-ওদিক কিন্তু সবাই একই বছর জন্মেছে।
","5","5","5"
"      আমার কোয়ার্টারের ঠিক সামনের জায়গাটাকে একটা  lawn  তৈরি করেছিলাম খাস লাগিয়ে ।
","5","5","5"
" বিকেল হলেই  খেলত  ওরা।
","5","5","5"
" খেলে ওদের রোজকার  রুটিন  ছিল আমার দরজায় এসে knock করা।
","5","5","5"
" সবে তিন বছর বয়স হয়েছে , কলিংবেলে  হাত যেতনা তাই ঠকঠক করত, প্রথমে হাত দিয়ে,  দরজা না  খুল্লে হাত পা দুটোই  চলত এবং তার পরেও না খুললে  ব্যাট দিয়ে দরজা পেটাতো, মনে হতো ভেঙ্গেই যাবে।
","5","5","5"
" দরজা খুলে দিতাম ,একের পর এক সাতজনই ঢুকতো।
","5","5","5"
" ঢুকে ওদের কাজ ছিল সোজা গিয়ে বেসিনের সামনে দাঁড়ানোর ।
","5","5","5"
"কারণ ওরা কিছু না কিছু আমার কাছে খাবে, এবং হাত না ধুলে যে আমি খেতে দেবো না সেটাও জানে ।
","5","5","5"
"তাই লাইন দিয়ে বেসিনের সামনে দাড়াতো।
","5","5","5"
" আমি একজন করে তুলতাম ,কল খুলে দিয়ে তার হাত বাড়িয়ে দিতাম ,  ওরা হাত ধুতো    তারপরে তারা বসতো সোফায় ।
","5","5","5"
" ফ্যান চলছে কিনা সেটা দেখত ।
","5","5","5"
" এদের মধ্যে কারুরই কোথা ফোটেনি ।
","5","5","5"
" কিছু না কিছু দিতেই হতো বিস্কুট কিনবা মুড়ি, তার বেশি কিছু ওখানে পাওয়া যেতনা।
","5","5","5"
"  চকলেট থাকলে দিতাম সবাইকে ।
","5","5","5"
"খেয়ে তারপরে ওরা প্রচন্ডরকম খেলাধুলা করতো।
","5","5","5"
" সোফায় উঠছে নামছে টেবিলের ওপর উঠে লাফানোর চেষ্টা করছে।
","5","5","5"
"  খেয়াল করলাম একদিন , ঠাকুর আসনে পাঁচটা ছোট প্লেটে  নকুলদানা দেওয়া থাকতো ,বেশ বড় বড় নকুলদানা।
","5","5","5"
" গ্লাসে জল দেওয়া থাকতো  ।
","5","5","5"
" বাচ্চাগুলো চলে যাওয়ার পর সন্ধ্যেবেলা আমি সন্ধ্যা প্রদীপ জ্বালানোর সময়  সেইদিন খেয়াল করলাম একটাও নকূলদানা বা এক ফোটা জলও নেই ।
","5","5","5"
"ইদুর ছিল ঘরে কিন্তু  তারা ফল্স সিলিং এর উপর দিয়ে যাতায়াত করতো ,নিচে খুব একটা চোখে পড়তো না ।
","5","5","5"
" পরের দিন বাচ্চারা খেলতে এসেছে আবার।
","5","5","5"
" সন্ধ্যা প্রদীপ দেওয়ার সময় লক্ষ্য করলাম নকুলদানা ও নেই জলও নেই।
","5","5","5"
"                     কি হচ্ছে ব্যাপারটা?
","5","5","5"
" মাথায় এলো, হতে পারে বাচ্চাদের মধ্যে কেউ ঢুকে এসে করছে?
","5","5","5"
" কিন্তু আমার চোখের সামনে থেকে তো কেউ আড়াল হয় না ।
","5","5","5"
" সবথেকে দুষ্টু বাচ্চা যেটা , ঠিক টিনটিনের মতন দেখতে ,ফর্সা গোলগাল ,নাম টিটো।
","5","5","5"
" ও থাকতো ঠিক আমাদের সামনের বাড়িটায়।
","5","5","5"
" জানালা পাশেই খাট,তার উপর দাড়িয়ে  কি যে বলতো সেটা বুঝতে পারতাম না ।
","5","5","5"
" আকাশ দেখাতো, গাছপালা দেখাতো,  নানান রকম বলত (নিজের ভাষায়,যেটা বুঝতে গেলে আবার ছোট হতে হবে)।
","5","5","5"
"           সবথেকে শান্ত ছিল বরুন ।
","5","5","5"
" ওর মায়ের সঙ্গে আসতো অনেক সময় ।
","5","5","5"
"ওর মা আমার কাছে ঘুম পাড়িয়ে রেখে চলে যেত কোন কাজে ।
","5","5","5"
"        আর বস বেবি ছিল ভিকি ওর হাব ভাব অন্যরকম মানে বেশ রাশভারি ওই বয়সেই ।
","5","5","5"
" আমি ভাবলাম খেয়াল করব এবার ,এদিক ওদিক কোথাও যাবো না , যখন ওরা খেলবে ওই ঘরেই থাকবো।
","5","5","5"
"       সেদিনও আমি দেখলাম সবাই খেলছে আমার সামনেই তারপর মায়েরা এল তারপর যখন তারা চলে গেল আবার সেই নকুলদানা, জল উধাউ।
","5","5","5"
" এবার আমি সিওর হয়ে গেলাম ইদূরে খেয়ে যাচ্ছে।
","5","5","5"
" পরের দিন  যখন ওরা খেলছে বাগানে, আমি টিটোকে  ডাকলাম ।
","5","5","5"
"                 বললাম বাবা তুমি আমার সঙ্গে একটু ভেতরে এসো তো।
","5","5","5"
" বলতে না পারলেও বুঝতে পারত সবটাই।
","5","5","5"
" ভেতরে এলো।
","5","5","5"
" আমি ঠাকুরের আসনের কাছে নিয়ে গিয়ে বললাম এই যে নকুলদানা  রাখা আছে ,তুমি কি খাবে?
","5","5","5"
" টিটো তুলে নিল নকুলদানা, খেয়ে বেশ খুশি ?
","5","5","5"
"      "" তুমি কি রোজ খাও?
","5","5","5"
"""  মাথা নাড়লো, খায় না ?
","5","5","5"
"  ""তাহলে  কে খায়?
","5","5","5"
"""  মনে হযল কিছু বুঝলো না ,চলে গেল  খেলতে?
","5","5","5"
"তারপর বাচ্চারা খেলছে ভেতরে এসে যেইরকম রোজ খেলে, আমি একটু রান্নাঘরে গিয়েছি, হঠাৎ  আমার শাড়ি ধরে টানতে টানতে টিটো ভেতরের ঘরে ,যেখানে ঠাকুরের আসন, সেখানে নিয়ে গিয়েছে ।
","5","5","5"
"                      ভিকি দাঁড়িয়ে একটার পর একটা থালা থেকে নকুলদানা তুলছে আর খাচ্ছে আর একটা করে গ্লাসের জল খাচ্ছে, আবার গ্লাসটা সোজা করে রেখে দিচ্ছে।
","5","5","5"
" আমাদেরকে দেখে খুব অবাক হয়ে দৌড়ে পালিয়ে গেল ভিকি ।
","5","5","5"
"         বুঝলাম যে কথা বলতে না পারলেও , টিটো  আমায় চোর ধরিয়ে দিয়েছে।
","5","5","5"
" এর থেকে বড় ডিটেকটিভ কেউ দেখেছ কোথাও?
","5","5","5"
" আমি তো দেখিনি?
","5","5","5"
"                 এবার  টিটো স্কুলে ভর্তি হয়েছে, তখনকার দিনে নার্সারিতে ভর্তি ছিল ।
","5","5","5"
"  টিটো নানারকম ডিটেকটিভ কাজকর্ম করে গেছে সেখানেও ।
","5","5","5"
" কে পেন্সিল চুরি করেছে?
","5","5","5"
"  কে কার টিফিন খেয়ে নিয়েছে ?
","5","5","5"
" এগুলো সবই তার চোখে পড়তো যদিও সে পড়াশোনাতেও বেশ ভালো ছিল?
","5","5","5"
" টিচারদের একটা বড় ভরসা ছিল টিটো, কারণ যা তারা বুঝে উঠতে পারছেন না ,টিটো সেটা খুব সহজেই ধরে ফেলতো।
","5","5","5"
"                  এখন টিটো বড় হয়েছে, ইঞ্জিনিয়ারিং পড়ছে।
","5","5","5"
" ফোর্থ ইয়ার চলছে।
","5","5","5"
"               যখন টিটো থার্ড ইয়ারে ,তখন কলেজে একটা ঘটনা ঘটে যায় ।
","5","5","5"
" সেকেন্ড ইয়ারের একটি মেয়ে হোস্টেল থাকে আর একটি লোকাল ছেলে উধাও হয়ে যায় ।
","5","5","5"
"  লোকজনের এটা মনে হতে লাগলো, হয়তো ওরা দুজনে একসঙ্গে পালিয়ে গিয়েছে কিন্তু টিটো যেহেতু ছেলেটিকে চিনত, সে জানে  ছেলেটি এই ধরনের কাজ করতে পারে না ।
","5","5","5"
"ছেলেটি এবং মেয়েটির বাবা-মা দুজনেই  থানায়  গিয়ে  মিসিং ডায়েরি  লিখিয়েছিল।
","5","5","5"
" টিটো দুজনের মা-বাবাকে একজায়গায়  ডাকে এবং উনাদের বোঝায় যে ছেলেটি তার বন্ধু, সে এইরকম কোন কাজ করতে পারে না।
","5","5","5"
"  ওরা হয়তো কোন বিপদে পড়েছে ।
","5","5","5"
"ওনারা ওর  সঙ্গে থানায় যায় ।
","5","5","5"
" টিটোর মতে ওরা দুজনেই এখান থেকে উধাও হয়েছে কোন প্ল্যানিং ছাড়া ।
","5","5","5"
"যদি পালানোর হতো তাহলে হয়তো ওরা কোথা থেকে টাকা তুলত।
","5","5","5"
"  কোন ধরনের প্রস্তুতি ছাড়াই কেন ওরা পালাবে?
","5","5","5"
"                           থানা থেকে ওরা  কোনো ভাবেই   এগোতে পারছে না ?
","5","5","5"
"  টিটো থানা থেকে এবং ছেলেটি মেয়েটির দুজনেরই বাবা-মায়েদের থেকে পারমিশন নেয় এবং ইনভেস্টিগেশন আরম্ভ করে।
","5","5","5"
"  কটটো কলেজ থেকে পাঁচ দিনের ছুটি নিয়ে নেয় ।
","5","5","5"
" ওই মেয়েটির সঙ্গে যারা থাকত কাছাকাছি এবং ছেলেটির যারা কাছাকাছি ছিল সবাইকে  জিজ্ঞেসাবাদ করে জানতে পারে মেয়েটি অবসাদে ভুগছিল ।
","5","5","5"
" কারণ তার কিছুতেই সেমিস্টার রেজাল্ট ভালো করতে পারছিল না।
","5","5","5"
" এবং এই বয়স থেকেই তার  হিমোগ্লোবিন  খুব কম।
","5","5","5"
" এসব নিয়ে সে সাংঘাতিক রকম চিন্তিত ছিল ।
","5","5","5"
"বন্ধুদের কাছে জিজ্ঞেস করে জানতে পারে, যে মেয়েটি ওদের বলেছিল চামপাহাটির  কোন একটা জায়গায় এক বাবা আছেন যিনি স্বপ্নে-পাওয়া ওষুধ দিলে তার অ্যানিমিয়া ঠিক হয়ে যেতে পারে ।
","5","5","5"
"এই খবরটা তাকে এক পাড়াতুতো  দাদা দিয়েছিল।
","5","5","5"
"        টিটো দেরি না করে পুলিশের কাছে সাহায্য চেয়ে কিছু জনকে সঙ্গে নিয়ে  চামপাহাটির  দিকে রওনা দেয় ।
","5","5","5"
"ওখানে জিজ্ঞাসাবাদ করে জানতে পারে যে ওরা দুজন এসেছিল এবং  বাবা তাকে ওষুধ দিয়েছে।
","5","5","5"
" যদিও  লোকটাকে খারাপ বলে মনে হলো না টিটোর ।
","5","5","5"
"  এটাও জানতে পারল যে মেয়েটি একটি ছেলের সঙ্গে এসেছিল।
","5","5","5"
"  বুঝতে পারছে না তাহলে এখান থেকে কোথায় গেল ?
","5","5","5"
"   থানায় ফোন করে টিটো জানালো আরো সাহায্য লাগবে ?
","5","5","5"
"থানা থেকে দুই গাড়ি পুলিশ  পাঠানোর ব্যবস্থা হল।
","5","5","5"
"  তারা ওই জায়গাটায় চিরুনি তল্লাশি চালালো।
","5","5","5"
" সন্ধ্যেবেলা একটা বট গাছের নিচে বেদি  করা আছে ,সেইখানেই টিটো বসে জল খাচ্ছে এবং ভাবছে এরপর সে কি করবে ,এত রাত হয়ে গেল।
","5","5","5"
"           সেই গ্রামের একটি মেয়ে হঠাৎ টিটোর  কাছে এসে বলল  ,""আমি জানি ওদেরকে নিয়ে গেছে।
","5","5","5"
"""   ""কোথায় নিয়ে গেছে ?
","5","5","5"
""" ""কে নিয়ে গেছে তাড়াতাড়ি বলো আমায়?
","5","5","5"
"""     "" আমি এইটুকু জানি  নিয়ে  গিয়েছে।
","5","5","5"
" কোথায় নিয়ে গেছে বলতে পারব না ।
","5","5","5"
" একটা গাড়ী এসে থেমেছিল ।
","5","5","5"
"আমাদেরই পাড়ার এক দাদা ,সে আমাকেও লোভ দেখিয়েছিল বাইরে কাজ করতে নিয়ে যাবে।
","5","5","5"
" ওদের সঙ্গে কথা বলতে বলতে আমি ওই দাদাকে যেতে দেখেছি ।
","5","5","5"
"""     সঙ্গে সঙ্গে ফোর্স নিয়ে টিটো সেই ছেলেটির বাড়ি রেইড করে ।
","5","5","5"
" ছেলেটিকে অ্যারেস্ট করা হয় ।
","5","5","5"
"তাকে জিজ্ঞাসাবাদ করার জন্য পঞ্চায়েত অফিসে নিয়ে আসা হয়।
","5","5","5"
" সেখানে জেরার মুখে সে ভেঙে পড়ে ।
","5","5","5"
"      যা জানা যায়, ত্বকের লোম খাড়া হয়ে যাওয়ার মতন অবস্থা ।
","5","5","5"
"টিটো জানতে পারে ছেলেটি কে প্রচণ্ড মারধোর করে  একটা বাড়িতে আটকে রাখা হয়েছে ।
","5","5","5"
"মেয়েটিকে পাচার করার জন্য পাশের গ্রামে নিয়ে যাওয়া হয়েছে ।
","5","5","5"
"সেখান থেকে তাকে কলকাতা বিমানবন্দর থেকে  গাল্ফ কন্ট্রি নিয়ে যাবার পরিকল্পনা আছে ।
","5","5","5"
"ছেলেটি এবার মারধরের ভয় বা যাবজ্জীবন কারাদণ্ডের ভয়ে  জানিয়ে দেয় কোথায় আছে মেয়েটি  এবং টিটোর বন্ধু।
","5","5","5"
"          ফোর্স নিয়ে  আক্রমন  সেই সেই বাড়িটিতে এবং মেয়েটিকে উদ্ধার করা হয় ।
","5","5","5"
" ওকে কোন নেশার ইনজেকশন দেওয়া হয়েছে তাই সে একটা ঘোরে রয়েছে।
","5","5","5"
"       অভিভাবক দের কাছে  এবং থানায় ফোন করে সোজা ওদেরকে হাসপাতালে ভর্তি করা হয় শহরে এসে।
","5","5","5"
" ডাক্তারবাবু জানান দুদিন লাগবে ওর এই ঘোর কাটতে ।
","5","5","5"
"ছেলেটিকে সেদিনই ছেড়ে দেওয়া হয় চিকিত্সার পর।
","5","5","5"
"        টিটোকে সম্মান জানানো হয়।
","5","5","5"
" কলেজ কর্তৃপক্ষ থেকে পুরস্কার দেওয়া হয় ।
","5","5","5"
"সেন্ট্রাল গভমেন্ট এবং স্টেট গভমেন্ট তাকে পুরস্কৃত করে।
","5","5","5"
"          এই ভাবেই  টিটো গোয়েন্দার আবির্ভাব!              সমাপ্ত                   ------ শর্মিষ্ঠা সাহা ------- ।
","5","5","5"
