"sentence","emotion A1","emotion A2","emotion A3"
"                  ঋকের অসাধ্যসাধন                             তরুণ দাস।
","5","5","5"
" প্রথম পার্বিক পরীক্ষা শেষ হওয়ার পর স্কুলেও গরমের ছুটি শুরু হওয়ায় অনীক,ঋক ও শ্রীতমা মায়ের কাছে বায়না ধরে মামার বাড়ি যাওয়ার জন্য।
","5","5","5"
" তাদের মা ও যেন এর জন্যই মুখিয়ে ছিলেন।
","5","5","5"
" ছেলে মেয়ের বায়না মেটানোর সাথে সাথে নিজের ও মায়ের বাড়ি থেকে ঘুরে আসা হবে।
","5","5","5"
" আর কেই বা না চাই নিজের মায়ের বাড়ি যেতে?
","5","5","5"
" অন্যথা হয়নি এক্ষেত্রেও পরের দিনই নির্দিষ্ট সময়ে ছেলেমেয়েদের সাথে নিয়ে নির্দিষ্ট রেলগাড়িতে উঠে বসেন মাধুরী দেবী?
","5","5","5"
" গন্তব্য পাহাড়পুর।
","5","5","5"
" অনেক দিন থেকেই বাপের বাড়ি যাওয়ার সুপ্ত বাসনা ছিল মাধুরী দেবীর।
","5","5","5"
" আজকে ছেলেমেয়েদের বায়নার জন্য তাঁর সেই সুপ্ত বাসনা পূর্ণতা পেতে চলেছে।
","5","5","5"
"তাই ছেলে মেয়েদের সমস্ত আবদার আজকে মেনে নিচ্ছেন তিনি।
","5","5","5"
" আজকে তিনি খুব বেশী মাত্রায় উদার! ছোট ছেলে ঋকের আবদার ছিল  ফেলুদা সমগ্র সাথে নেওয়ার।
","5","5","5"
" তেমনি অনীকের ছিল ব্যোমকেশ বক্সী এর কিছু গোয়েন্দা উপন্যাস সাথে নেওয়া আর শ্রীতমার ইচ্ছে কিরীটি অমনিবাস নিয়ে যাওয়ার।
","5","5","5"
"সবার ইচ্ছে পূরণ করতে গিয়ে লাগেজের পরিমাণ টাও বেড়ে গেছে।
","5","5","5"
" সবার ছোট ঋক মায়ের কোল ঘেঁষে বসেই ব্যাগ থেকে ফেলুদা সমগ্র বের করে ফেলেছে।
","5","5","5"
" অনী ক ও শ্রীতমা দুজনে দু প্যাকেট স্ন্যাক্স নিয়ে আনমনে চিবিয়ে চলেছে।
","5","5","5"
" ঘন্টা দুয়েক এর জার্নির শেষে মাধুরী দেবী পৌঁছে গেলেন বাপের বাড়ি পাহাড়পুরের নিকটবর্তী রেলস্টেশনে।
","5","5","5"
" পাহাড়পুরের শ্রীকন্ঠ বাড়ুজ্যের বড়ো আদরের মেয়ে মাধুরী দেবী।
","5","5","5"
"ছেলে বেলায় বাবার সাথে ঘোরাঘুরি ছিল তার নিত্য দিনের অভ্যাস।
","5","5","5"
"বাবা যেখানে যেখানে যেতেন সাথে থাকতেন মাধুরী দেবী।
","5","5","5"
"শ্রীকন্ঠ বাবু ছিলেন একজন মেডিক্যাল প্র্যাক্টিসনার।
","5","5","5"
