"sentence","emotion A1","emotion A2","emotion A3"
"হারানো সুর (সংঘমিত্রা রায়চৌধুরী) --------------------------------- নয়নিকার সাথে ম্যাট্রিমনিয়াল সাইট থেকে আমার সম্বন্ধ করে বিয়ে, এই মাস খানেক আগে, অঘ্রাণের প্রথম লগ্নে।
","5","5","5"
" অষ্টমঙ্গলায়  শ্বশুরবাড়ী আসা হয় নি, ছুটি পাই নি বলে।
","5","5","5"
" বিয়ের মাসখানেকের মাথায় দু-একটা এটাসেটা ছুটি মাথায় মাথায় পড়ায় সঙ্গে শনিরবির সাথে দিন তিনেকের ছুটি ম্যানেজ করে সাতদিনের জন্য শ্বশুরবাড়ী এসেছি।
","5","5","5"
" ঘুরে ঘুরে বাড়ীর এধার ওধার সব দেখছি, সত্যিই দেখবার মতোই বটে বাড়ীটা।
","5","5","5"
" বিরাট চকমেলানো দু'মহলা তিনতলা বাড়িটাতে সব মিলিয়ে সাকুল্যে মাত্র জনা ছয়েক মানুষের বসবাস।
","5","5","5"
" তাও কাজের রান্নার সব লোকজনকে ধরে।
","5","5","5"
" একেবারে গঙ্গার গা ঘেঁষে ওঠা ঐ বিশাল বড়ো বাড়ীটার আনাচেকানাচে কেমন যেন একটা গা ছমছমে, ঠাণ্ডা ঠাণ্ডা নিঃঝুম ভয় ভয় পরিবেশ ছড়িয়ে রয়েছে।
","5","5","5"
" দিনে বা রাতে সর্বত্রই, যেন সবসময়েই।
","5","5","5"
" ও, আচ্ছা, আমার নামটাই বলা হয় নি, আমি আলোকময় বসুরায়.... ডাকনাম আলোক।
","5","5","5"
" নতুন জামাই আমি, সারা বাড়ী ঘুরে বেড়াচ্ছি একা একাই।
","5","5","5"
" দেখেই হয়তো আমার বৌ নয়নিকা আর ওর মা, মানে আমার শাশুড়ি বললো, ""সারাদিন এধার ওধার ঘুরে না বেড়িয়ে, একটু শুয়ে বসে বিশ্রাম নাও।
","5","5","5"
" অতদূর থেকে মাত্র সাতদিনের জন্য আসা, আবার ফিরতে হবে এতোটা পথ।
","5","5","5"
" ধকল তো আছেই, কাজেই বিশ্রামও দরকার।
","5","5","5"
""" সংক্ষিপ্ত ""হুম"" বলে আমাদের জন্য বরাদ্দ হলঘরাকৃতির বিশাল শোবার ঘরটায় গিয়ে সেঁধিয়ে গেলাম ঠিকই, তবে আমার মন টিকছে না, ঐ ঘরের চার দেওয়ালের মধ্যে।
","5","5","5"
" আমার এই শ্বশুরবাড়ীতে সবচেয়ে সমস্যার বিষয় হোলো, সমবয়সী তো দূরের কথা, পরিবারে কোনো পুরুষ সদস্য নেই।
","5","5","5"
" ঐ অতবড়ো বাড়ীটায় পুরুষমানুষ বলতে, এক বুড়ো মালী।
","5","5","5"
" বাড়ীর পেছন দিকের বাগানের একপাশে একটা পাকা দেওয়াল আর টিনের চালাওয়ালা ঘরে সে একাই থাকে।
","5","5","5"
" আর আছে এক ড্রাইভার, এ বাড়ীর পুরনো আমলের এক সাদা অ্যাম্বাসাডরকে চালানোর জন্য।
","5","5","5"
" সেও মধ্যবয়সী, সকালে হাজিরা দিয়ে যায়, কোথাও যাবার থাকলে জানিয়ে দেওয়া হয় তাকে।
","5","5","5"
" ঘড়ি ধরে সময়মাফিক ড্রাইভার এসে হাজির হয়।
","5","5","5"
