"sentence","emotion A1","emotion A2","emotion A3"
"সকাল থেকেই ভাবছি আমার জীবনের বর্তমান সমস্যা নিয়ে কিছু একটা লিখব, কিন্তু কি দিয়ে শুরু করব বুঝতেই পারছি না, আসলে আমার সমস্যা একটু অদ্ভুত শুনলে মনে হবে নির্ঘাত নতুন গাঁজার এফেক্ট।
","5","5","5"
" বর্তমানে আমি কোলকাতা থেকে অনেক দূরে একটি মানসিক হাসপাতালের রোগী।
","5","5","5"
" লম্বা হলঘরের একপ্রান্তে একটি জানলার ধারে আপাতত আমার থাকার জায়গা।
","5","5","5"
" দমবন্ধ হাসপাতালের এই পরিবেশে এই জানলাটাই একমাত্র মুক্তির পথ।
","5","5","5"
" পাড়ার সবাই এমনকি আমার বাবাও ভাবে আমি পাগল।
","5","5","5"
"বিশ্বাস করুন এর একবিন্দুও আমি বানিয়ে বলছি না।
","5","5","5"
" গত চার বছর ধরে এই সমস্যাটা হয়ে চলেছে! আজকে অনেক কষ্টে একটা কাগজ কলম জোগাড় করে লিখতে বসেছি, যদি আমার লেখা দেখে একটা সমাধানের উপায় বার করা যায়।
","5","5","5"
" এই দেখুন কথায় কথায় আমার পরিচয় দেওয়া হল না।
","5","5","5"
" আমি মৌমিতা।
","5","5","5"
" সুরেন্দ্রনাথ কলেজের বাংলা ২য় বর্ষের ছাত্রী ছিলাম।
","5","5","5"
" বালিগঞ্জের একটা ছোট্ট পাড়ায় একটা ছোট্ট দোতলা স্যাঁতস্যাঁতে বাড়িতে আমরা চারজন থাকি মানে আমি,বাবা, মা আর ছোট বোন।
","5","5","5"
" বাবা একটা ছোটখাটো কাজ করেন নৈহাটিতে।
","5","5","5"
" আপনারা নিশ্চয়ই খুব বিরক্ত হচ্ছেন আসল কথা থেকে সরে এসেছি বলে।
","5","5","5"
" নাহ!! আর বেশি ভাট বকবক করব না।
","5","5","5"
" আসল কথায় আসি।
","5","5","5"
"            গত চার বছর ধরে আমার কেবল মনে হচ্ছে আমার বয়সী একটা কালো গাউন পড়া মেয়ে যেন আমার উপরে সবসময় নজর রাখছে।
","5","5","5"
" নজর রাখছে বললে ভুল হবে, আমাকে গভীর ভাবে রাস্তায়, কলেজে, বাসে, ট্রামে সবজায়গাতেই অনুসরণ করছে।
","5","5","5"
" কিন্তু যতবারই ওর পরিচয় জানার উদ্দেশ্যে পেছনে ঘুরেছি ততবারই সে আশপাশের ভীড়ে মিলিয়ে গেছে কুয়াশার মত।
","5","5","5"
" আমি আমার চারপাশের চেনা মুখগুলোর মধ্যে খুঁজে পাওয়ার চেষ্টা করেছি তাকে।
","5","5","5"
" কিন্তু প্রতিবারই হয়েছি ব্যর্থ।
","5","5","5"
" যদিও আমার ধারণা যে এই ঘটনার সূত্রপাত আমাকে নিয়েই।
","5","5","5"
" আমাদের বাড়ীর ছাদের চিলেকোঠায় একটা কাঠের সূক্ষ্ম কারুকাজ করা ট্রাঙ্ক ছিল।
","5","5","5"
"  ছোটবেলা থেকেই আমার বিশেষ কৌতূহল ছিল জিনিসটা নিয়ে।
","5","5","5"
" ট্রাঙ্কটা নাকি আমার ঠাকুরদার আমলের।
","5","5","5"
" বাবার মুখে শুনেছি ঐ ট্রাঙ্ক টা দ্বিতীয় বিশ্বযুদ্ধের পরে ঠাকুরদা এক সাহেবের থেকে কিনেছিলেন এবং কেনার একমাস পরে রহস্যজনক ভাবে সাঁতার জানা সত্ত্বেও স্নান করতে গিয়ে পুকুরে ডুবে মারা যান।
","5","5","5"
" এরপর ভয়েই হোক বা কুসংস্কার বশেই হোক সেই থেকে ট্রাঙ্ক ঐ ভাবেই বন্ধ অবস্থায় পড়ে আছে।
","5","5","5"
" বিশেষ করে আমার ঠাম্মা কাছেই ঘেঁষতে দিত না জিনিসটার।
","5","5","5"
" কিন্তু কৈশোর মনের অনুসন্ধিৎসা।
","5","5","5"
" ঠাম্মা মারা যাওয়ার পরে বাড়ীর সবার অজান্তে একদিন সেই ধুলো পড়া ট্রাঙ্কের ডালা খুলে ফেললাম।
","5","5","5"
" প্রথমে বেশ কিছু ছেঁড়া কাগজ পত্র, প্রায় বিবর্ন হয়ে যাওয়া একটা পুরোহিত দর্পণ, রংচটা একটুকরো কাপড় আমার হাতে উঠে এল।
","5","5","5"
" এরপরেই যে জিনিসটা আমার দৃষ্টি আকর্ষণ করেছিল তা হল ধূলোয় সাদা হয়ে যাওয়া একটা কালো ছেঁড়া গাউন।
","5","5","5"
" এ গাউন কার?
","5","5","5"
" তখনকার দিনে বিশেষ করে আমাদের মত মধ্যবিত্ত ঘরের মহিলাদের কাছে গাউন পড়া ছিল বিলাসবহুল ও আধুনিকতার প্রতীক?
","5","5","5"
" আমাদের পূর্বপুরুষদের কথা জানি না তবে আমার মা অথবা ঠাম্মাকে এসব পড়তে দেখিনি।
","5","5","5"
" গাউনটা হাতে নিয়ে নাড়াচাড়া করতেই হঠাৎ ভেতর থেকে ক্রুশ জড়ানো একটা রং চটে যাওয়া ফটো মেঝেতে পড়ল।
","5","5","5"
" হাতে নিয়ে দেখি ছবিটা এই কালো গাউন পড়া একটি মেয়ের।
","5","5","5"
" মুখ যদিও বোঝা যাচ্ছে না।
","5","5","5"
" ক্রুশ টা খুলে ছবিটা ভালোভাবে দেখার জন্য জানালার কাছে যেতেই আমার সর্বাঙ্গ কেমন শিরশির করে উঠল।
","5","5","5"
" মনে হল অনেক অমঙ্গল, অনেক অশান্তি জড়িয়ে রয়েছে এই ছবিটার সাথে।
","5","5","5"
" এমনসময় সিঁড়িতে খুব দ্রুত কারো উঠে আসার আওয়াজ পাওয়া গেল।
","5","5","5"
"তাড়াতাড়ি ছবিটা আর গাউনটা ঢুকিয়ে রেখে ট্রাঙ্কের ডালাটা ফেলে দিয়ে পেছনে ঘুরতেই চমকে তাকিয়ে দেখি মা দাঁড়িয়ে দরজার কাছে।
","5","5","5"
" আমাকে অবাক করে দিয়ে ঠান্ডা গলায় শুধু বললেন ' আর কখনো ঐ জিনিসে হাত দিলে হাত দুটো কেটে রেখে দেব।
","5","5","5"
"' আপনাদের বিশ্বাস হচ্ছে না নিশ্চয়ই?
","5","5","5"
" ভাবছেন আবোল তাবোল বকছি?
","5","5","5"
" আমিও বিশ্বাস করিনি জানেন?
","5","5","5"
" প্রথমে ভেবেছিলাম মনের রোগ, লুকিয়ে সাইকিয়াট্রিস্ট দেখিয়েছিলাম।
","5","5","5"
" তিনি বললেন আমি পুরোপুরি সুস্থ।
","5","5","5"
" কিন্তু আমার জীবনের এরপরের ঘটনাগুলো কি তা প্রমাণ করে?
","5","5","5"
" প্রথম ঘটনাটা ঘটেছিল আজ থেকে বছর তিনেক আগে?
","5","5","5"
" আমার বোন ছন্দা আর আমি আমাদের বাড়ির দোতলার ছাদে একসাথে গল্প করছিলাম।
","5","5","5"
" আশপাশে তেমন উঁচু বাড়ি না থাকায় পাড়ায় লোডশেডিং থাকলেও পূর্ণিমার চাঁদের আলো তার শুন্যতা আংশিক পূর্ণ করে দিচ্ছিল।
","5","5","5"
" আমার বার বার মনে হচ্ছিল অন্ধকারের মধ্যে সে যেন আমার পাশে দাঁড়িয়ে ছন্দার দিকে একদৃষ্টিতে তাকিয়ে আছে।
","5","5","5"
" আমি তার শ্বাস-প্রশ্বাসের আওয়াজ শুনতে পাচ্ছি।
","5","5","5"
