"sentence","emotion A1","emotion A2","emotion A3"
"বাইরে মুষলধারে বৃষ্টি পড়ছে।
","5","5","5"
" দুর্যোগের কালো মেঘ যেন ঘনিয়ে এসেছে গোটা শহর জুড়ে।
","5","5","5"
" মুহুর্মুহু বিদ্যুতের ফলা বর্শার মতো ছিন্নভিন্ন করে দিচ্ছে আকাশের এক প্রান্ত থেকে আরেক প্রান্ত।
","5","5","5"
" প্রবাহ দক্ষিণের জানলার সমানে এসে দাঁড়ায়।
","5","5","5"
" অনতিদূরে স্ট্রিট ল্যাম্পের নিয়ন আলো ফোঁটায় ফোঁটায় জানলার কাঁচ ভেদ করে চুঁইয়ে পড়ছে।
","5","5","5"
" প্রবাহ সেদিকে অপলক তাকিয়ে থাকে।
","5","5","5"
" পাশের বাড়ির এসবেস্টসের ছাদে কোনো এক মোহময় ছন্দে জলের তীব্রধ্বনি বেজে চলেছে এক নাগাড়ে।
","5","5","5"
" খুব কাছেই কোথাও একটা কড়কড় শব্দে বাজ পড়ে।
","5","5","5"
" কেঁপে ওঠে প্রবাহ।
","5","5","5"
" আজ রাত্রিটা অফিসেই কাটাতে হবে মনে হচ্ছে।
","5","5","5"
" কয়েক ঘন্টার একটানা বৃষ্টিতে অফিসের আশেপাশের এলাকায় জল জমেছে বেশ।
","5","5","5"
" এই অবস্থায় বাইক চালিয়ে কসবা থেকে বাড়ি ফেরা একপ্রকার দুঃসাধ্য ব্যাপার।
","5","5","5"
" তাছাড়া কাল সকালেই আবার অফিস থেকে সুন্দরবন যেতে হবে তাকে।
","5","5","5"
" সুতরাং সমস্ত দিক ভেবে অফিসেই থেকে যাওয়ার সিদ্ধান্ত নিয়ে ফেলে প্রবাহ।
","5","5","5"
" বসকে আগাম জানিয়ে রেখেছে।
","5","5","5"
" কিছুক্ষন আগে বাড়িতেও ফোন করে জানিয়ে দিয়েছে।
","5","5","5"
" উল্টো দিকের চাইনিজ রেস্তোঁরার হাক্কা নুডলস দিয়ে চটজলদি ডিনার সারা হয়ে যায় তার।
","5","5","5"
" দশটা অবধি জনা তিনেক ছিল অফিসে।
","5","5","5"
" ধীরে ধীরে তারাও যে যার সুবিধেমতো বেড়িয়ে পড়েছে বৃষ্টি মাথায় নিয়েই।
","5","5","5"
" অতঃপর এই চারতলার বিল্ডিংটায় ভূতের মতো চুপচাপ রাত কাটানো ছাড়া অন্য কোনো উপায় নেই।
","5","5","5"
" সিকিউরিটি আছে একজন অবশ্য, নাম হরিপদ।
","5","5","5"
" সেও বোধহয় এতক্ষনে গ্রাউন্ড ফ্লোরে লোহার গেট বন্ধ করে নিজের ঘরে ঢুকে পড়েছে।
","5","5","5"
" নিচের থেকে হিন্দী গানের একটা কলি ভেসে আসছে যেন।
","5","5","5"
" হরিপদ বোধহয় রেডিও চালিয়েছে।
","5","5","5"
" গুনগুন করে সেই সুরটা ভাঁজতে ভাঁজতে প্রবাহ সোফার ওপর গা এলিয়ে দিয়ে একটা সিগারেট ধরায়।
","5","5","5"
" পশ্চিমের এই ঘরটা খুব একটা বড় না হলেও বেশ আরামদায়ক।
","5","5","5"
" দক্ষিণ আর পূর্ব দিকে একটা করে জানলা, কোণের দিকে একটা টেবিল, ডান পাশে একটা চেয়ার।
","5","5","5"
" টেবিলের ওপর খানকতক অফিসের কিছু জার্নাল, ম্যাগাজিন, একটা পেন স্ট্যান্ড আর একটা টেবিল ক্যালেণ্ডার।
","5","5","5"
" ঘরের পশ্চিম দেওয়াল ঘেঁষে একটা সুদৃশ্য মেহগনী রঙের এলাহী সোফা যার ওপর টানটান হয়ে শুয়ে প্রবাহ একটার পর একটা ধোঁয়ার রিং ছাড়তে থাকে।
","5","5","5"
" এই ঘরটা আগে সিনিয়র অপারেশন ম্যানেজারের ঘর ছিল।
","5","5","5"
" তিনি দুতলায় শিফট হয়ে যাওয়াতে এখন টুকটাক অবসর কাজের জন্যই এটা ব্যবহৃত হয়।
","5","5","5"
" প্রবাহর কাছে অবশ্য অফিসে রাত কাটানোটা নতুন কিছু নয়।
","5","5","5"
" প্রোডাকশন হাউজ হওয়ার দরুন এডিটিংয়ের কাজে মাঝেমাঝেই টিমের প্রায় সকলকেই এখানে থাকতে হয়েছে কোনো না কোনো সময়ে।
","5","5","5"
" তবে তফাতের মধ্যে আজ শুধু প্রবাহকে একা থাকতে হচ্ছে।
","5","5","5"
" সেটাও হতো না যদি না কাল সকাল সকাল বেরোনোর ঝঞ্ঝাট থাকতো।
","5","5","5"
" হাত বাড়িয়ে আলোর সুইচটা নিভিয়ে দেয় প্রবাহ।
","5","5","5"
" উইন্ডো এসিটাকে বাইশ ডিগ্রিতে সেট করে নিজের ফোনটা বের করে আনে।
","5","5","5"
" এখন সবে সাড়ে বারোটা।
","5","5","5"
" রাস্তা থেকে কোনো এক গাড়ির হেডলাইটের আলো, জানলার মসৃন কাঁচ ছুঁয়ে ঘরের দেওয়াল বেয়ে মিলিয়ে যায়।
","5","5","5"
" বাইরে বৃষ্টিটা বোধহয় সামান্য ধরেছে।
","5","5","5"
" যতক্ষণ না ঘুম আসে ততক্ষন একটা সিনেমা দেখার প্ল্যান করে নেয় সে।
","5","5","5"
" ফোনের স্ক্রিনে হাত দিতেই ফোনটা তীক্ষ্ন সুরে বেজে ওঠে।
","5","5","5"
" স্ক্রিনের আলোয় দপদপ করছে দীপ্তদার নাম।
","5","5","5"
" কি আশ্চর্য এতো রাত্রে ?
","5","5","5"
" উঠে বসে প্রবাহ?
","5","5","5"
" বোধহয় খোঁজ নিতেই ফোন করছে।
","5","5","5"
" সবুজ বাটনটা টিপে ফোনটা কানের কাছে ধরতেই ওদিক থেকে দীপ্তদার গলা পাওয়া যায়।
","5","5","5"
" - কিরে, কাঁচা ঘুম ভাঙালাম নাকি ?
","5","5","5"
" - না না, ঘুমোইনি, বলো..... - তিনতলার অফিসে আছিস তো ?
","5","5","5"
" - হ্যাঁ, ওখানেই.....কেন ?
","5","5","5"
" - আমি আসছি দু মিনিটে.....মোড়ের মাথায় সিগারেট কিনছি..... - সেকি ?
","5","5","5"
" এতো রাত্রে ?
","5","5","5"
" মানে তুমি, কিভাবে....... !! - বলছি বলছি....এসে সব বলছি..... দীপ্ত একই অফিসের কর্মী?
","5","5","5"
" প্রবাহ ভ্যাবাচ্যাকা খেয়ে যায়।
","5","5","5"
" একটা আনন্দ ও অবিশ্বাস মিশ্রিত ঢেউ খেলে যায় মনের মধ্যে।
","5","5","5"
" কতকটা হাঁপ ছেড়ে বাঁচে যেন।
","5","5","5"
" যাক ! এখন এই বিভীষিকার মধ্যে আর একা থাকতে হবে না।
","5","5","5"
" তড়িঘড়ি বলে, 'আচ্ছা, এসো এসো..... আমি হরিপদকে বলছি গেটটা খুলে দিতে '।
","5","5","5"
" - তার দরকার নেই, হরিপদকে ফোন করা হয়ে গেছে আমার, তুই বরং ফ্লোরের দরজাটা খুলে রাখ।
","5","5","5"
" - আচ্ছা বেশ..... প্রবাহ ঘর থেকে বেরিয়ে তিনতলার দরজাটা খুলে দেয়।
","5","5","5"
" কিছুক্ষন বাদেই জুতোর মশমশ শব্দ করতে করতে দীপ্ত উঠে আসে ওপরে।
","5","5","5"
" ঘরে এসেই একগাল হাসি দিয়ে বলে, 'কিরে, কেমন সারপ্রাইজ দিলুম বল' ?
","5","5","5"
" প্রবাহ হৈ হৈ করে ওঠে, উচ্চস্বরে বলে, 'ওয়েলকাম ওয়েলকাম?
","5","5","5"
" এ যে একেবারে বিনা মেঘে বজ্রপাত ঘটিয়ে দিলে তুমি ! এটা কি করে সম্ভব হল' ?
","5","5","5"
" জল ঝাড়তে ঝাড়তে ছাতাটা এককোণে রাখে দীপ্ত?
","5","5","5"
" তারপর ঠোঁটের কোণে আলগা হাসি ঝুলিয়ে বলে, 'বলছি বলছি, খাওয়া দাওয়া করেছিস তো' ?
","5","5","5"
" 'হ্যাঁ হ্যাঁ সেসব করে নিয়েছি অনেক্ষণ, তুমি বলো, হঠাৎ এখানে কিভাবে, কি করে' ?
","5","5","5"
" প্রবাহর আর তর সয় না?
","5","5","5"
" দীপ্ত চেয়ারটা টেনে নিয়ে বসে।
","5","5","5"
" ফস করে একটা সিগারেট ধরিয়ে বলে, 'আর বলিস কেন, বাড়ি ফিরে দেখি তোর বৌদি মুখটা এত্তবড় হাঁড়ি করে বসে আছে'।
","5","5","5"
" জিজ্ঞেস করলাম, 'কি ব্যাপার, এমন মুড্ অফ কেন ?
","5","5","5"
" কিছু হয়েছে ?
","5","5","5"
" তা সে বললে আমি নাকি কথা দিয়েছিলুম আজ তাড়াতাড়ি বাড়ি ফিরব, একসাথে সিনেমা দেখব, আমি নাকি কথার খেলাপ করেছি, ইত্যাদি ইত্যাদি...... আরেবাবা, বৃষ্টি কি আর আগাম নোটিশ পাঠিয়ে কলকাতার বুকে ঝরে পড়বে, নাকি আমি হাত গুনে বলে দিতে পারব যে আজ আকাশের পরিস্থিতি কেমন থাকবে' ?
","5","5","5"
" প্রবাহ হাহা করে হেসে উঠে জিজ্ঞেস করে, 'তারপর' ?
","5","5","5"
" - তারপর আর কি, যতই বোঝাতে যাই আমি ইচ্ছে করে দেরি করিনি, ততই সে ইনিয়ে বিনিয়ে নানারকম ফিরিস্তি দিয়ে প্রমান করতে থাকে আমি নাকি এক কথার মানুষ নই, আমি যেন ইচ্ছে করেই এসব ষড়যন্ত্র করি, আড্ডা মারা নাকি আমার বেসিক ট্রেটের মধ্যে পরে, সমস্তটাই আমার কারসাজি, অমুক তমুক..........'?
","5","5","5"
