"sentence","emotion A1","emotion A2","emotion A3"
"১ম অধ্যায় বুধবার , ২৫ শে আগস্ট , ২০৪৯ তৃতীয় বিশ্বযুদ্ধের আগে যা ছিলো থিকথিকে ভীড়ের কোলকাতা মহানগরী, এখন তা আকার নিয়েছে আগাছা জঙ্গলে ভরা অজানা এক ভগ্নস্তুপের।
","5","5","5"
" যেদিকেই চোখ যায়, ভেঙে পড়া বাড়ির কঙ্কাল।
","5","5","5"
" কোনটা বাসস্থান আর কোনটা দোকানঘর বা শপিং মল ছিলো খুব কাছে গিয়ে পর্যবেক্ষণ না করলে বলা মুশকিল।
","5","5","5"
" সরকার নেই।
","5","5","5"
" কোটি কোটি মানুষের প্রাণ কেড়ে নেওয়া সেই পারমাণবিক ঝলকানি চলেছিলো পারমাণবিক উৎসবের মতো - পর পর ২ বার কোলকাতামুখী নিউক্লিয়ার ওয়ারহেড মানুষের বেঁচে থাকার শেষ খুঁদকুড়োটুকু কেড়ে নিয়েছিলো ২০২৩ এর ৬ ই আগস্টের এক অভিশপ্ত শুক্রবারে।
","5","5","5"
"ঘটনার সূত্রপাত ২০-র দশকে।
","5","5","5"
" ২০২২ সাল তখন।
","5","5","5"
" পৃথিবীর গড় তাপমাত্রা বেড়ে হয়েছিলো স্বাভাবিকের চেয়ে ৩ ডিগ্রি বেশি।
","5","5","5"
" সুমেরু আর কুমেরুর বরফ গলে সমুদ্রের জল এগিয়ে এসে গিলে নিয়েছিলো সারা পৃথিবীর বহু উপকূলবর্তী শহর, গ্রামাঞ্চল ও অরণ্যভূমি।
","5","5","5"
" হিমালয়ের বরফের স্তর অনেক পাতলা হয়ে আসায় গঙ্গার মতো সদাবহমান নদীও হয়ে পড়েছিলো অভাবী অভাগীনি ।
","5","5","5"
" কোলকাতা থেকে উপকূল এখন মেরেকেটে ৫০ কিলোমিটার।
","5","5","5"
" সুন্দরবন বলে কিছু অবশিষ্ট নেই।
","5","5","5"
" বাঘের সংখ্যা দ্রুতলয়ে কমতে থাকায় অবশিষ্ট বাঘেদের স্থানান্তরিত করা হয়েছিলো ডুয়ার্সের অভয়ারণ্যে।
","5","5","5"
" দেশের রাজনৈতিক ও সামাজিক পরিস্থিতিও তলানিতে তখন।
","5","5","5"
" শিক্ষা, স্বাস্থ্যব্যবস্থা ভেঙে পড়েছে সরকারের ব্যর্থতায়।
","5","5","5"
" উদ্ভ্রান্তের মতো মানুষ পরিযায়ী হচ্ছে প্রথম বিশ্বের শরণার্থী শিবিরে ঠাঁই পাওয়ার আশায়।
","5","5","5"
" ধনীরা পারছে কালোবাজারের হাত ধরে, গরিব আর মধ্যবিত্ত ধুঁকছে, সর্বস্ব খুইয়ে মারা যাচ্ছে, আত্মহননের পথে এগিয়ে যাচ্ছে দৈহিক আর মানসিক কষ্টে।
","5","5","5"
"প্রথম বিশ্ব নিজের প্রাধান্য টিকিয়ে রাখতে তৃতীয় বিশ্বের ওপর নামিয়ে এনেছিলো প্রবল অর্থনৈতিক শোষণ।
","5","5","5"
" তৃতীয় বিশ্বের দেশগুলো তখন বেকারত্বের চাপে নাভিশ্বাস ফেলছে।
","5","5","5"
" বিদ্যুৎ, বিশুদ্ধ পানীয় জল সরবরাহের মতো বিষয়গুলো ভেঙে পড়েছে দেশীয় ও রাজ্য সরকারগুলোর আর্থিক দেউলিয়াপনায়।
","5","5","5"
" এই অবস্থাতেই বিশ্বে ধর্মীয় মৌলবাদের থাবা ক্রমশ দেশগুলোকে গ্রাস করছে এবং মৌলবাদী শক্তিগুলো ক্রমশই রাজনীতিতে সবাইকে পেছনে ফেলে জনপ্রিয়তায় এক নম্বরে চলে আসছে।
","5","5","5"
" এশিয়া, ওশিয়ানিয়া, ইউরোপ, আফ্রিকা, অ্যামেরিকা কোনো মহাদেশই পিছিয়ে নেই।
","5","5","5"
" এরকম এক যুদ্ধ ও আক্রোশের পরিবেশেই ঘটে গেলো ধর্মীয় মেরুকরণের ভিত্তিতে দুটি প্রধাণ বিরোধী শক্তির উদ্ভব।
","5","5","5"
" অনেকটা দ্বিতীয় বিশ্বযুদ্ধের মিত্রশক্তি ও অক্ষশক্তির মতোই।
","5","5","5"
" শুধু দেশগুলো আলাদা ও অযুহাত ভিন্ন।
","5","5","5"
" ""আত্মরক্ষা ও জঙ্গীদমন"" দুপক্ষের অভিযোগই এক এবং অভিযুক্ত দুপক্ষই।
","5","5","5"
