"sentence","emotion A1","emotion A2","emotion A3"
"       (১) অভিনেত্রী খুন ভোরবেলা ফোনের আওয়াজে ঘুম ভাঙ্গলো রোদ্দুরের।
","5","5","5"
" ওপার থেকে কাঁপা কাঁপা কন্ঠে সোহেলের ফোন, ""রোদ্দুর সোহিনী আর নেই,কাল শুটিং ছিল ওর।
","5","5","5"
" হঠাৎই একটা সিন চলাকালীন ফ্লোরে পড়ে যায়।
","5","5","5"
" সবাই ভাবে অজ্ঞান হয়েছে।
","5","5","5"
" ডাক্তার এসে জানায় মৃত।
","5","5","5"
" রুদ্রর আন্ডারে  পড়েছে কেসটা।
","5","5","5"
" ওই আমাকে জানালো কল করে।
","5","5","5"
""" ""হঠাৎ কিভাবে?
","5","5","5"
""" বলল রোদ্দুর?
","5","5","5"
" ""জানি না রে তবে রুদ্র বলছে স্বাভাবিক মৃত্যু নয়।
","5","5","5"
" বডিটা পোস্টমর্টেমে গেছে।
","5","5","5"
"রিপোর্ট না আসা অব্দি কিছু বলা যাবে না।
","5","5","5"
" পোস্টমর্টেমটা আমাকেই করতে হবে রে।
","5","5","5"
" ভাবিনি এমনও হবে।
","5","5","5"
""" এই পর্যন্ত বলে ফোন রাখল সোহেল।
","5","5","5"
" মেখলা, রোদ্দুর, সোহিনী, সোহেল স্কুল লাইফের চার বন্ধু।
","5","5","5"
" বর্তমানে ভিন্ন পেশায়  নিযুক্ত থাকলেও সোহিনীর মৃত্যু তাদের ভীষনভাবে নাড়া দিয়ে যায়।
","5","5","5"
" মেখলা পেশায় ডাক্তার।
","5","5","5"
" বর্তমানে একটা প্রাইভেট নার্সিং হোমে প্র‍্যাক্টিসরত।
","5","5","5"
" রোদ্দুর একটা নামি আই.টি সেক্টরে কর্মরত।
","5","5","5"
" সোহিনী টিভি সিরিয়াল অভিনেত্রী, এতদিন ছোট রোলে অভিনয় করলেও এই সিরিয়ালে লিড রোলে ছিল ও।
","5","5","5"
" আর সোহেল ফরেন্সিক ডাক্তার কলকাতা পুলিশের।
","5","5","5"
"  রুদ্র রায় সোহেলের কলিগ এই কেসের ইনভেস্টগেটিং অফিসার।
","5","5","5"
" রুদ্রর ধারণা কোনো বিষক্রিয়াতে এই মৃত্যু।
","5","5","5"
" কারণ গোটা শরীরে আঘাতের চিহ্ন নেই।
","5","5","5"
" আত্মহত্যা নয় কারণ সেটা হলে সেই মানসিক অবস্থায় সোহিনী শুটিং-এ আসত না।
","5","5","5"
" রুদ্র ফ্লোরে সকলকে জিজ্ঞাসাবাদ করে।
","5","5","5"
" রাতে রোদ্দুর ফোন করে সোহেলকে,""কী রে জানলি কিছু?
","5","5","5"
"""সোহেল উত্তর দেয় ,""হুমমম!! Rudra was correct as usual. বিষক্রিয়ায় মৃত্যু?
","5","5","5"
" রিক্সিন নামে একটা সাংঘাতিক বিষ, যেটা রেড়ি মানে আরে castor seed থেকে পাওয়া যায়।
","5","5","5"
" শ্বাসপথ বা খাবার যে-কোনোভাবে বডিতে যেতে পারে।
","5","5","5"
" আর প্রবেশের ১০-১৫মিনিটের মধ‍্যে দম বন্ধ হয়ে মৃত্যু অনিবার্য।
","5","5","5"
" কিন্তু অদ্ভুত কী জানিস! ওর মেক-আপ কীট থেকে আরম্ভ করে কোথাও রিক্সিনের কোনো স্ট্রেস পেলাম না।
","5","5","5"
" ওর খাবার বা পেটে বিষ নেই।
","5","5","5"
" I am totally confused।
","5","5","5"
" আরো মাথা খাটাতে হবে রে।
","5","5","5"
"""শুনে রোদ্দুর বলে,""কে হতে পারে কিছু idea করতে পারলি।
","5","5","5"
""" No, not yet. But I think may be professional reason. উঠতি নায়িকা বেশ কিছু affair...বোঝা যাচ্ছে না রে।
","5","5","5"
""" ""আচ্ছা সোহেল বিষটা শরীরে গেল কীভাবে বুঝলে কিছু?
","5","5","5"
"""রুদ্র জিজ্ঞেস করলো?
","5","5","5"
"""পেটে কিছু পাওয়া যায়নি।
","5","5","5"
" তাই আন্দাজ করতে পারছি না ঠিক।
","5","5","5"
" ওর মেক-আপ কিট-এও কোনো কিছু নেই।
","5","5","5"
" তুমি ফ্লোরের লোকজনকে জিজ্ঞাসা করে কিছু জানতে পারলে?
","5","5","5"
""" সোহেল বলে?
","5","5","5"
" রুদ্র জানায় যে তেমন কিছু নয়।
","5","5","5"
" সোহিনী সকাল দশটা নাগাদ আসে শুটিং-এ মেক-আপ করে।
","5","5","5"
" তারপর ফ্লোরে যায় ১১টা নাগাদ।
","5","5","5"
" ফার্স্ট সিন শ‍্যুট করে ভ‍্যানে আসে।
","5","5","5"
" প্রব্লেম যেটা এই টাইমে ওর বয় ফ্রেন্ড শুভ্র যার সাথে right now ও রিলেশনে আছে বা ছিল সে আসে।
","5","5","5"
" শুভ্র পেশায় ডাক্তার যতদূর শুনলাম কোনো এক পার্টিতে আলাপ।
","5","5","5"
" লিজা সোহিনীর মেক-আপ আর্টিস্ট বাইরেই ছিল কিছু কথা কাটাকাটির আওয়াজ শোনে।
","5","5","5"
" কিন্তু শুভ্র ভ‍্যান থেকে বেরোনোর পর লিজা টাচ-আপ করাতে যায় সোহিনীকে।
","5","5","5"
" তেমন কিছু লক্ষ করে নি ও।
","5","5","5"
" সোহিনী তখন স্মোক করছিল।
","5","5","5"
" ""কী বললে?
","5","5","5"
" ইসসসসসস....""আফসোসের ভঙ্গিতে বসে পড়ে সোহেল?
","5","5","5"
" তারপর জানায় সোহিনী কলেজ থেকেই চেন স্মোকার ছিল।
","5","5","5"
" খাবার না অন্য কোনোভাবে বিষ শরীরে গেছে।
","5","5","5"
