"sentence","emotion A1","emotion A2","emotion A3"
"মুক্তি নন্দা মুখার্জী রায় চৌধুরী সে দিনটি ছিলো অমাবস্যা।
","5","5","5"
"সরকারী চাকরির পদোন্নতি ও বদলির সুবাদে অচেনা,অজানা এক গ্রামের উদ্দেশে রওনা দিলাম ।
","5","5","5"
"গ্রামে নূতন পোষ্ট অফিস হওয়াতে আমাকে পোষ্টমাষ্টার পদে উত্তীর্ন করে বলতে গেলে এক জনমানব শূন্য দ্বীপে সরকার পাঠিয়ে দিলেন।
","5","5","5"
"কলকাতা শহরের জনবহুল এলাকা বালিগঞ্জ আমার বাড়ি।
","5","5","5"
"এক মেয়ে, অন্তঃসত্ত্বা স্ত্রী আর মাকে নিয়ে সাজানো গুছানো সংসার আমার।
","5","5","5"
" পেটের দায়ে সরকারী আজ্ঞা অমান্য করতে পারিনা।
","5","5","5"
" সরকার বাহাদুর এক ধাক্কায় আমাকে পোষ্টমাষ্টার বানিয়ে গলাধাক্কা দিয়ে এক গন্ডগ্রামে পাঠিয়ে দেওয়ার সু-বন্দোবস্ত করে ফেললেন।
","5","5","5"
"আমিও মোটা মাইনে আর বেঁচে থাকা এবং পরিবারের বাকি সদস্যদের আরও ভালো রাখার তাগিদে বাধ্য শিশুর মত ব্যাগ-প্যাটরা গুছিয়ে পলাশপুর গ্রামের উদ্দেশ্যে রওনা দিলাম।
","5","5","5"
" দুপুরে খেয়েদেয়ে লোটা-কম্বল গুছিয়ে নিয়ে হাওড়া স্টেশনে এসে হাজার হাজার লোকের ভিতর দাঁড়িয়ে মনে হচ্ছিলো কলকাতা শহরের এবং তার আশেপাশের সমস্ত জায়গার লোক যেন আজ হাওড়া স্টেশনে এসে জমা হয়েছে।
","5","5","5"
"তখন মেয়ের ছেলেবেলার একটা কথা খুব মনে হচ্ছিল, মেয়েকে নিয়ে বাসে উঠলেই বাসটা যদি ভিড় হয়ে যেত আমার ছোট্ট মেয়ে তখন বলতো,""বাবা, আমি যে বাসটায় উঠি সেটাতেই সবাই উঠে কেন?
","5","5","5"
