"sentence","emotion A1","emotion A2","emotion A3"
"সকাল আটটা বাজে এখনো এক কাপ চা দিতে পারলোনা?
","5","5","5"
" বিদ্যুৎ বাবুর মেজাজ খারাপ হতে থাকে?
","5","5","5"
"কিন্তু নিজেও জানেন এখন তিনি দাঁত, নখ হীন সিংঘ ।
","5","5","5"
"জীবনে টাকা প্রচুর রোজগার করেছেন, বিত্ত আর প্রতিপত্তির মিশ্রনে তিনি অপ্রতিরোধ্য ছিলেন।
","5","5","5"
"কোন বড় ঘরে সোনার চামচ মুখে নিয়ে জন্মান নি তবু শুধু নিজের চেষ্টায় এক পুরুষেই বিশাল সম্পত্তি করেছেন, ভারতের নানা জায়গায় ওনার ব্যবসা আছে।
","5","5","5"
"কলকাতাতে বাড়ি করেছেন স্ত্রীর শখে সিমলায় একটা ফার্ম হাউজ ও করেছেন।
","5","5","5"
" এটা ঠিক শুধু বিদ্যা-বুদ্ধি নয় স্ত্রী ভাগ্যেও ভাগ্যবান ছিলেন।
","5","5","5"
"সুচরিতা ছিলেন বনেদী জমিদার বাড়ির মেয়ে।
","5","5","5"
" জমিদারী নেই কিন্তু বনেদীয়ানা, আভিজাত্য ছিল।
","5","5","5"
"স্ত্রী যে কতবড় শক্তি, যে পুরুষ মর্যাদা দিতে পেরেছে সেই খালি জানে।
","5","5","5"
"অবসর সময়ে সুচরিতার সঙ্গ ; আজ ও মনে হলে বুক ভরে যায়।
","5","5","5"
" কত্ত দুষ্টুমী যে করতো!সামান্য জ্বরে এইভাবে চলে যাবে কখনো বিদ্যুৎ ভাবেন নি।
","5","5","5"
" সুচরিতা! আহ! নামটা মনে মনে উচ্চারন করেন।
","5","5","5"
" কোথায় চলে গেলে আমায় ছেড়ে?
","5","5","5"
" তুমিতো বলেছিলে কোনদিন যাবে না আমায় একা ফেলে, তবে?
","5","5","5"
" সুচরিতা, স্বর্গেও কী তুমি ভাল থাকতে পারবে আমায় ছাড়া?
","5","5","5"
" ঃ সাহেব, আপনার চা?
","5","5","5"
" আমি বানিয়ে দেবো?
","5","5","5"
" নিত্যানন্দএর কথায় চোখ খুললেন বিদ্যুৎ?
","5","5","5"
"সামনে ট্রলিতে চায়ের সরঞ্জাম নিয়ে দাঁড়িয়ে আছে।
","5","5","5"
" ঃ বানাও।
","5","5","5"
" এতো দেরী কর কেন নিত্য?
","5","5","5"
" সামান্য চা টাও কী সময়ে দিতে পারোনা?
","5","5","5"
" ঃ আমি একা হাতে কতদিক যাবো সাহেব?
","5","5","5"
"সকালে বৌরানীর তাড়া থাকে, রাজা বাবার অফিস, মুনিয়া দিদির স্কুল সব সামলে... ঃ বাড়িতে কী চাকর, বাকরের অভাব পরেছে?
","5","5","5"
"একটু বোধহয় গলাটা চড়েই গেলো?
","5","5","5"
" ঃ কী হয়েছে?
","5","5","5"
" মৃত্তিকার ঠান্ডা গলার প্রশ্নে বিদ্যুতবাবুও চমকালেন?
","5","5","5"
"বাড়িতে যেমন অনেক কাজের লোক তেমনি কাজ ও অনেক।
","5","5","5"
" বসে বসে অর্ডার দিলেই কোন আলাদীনের যাদু দৈত্য নেই যে সব কাজ হয়ে যাবে।
","5","5","5"
" বিদ্যুৎ হতবাক হয় যান ছেলের বউএর স্পর্ধা দেখে।
","5","5","5"
"একমাত্র ছেলে বিনায়ক যখন এমবিএ করে পারিবারিক ব্যবসাতেই থাকতে চাইলো খুব খুশী হয়েছিলেন।
","5","5","5"
"বিশ্বস্ত হাতে সব কিছু ছাড়তে ভালোলেগেছিল।
","5","5","5"
" সেই ছেলেই যখন নিম্ন মধ্যবিত্ত ঘরের মেয়ে মৃত্তিকাকে বিয়ের জন্য জিদ ধরলো তখন রাজী হননি।
","5","5","5"
" সুচরিতাই বুঝিয়ে ছিল,’যে আজকের যুগে এমন বিয়েই হয়।
","5","5","5"
" যাতে ছেলে সুখী হবে তাতেই রাজী হওয়া ভালো।
","5","5","5"
"‘যতদিন সুচরিতা ছিল বউ এর নীচ মানসিকতার আভাস পাননি এখন সেই নির্লজ্জ লোভ রোজ দেখছেন।
","5","5","5"
" সুচরিতার সামনে কেমন গুটিয়ে থাকতো এই মেয়ে! আর আজ এতো বড় সাহস বিদ্যুতের মুখের ওপর জবাব দিচ্ছে?
","5","5","5"
"রাগে, বিতৃষ্ণায় মুখ দিয়ে একটাই কথা অস্ফুটে উচ্চারন করলেন,’ছোটলোক?
","5","5","5"
"‘ সন্ধ্যায় রোজ ই মেপে দুপেগ স্কচ খান।
","5","5","5"
" আজ কিন্তু দুই থেকে তিন হয়ে যখন চার নম্বর পেগ বানাচ্ছেন তখন নেশা ধরানো সুগন্ধীতে মন মাতাল হয়ে গেলো।
","5","5","5"
" এটাই তো শানেল নাম্বার ফাইভ, সুচরিতার পছন্দের পারফ্যিউম।
","5","5","5"
" ঃ চিত্রা(স্ত্রীকে আদর করে একান্তে এই নামেই ডাকতেন), তুমি কোথায়?
","5","5","5"
" ঃ কোথাও যাইনি, আমি তোমায় ছেড়ে?
","5","5","5"
" ঃ দেখতে পাইনা কেন তোমায়?
","5","5","5"
" চিত্রা! আজ খুব মন খারাপ আমার! ঃ জানি গো?
","5","5","5"
" সব দেখেছি।
","5","5","5"
" আমি আছি।
","5","5","5"
" সব ঠিক হয়ে যাবে।
","5","5","5"
" ঃ বিনু! তুমি বিজনেস পুরোটা সামলাও, বাবাকে বলো এবার সব তোমার নামে লিখে দিতে।
","5","5","5"
" ওনার বয়স হয়েছে।
","5","5","5"
" কবে পটল তুলবে তখন সবাই এসে ভাগ চাইবে।
","5","5","5"
" কথা ক’টা বলে সাপের মত ফুঁসতে থাকে মৃত্তিকা।
","5","5","5"
" ঃ কী যা তা কথা বলছো?
","5","5","5"
" আমি বাবার একমাত্র সন্তান, কে আসবে এই প্রপার্টিতে ভাগ বসাতে?
","5","5","5"
" ঃ কে জানে! তোমাদের বড়লোকেদের কারবার?
","5","5","5"
" অন্য কোথাও খান কয়েক মেয়েমানুষ কী আর ছিলোনা?
","5","5","5"
" হুহ! সব জানা আছে?
","5","5","5"
" বড়লোকদের আবার চরিত্র! ঃ আমি কখনো ই বাবাকে এইধরনের কথা বলব না।
","5","5","5"
" মা চলে গেছে, একা মানুষ টাকে কোথায় যত্ন করবে তা না, যত্তসব মীন মাইন্ডের...।
","5","5","5"
" ঃ কী?
","5","5","5"
" কী বললে?
","5","5","5"
" আমি মীন আর তোমরা সব উদার?
","5","5","5"
" তাইনা?
","5","5","5"
" ঃ শাট আপ! ঃ ইউ শাট আপ! কথাকাটাকাটির মাঝখানেই পাওয়ার কাট?
","5","5","5"
"এইবাড়িতে পাওয়ার ব্যাক আপ আছে।
","5","5","5"
" নীচে দারয়ানের ঘরের পাশেই রাখা।
","5","5","5"
" ওরাই চালাবে।
","5","5","5"
"কিন্তু দশ মিনিটেও যখন আলো জ্বললোনা তখন বিনায়ক এমার্জেন্সী ল্যাম্প নিয়ে নীচে গেলো।
","5","5","5"
" ঃ বউমা! ঃকে?
","5","5","5"
" কে?
","5","5","5"
" ঃ শোন মেয়ে, তোমাকে এবাড়ীর বউএর মর্যাদা দিয়ে আনা হয়েছে?
","5","5","5"
" জানি স্বপ্নেও ভাবোনি যে টাকার পরিমানের কথা তার ই মালকিন হয়ে তোমার মাথা ঘুরে গেছে।
","5","5","5"
" আমার স্বামীর রক্ত জল করা টাকায় বসে তার ই পিছনে ষড়যন্ত্র করছো?
","5","5","5"
" ঃ ম্মা! আআপ্নি?
","5","5","5"
" ঃ মৃত্যুতো শুধু খোলস বদলানো?
","5","5","5"
" আত্মার মৃত্যু নেই।
","5","5","5"
"আমি এই বাড়িতেই আছি সব সময়।
","5","5","5"
" কাল থেকে কিছু বেচাল দেখলে তোমার ও খোলস বদলে দেবো।
","5","5","5"
" মেয়ের মুখের দিকে তাকিয়ে আশা করি আর কোন হঠকারিতা করবে না।
","5","5","5"
" ঃ আমায় ক্ষমা করুন মা! হাত জোর করে কাঁদতে থাকে মৃত্তিকা।
","5","5","5"
" আলো এসে গেছে।
","5","5","5"
" বিনায়ক ঘরে এসে ওকে কাঁদতে দেখে জিজ্ঞাসা করে,’কী হয়েছে?
","5","5","5"
"’ মৃত্তিকা কোন জবাব দেয়না?
","5","5","5"
" পরের দিন সকাল ছ’টায় মৃত্তিকার মিষ্টি নরম সুরে ‘বাবা’ ডাকে ঘুম ভেঙে খুব চমকান বিদ্যুতবাবু।
","5","5","5"
" ঃ বাবা! আপনার চা।
","5","5","5"
" আমি বানিয়ে এনেছি, দেখুন তো ঠিক হয়েছে কী না?
","5","5","5"
" বিদ্যুৎ বাবু চমকালেও চুপ করে চায়ে চুমুক দেন?
","5","5","5"
" ; আহ! খুব ভালো হয়েছে মা।
","5","5","5"
" ঃ বাবা, আমি কালকের ঘটনার জন্য খুব লজ্জিত।
","5","5","5"
" আমায় মাফ করে দিন।
","5","5","5"
" ঃ ঠিক আছে।
","5","5","5"
" অমন তো হয়েই থাকে।
","5","5","5"
" মৃত্তিকা চলে যেতেই হালকা খিল খিল হাসি আর শানেল নাম্বার ফাইভের গন্ধে বিদ্যুৎ বাবু বুঝে যান কে কার মাথার ভুত তাড়িয়েছে।
","5","5","5"
" ।
","5","5","5"
