"sentence","emotion A1","emotion A2","emotion A3"
"না-মানুষী কথা সংঘমিত্রা রায়চৌধুরী ------------------------------- সুমন চাকরি পাওয়ার পর দুটো বছর না ঘুরতেই সুমনের বাবা মা সুমনের জন্য পাত্রী দেখতে শুরু করলো।
","5","5","5"
" সুমন চাকরির সুবাদে কোলকাতায়, একা একা একটা এককামরার ফ্ল্যাট ভাড়া নিয়ে থাকে অফিসের কাছাকাছি অঞ্চলে।
","5","5","5"
" আইটি সেক্টরের চাকরিতে ডিউটি আওয়ার্স বড়ো বেয়াড়া।
","5","5","5"
" সময়ের সাথে কাজের কড়ায় গন্ডায় হিসেবেনিকেশ বুঝে নিতে কোম্পানির ম্যানেজমেন্ট একেবারে সিদ্ধহস্ত।
","5","5","5"
" সুতরাং কৃষ্ণনগরের বাড়ী থেকে রোজ যাতায়াত করে ধৈর্য্য বজায় রেখে চাকরি করা একেবারেই অসম্ভব এক ভাবনা।
","5","5","5"
" কাজে কাজেই সুমনও বাধ্য হোলো কোলকাতায় ফ্ল্যাট ভাড়া নিয়ে থাকতে।
","5","5","5"
" প্রথম প্রথম জনা পাঁচ-সাতেক কলিগ-বন্ধু মিলে একসাথে মেস করে থাকছিলো, কিন্তু কিছুদিনের মধ্যেই সেখানে রান্নার লোক, কাজের লোক ইত্যাকার অসুবিধার কারণে মেসে ভঙ্গ দিতে হোলো।
","5","5","5"
" বাকীরা এদিক ওদিক ছড়িয়ে ছিটিয়ে যে যার মতো ব্যবস্থা করে নিলো বটে, কিন্তু সুমন পড়লো মহাফাঁপড়ে।
","5","5","5"
" ইঞ্জিনিয়ারিং পড়ার চার চারটে বছর পেয়িং গেস্ট থেকে বেচারির হজমশক্তির বারোটা বেজে বসে রয়েছে।
","5","5","5"
" পেটের আরো বেশী দফারফা যাতে না হয় এবং পাকাপাকিভাবে ভরা যৌবনেই যাতে ছেলের নামে 'পেটরোগা' এই স্ট্যাম্পটি না পড়ে যায়, সেই কথা মাথায় রেখেই সুমনের মা বাবা এই আলাদা ফ্ল্যাট ভাড়া নিয়ে থাকার ব্যাপারে অগ্রণী ভূমিকা পালন করেছে।
","5","5","5"
" আর অগত্যা সুমন স্বপাকে ভোজন করতে শুরু করেছে, পেট আর শরীর বাঁচাতে অন্য রাস্তাও তো আর খোলা ছিলো না ব্যাচেলরের সংসারে।
","5","5","5"
" বাবা মা মামা মামী দিদি এবং ঘটকের তৎপরতায় সুমনের জন্য পাত্রী পছন্দ হয়েছে একজন।
","5","5","5"
" বিধবা মায়ের একমাত্র মেয়ে।
","5","5","5"
" ছোট্টবেলায় বাবা মারা যাবার পর মায়ের সাথে মামাবাড়ীতে থেকে মানুষ।
","5","5","5"
" সাদাসিধে ঘরোয়া কাজেকর্মে পটু মেয়ে, ছেলের বৌ হিসেবে ঠিক যেমনটি খুঁজছিলো সুমনের মা।
","5","5","5"
" দেখতে যে খুব সুন্দরী তা নয়, তবে বেশ একটা লালিত্য আছে বয়সোচিত।
","5","5","5"
" বিএ পাশ করেছে সবে, মেয়ের বাড়ী থেকে কোনো আপত্তির কারণই নেই।
","5","5","5"
" এতো ভালো সম্বন্ধ কেউ হাতছাড়া করে?
","5","5","5"
" একমাত্র ছেলের সাথে বিয়ের সম্বন্ধ, কোনো দাবী দাওয়া নেই, বিয়ের পরই কোলকাতায় ভাড়ার ফ্ল্যাটে স্বামীর সাথে একা সংসার করতে চলে যাবে?
","5","5","5"
" কোনো ঝুটঝামেলা নেই।
","5","5","5"
" সুতরাং সম্বন্ধ ঠিক হবার মাস দুয়েকের মধ্যেই শুভ দিনে শুভ লগ্নে চার হাত এক করে দেওয়ার বন্দোবস্ত করা হোলো।
","5","5","5"
" সুমন কোনোরকমে দিন ছয়েকের ছুটি জোগাড় করতে পেরেছিলো, আর সঙ্গে ঐ শনি রবি আর ২৬শে জানুয়ারী মিলিয়ে নিলো।
","5","5","5"
" মাঘের ঐ বাঘ কাঁপানো শীতে সুমনের বিয়ে হয়ে গেলো ঝুম্পার সাথে।
","5","5","5"
" হ্যাঁ, সুমনের বৌয়ের নাম ঝুম্পা।
","5","5","5"
" অষ্টমঙ্গলার জন্য আটদিন আর অপেক্ষা করা সম্ভব হোলো না।
","5","5","5"
" বৌভাতের পরের দিনই গিঁট খুলে দ্বিরাগমনের নিয়মকানুন বুড়ি ছোঁয়া করে সেরেই সুমনের মা ছেলের কোলকাতার বাসায় সংসার গুছিয়ে দেবার কাজে উঠে পড়ে লাগলো।
","5","5","5"
" ঝুম্পার মা তো মেয়ের এমন টিপটপ সংসার, বিবেচক শ্বশুরবাড়ি, সুপুরুষ নির্বিবাদী জামাই এসব পেয়ে হেসে কেঁদে আকূল।
","5","5","5"
" ছুটি যেদিন শেষ হচ্ছে সেদিনই সুমনের মা বাবা সকালে একেবারে ছেলে ছেলের বৌ মেয়ে জামাই এবং সঙ্গে ঝুম্পার মা'কেও নিয়ে নিজেদের বড়ো এসইউভি গাড়ীটা করে দক্ষিণেশ্বরে মায়ের বাড়ীতে পুজো দিতে গেলো।
","5","5","5"
" এবং পুজো সারা হলে ছেলে ছেলের বৌকে তাদের কোলকাতার ফ্ল্যাটে ছিমছাম নতুন সংসারে অধিষ্ঠান করিয়ে দিয়ে বিকেলেই সকলে একসাথেই আবার কৃষ্ণনগরে ফিরে গেলো।
","5","5","5"
" ******** ঝুম্পা সংসারের কাজ মোটামুটি জানে সবই, আর দু'জনের সংসারে এমনই বা কী কাজ?
","5","5","5"
" সুতরাং, ঝুম্পা অতি সুচারুভাবেই সংসারধর্ম পালন করতে লাগলো?
","5","5","5"
" সুমনের সময়ের বড়ো অভাব, ঐ কেবল সাপ্তাহিক ছুটির দিন বাদে আর তেমনভাবে ঝুম্পার সাথে সময় কাটানোটা হয়েই ওঠে না।
","5","5","5"
" ঝুম্পাও তার নিজের সাংসারিক কাজকর্ম নিয়েই মেতে থাকে।
","5","5","5"
" দু'জনের সম্পর্ক এখনও তেমন জমাট হয়ে ওঠে নি।
","5","5","5"
" একটু দূরত্ব আছে এখনও, এবং অভিজ্ঞরা জানেন ওটুকু মিটে যাবে, দু'জনে আর একটু বেশী সময়ের জন্য একান্ত হতে পারলেই।
","5","5","5"
" ঝুম্পা ইতিমধ্যেই আশপাশের দোকানপাট চিনেছে।
","5","5","5"
" সংসারের প্রয়োজনীয় যাবতীয় ঘরে ও বাইরে সবই ঝুম্পা একাহাতেই দিব্যি সামলায়।
","5","5","5"
" সুমনের ফিরতে ফিরতেই রাতে বেশীরভাগ দিনই বারোটার কাঁটা পেরিয়ে যায়।
","5","5","5"
" রাতের শিফট হলে তো সকালে হাক্লান্ত ফিরে স্নান করে একেবারে চা জলখাবার খেয়ে ঘুমিয়ে পড়ে।
","5","5","5"
" ঘুম থেকে উঠে দুপুরের খাওয়াদাওয়ার পরে আরেক দফা ভাতঘুম দিয়ে উঠে খানিকক্ষণ ফোন, টিভি এসব নিয়ে খুটুর খাটুর করে।
","5","5","5"
