"sentence","emotion A1","emotion A2","emotion A3"
"এই গল্পটির অডিও রূপান্তরিত শুনতে লিংকে যান :-https://youtu.be/m4zK_Dhg81g গত তিন দিন যাবত সারাদিনের ভ্যাপসা গরমের পর,বজ্রবিদ্যুৎ সহ বৃষ্টি নামছিল সন্ধ্যার দিকে।
","5","5","5"
"কোনো কোনো বছর এমনটা হয়,বৈশাখ মাসের শেষের দিকে।
","5","5","5"
"আজও সন্ধ্যায় বৃষ্টির ঝম্ ঝম্ শব্দ ও মেঘের গুরগুর ডাক শোনা যাচ্ছিল দরজা-জানলা বন্ধ ক্লাব ঘরেতে।
","5","5","5"
"আমাদের চারজনের নজর ক্লাবের 32 ইঞ্চি টিভির উপর।
","5","5","5"
"একটি নিউজ চ্যানেলে ফলাও করে একজন প্যারানরমাল ইনভেস্টিগেটরের রহস্যজনক মৃত্যুর ব্যাপারে বিস্তারিত দেখাচ্ছে।
","5","5","5"
"টিভিতে একজন মহিলা সাংবাদিক খবড় পড়ছেন :- শহরে ঘটেগেল আবার একটা  খুন, তবে  এই খুন  টা কোন  মানুষের কান্ড নয়,খুন হইছে  ভুতের  হাতে।
","5","5","5"
" হ্যাঁ  ঠিক শুনেছেন  এবারের খুনি কোন মানুষ নয়, ভুত।
","5","5","5"
" প্যারানরমাল ইনভেস্টিগেটর বিকাশ বিশ্বাসের  রহস্যজনক মৃত্যুতে চাঞ্চল্য ছড়িয়েছে গোটা শহরে।
","5","5","5"
"আজ সকাল সাড়ে আট্টা নাগাদ বেহালা থানার  পুলিশ তার ফ্ল্যাটের দো-তলার স্টাডি রুম থেকে দেহ উদ্ধার করেন।
","5","5","5"
" যতদুর জানা যাচ্ছে দেহে কোনো রকম  আঘাতের চিহ্ন পাওয়া  যাইনি।
","5","5","5"
"বিকাশ বাবুর কিছু পারা  প্রতিবেশি এবং আত্তিও সুজন দের ধারনা এটা কোন সাধারন খুন  বা suicide নয়।
","5","5","5"
"তাদের ধারনায় এ  কাজ কোন  মানুষের নয়।
","5","5","5"
"তারা বিশ্বাস করেন বিকাশ  বাবুর paranormal Investigation এর দরুন  কিছু অশুভ শাক্তির হাতে তিনি মারা পরেছেন।
","5","5","5"
"হা আপনারা  ঠিকই ভাবছেন,তারা  বিশ্বাস  করে এটা হইত ভুতের কান্ড।
","5","5","5"
"জদিও পুলিশে জানিয়েছে যে তদন্ত  না শেষ ক'রে কোন মন্তব্য তারা করবেন না।
","5","5","5"
"আপনাদের কি  মনে হই?
","5","5","5"
