"sentence","emotion A1","emotion A2","emotion A3"
"রাত্রি তখন প্রায় দেড়টা ছুঁয়েছে, পার্ক সার্কাসের ঘুপচি গলিটার কোনায় অন্ধকারে মিশে থাকা বাড়ির দরজাটা খুট করে অল্প শব্দ করে খুললো 'কালো বেড়াল', সুমন, সুমন বিশ্বাস, একদমই অচেনা কিন্তু ভীষণ অব্যর্থ এক খুনী, বর্তমান কলকাতায় লালবাজারের ত্রাস।
","5","5","5"
" সন্তর্পণে চারপাশে কেউ লুকিয়ে খেয়াল করেছে কিনা দেখে দরজাটা নিঃশব্দে বন্ধ করে ডিম লাইটটা জ্বাললো।
","5","5","5"
" ব্যাগ থেকে বের করলো তার অতি প্রিয় 'ঘোড়া', তার সাধের ব্যারেটা নাইন এমএম পিস্তলটা, হালকা আলোয় ছুরির মতোই চকচক করছে, এই জিনিস খোদ লালবাজারের কজনের কাছে আছে সন্দেহ, মুঙ্গেরের এক দোস্ত এনে দিয়েছিল এটা, শুটিং এর প্রাক্তন খেলোয়াড় হওয়ার সুবাদে সুমনের হাতের অব্যর্থ নিশানা, একটু আগেই একজন এমএলএ কে চিরতরে ঠান্ডা করে দিয়ে এসেছে একদম বব বাবুর মতো শান্ত ভাবে, যদিও পালিয়ে আসার পথে এক কনস্টেবলের সাথে ধাক্কা লেগে ঘাড়টা ব্যাথা হয়ে গেছে অল্প, জানে এখন হাওয়া গরম থাকবে কদিন, সুমনের সেটাকে থোড়াই কেয়ার, অন্ধকার জগতের কালো বিড়াল সে যে।
","5","5","5"
" বিছানায় শরীরটা এলিয়ে দেওয়ার আগে কি মনে হতেই নিজের ফেসবুকটা খুললো পকেট থেকে ফোন বের করে, খুনের ঘটনাটা নিউজ ফিডটাকে ভরেই দিয়েছে প্রায়, নিজেও নিশ্চিন্তে একটা রেস্ট ইন পিস পোস্ট করে বন্ধ করতে যাবে, হঠাৎ করেই সুমন একটা হার্টবিট যেন মিস করলো।
","5","5","5"
" ব্রততী সুমনের প্রথম এবং একমাত্র প্রেম, কলেজ জীবনের পুরোটাই জুড়ে থাকা এক মোহময়ী, টানা চোখ একরাশি চুল নিয়ে ছিপছিপে মেয়েটা যখন মিষ্টি গলায় গল্প করতে করতে করিডর দিয়ে যেত, সুমনের মতো অনেকেরই জীবন থেমে যাওয়ার উপক্রম হতো, কত গরম চায়ের কাপ যে শুধু ব্রততী কে দেখেই ঠান্ডা করে ফেলেছিল সুমন তা গুণে শেষ করা যাবেনা হয়তো, শেষ বছরটায়ও সুমন আরো অনেক চায়ের কাপ ঠান্ডা করেছিল, তবে দূরে নয় একদমই পাশে বসে থাকা ব্রততীর দিকে চেয়ে থেকেই, আসলে উস্কোখুস্কো চুলের স্বপ্নময় চোখওয়ালা সুমনের ফাইনাল ইয়ার শুরুর দিকে কলেজের অনুষ্ঠানের ফাঁকে তাদের কাছে আসা শুরু, শুটিংয়ে পদক জেতায় সুমনকে কলেজের পক্ষ থেকে সংবর্ধনার মধ্যে দিয়ে পুজোর আগেই প্রেম জমে ক্ষীর, মানে রীতিমতো অনেক অনেক গোপন জল গড়িয়ে গেছে ততদিনে।
","5","5","5"
" উত্তর কলকাতার এক বনেদি বাড়ির মেয়ে ছিল ব্রততী, তো যখন বর্ধমানের গ্রাম থেকে আসা সুমন প্রথম তার হবু শ্বশুর বাড়িতে যায় মনের ভেতরে কয়েকশো ফুল ফুটেছিল, কিন্তু সুমনের সাধারণ মানের ব্যাকগ্রাউন্ডটা জানা মাত্রই ভ্রু কুঁচকোলেন ব্রততীর বাবা, সুমন এটাই আশা করেছিল, স্বাভাবিক প্রতিক্রিয়া ভেবে পাত্তা না দিয়ে দুজনে দুজনের প্রেমে এতোই ডুবে গেলো যে কখন প্রেম হাত ছাড়িয়ে ওপরে নিচে ওঠানামা করে ফেলেছে কারোরই খেয়াল হলো না।
","5","5","5"
" কলেজ জীবন শেষ হয়ে আসার সাথে সাথে বেকারত্বের ভয় একদিন হঠাৎই সুমনকেও গ্রাস করে নিলো আর ওদিকে মেয়ে বাবা মায়ের বাধ্য হওয়ায় মেয়েকে বিভিন্ন ভালো দামি লাইফস্টাইলের উদাহরণ আর লোভ দেখিয়ে পাখিপড়া করে বুঝিয়ে দিলেন সুমন আঁস্তাকুর ছাড়া আর কোথাও যাওয়ার জায়গা নেই এই কলকাতায়।
","5","5","5"
" একটা সুন্দর সাজানো বাগান মাত্র এক সপ্তাহেই নষ্ট হয়ে গেলো।
","5","5","5"
" কিন্তু হয়তো তখনও কুঁড়ির আগমন বাকি রয়ে গেছিলো, কেউই কাওকে বোঝাতে পারলো না।
","5","5","5"
" হঠাৎ করেই এতটা ফ্ল্যাশব্যাক থেকে ফিরে চোখে মুখে জল দিয়ে ধাতস্থ হলো সুমন, নাহঃ, সে পারেনি লড়াইয়ে জিততে, ব্রততী হঠাৎই কলেজ ছেড়ে দেয়, সুমনও নানা লড়াই লড়ে ফিরে যায় সেই অন্যতম অন্ধকার জীবিকাতে, যেখানে মানুষকে কেবল 'মাথার দাম' দিয়ে চেনা হয়।
","5","5","5"
