"sentence","emotion A1","emotion A2","emotion A3"
"(১) স্টেশনে পৌছাতেই হাত ঘড়ির দিকে তাকাল কুনাল।
","5","5","5"
" পৌনে তিনটে।
","5","5","5"
"অঘ্রানের দুপুর যেন এক নিমিষেই শেষ হয়ে যায় ।
","5","5","5"
" বিকেল হতে হতেই সন্ধ্যা।
","5","5","5"
" তারপর ঝুপ করে অন্ধকার নেমে আসে।
","5","5","5"
" গতকাল সন্ধ্যায় বাড়ির ল‍্যান্ডলাইনে একটা ফোন আসে।
","5","5","5"
" মীরপুরের রাজাবাবুর ফোন।
","5","5","5"
" তাঁর রানি নাকি খুব অসুস্থ।
","5","5","5"
" তাঁকে একবার দেখে যেতে হবে।
","5","5","5"
" প্রথমটায় খটকা লেগেছিল,এই বিংশ শতাব্দীতেও রাজা ! অবশ্য জমিদারও হতে পারে।
","5","5","5"
" তাছাড়া এমনিতেও যা বিজি সিডিউল বাড়ি যেয়ে পেসেন্ট দেখা সম্ভব হয়ে ওঠেনা।
","5","5","5"
" তাই সরাসরিই পেসেন্টকে চেম্বারে নিয়ে আসতে বলে ছিল।
","5","5","5"
" তখন রাজাবাবুই বললেন, রানি সেকেলে মানুষ বাইরে যেতে চান না।
","5","5","5"
" তাই ডাক্তারবাবু এসে একবার দেখে গেলে খুব ভালো হতো।
","5","5","5"
" তার জন্য যা খরচ হবে তা সব রাজাবাবুই দেবেন।
","5","5","5"
" সেই মতো আজ সকালেই বেরিয়ে পড়েছে কুনাল।
","5","5","5"
" ট্রেনে চার ঘন্টার রাস্তা।
","5","5","5"
" খুব লেট করলে একটার মধ্যেই পৌছে যাবার কথা।
","5","5","5"
" কিন্তু গোলমাল বাঁধল দিকপুর ঢোকার আগে।
","5","5","5"
" এই দিকপুরের পরের স্টেশন মীরপুর।
","5","5","5"
" দিকপুর স্টেশন ঢোকার আগেই সামনে থেকে আসা একটা আপ মালগাড়ি ট্রেনটাকে সামনাসামনি ধাক্কা মারে।
","5","5","5"
" ট্রেনের পাঁচটি বগি মালগাড়ির নিচে চলে যায়।
","5","5","5"
"আর শেষের বগিগুলো লাইনচ্যুত হয়ে পাশের খালে পড়ে যায়।
","5","5","5"
" কুনাল ছিল চার নম্বর বগিতে।
","5","5","5"
" দুমড়েমুচড়ে যাওয়া বগি থেকে যখন নিজেকে টেনে হিঁচড়ে বের করল তখন চারপাশে বেশ ভিড় জমে গেছে।
","5","5","5"
" কেউ আহত যাত্রীদের টেনে বের করছে কেউ বা শুধু লুটপাটে ব‍্যাস্ত।
","5","5","5"
"আর কিছুদূর গেলেই মীরপুর পৌছে যেত।
","5","5","5"
" তাই রেললাইন বরাবর হাটতে শুরু করল কুনাল।
","5","5","5"
" বেশ খানিকটা পথ যেয়ে মীরপুর স্টেশনে পৌছাল ।
","5","5","5"
" প্লাটফর্মে উঠেই একটা চা ওয়ালাকে দেখতে পেল ।
","5","5","5"
"দোকানপাট সব বন্ধ।
","5","5","5"
" এদিক সেদিক দু একজন প‍্যাসেন্জার বসে আছে।
","5","5","5"
" তাদের কাছেই ঘুরে ঘুরে চা বিক্রি করছে লোকটা‌।
","5","5","5"
" অবাক ব‍্যাপার এই দুপুরবেলাতেই আপাদমস্তক চাদরে ঢেকে চা বিক্রি করছে! কপাল থেকে থুতনি পর্যন্ত লম্বা কাটা দাগ।
","5","5","5"
" কুনাল চাওয়ালাকে ডাকতেই লোকটা ঘুরে দাড়িয়ে অদ্ভুত ভাবে তাকিয়ে রইল।
","5","5","5"
" যেন বিশ্বাস করতে পারছেনা যে , কেউ ওকে ডাকতে পারে।
","5","5","5"
" "" এই যে দাদা এখান থেকে সাতমহল যাবার রাস্তাটা কোনদিকে বলতে পারবেন?
","5","5","5"
" "" চাওয়ালার কোঁচকানো ভ্রূ আরও কুঁচকে গেল?
","5","5","5"
" সেদিকে পাত্তা না দিয়ে কুনাল বলে চলল,"" যাবার জন্যে কি পাওয়া যাবে এখন?
","5","5","5"
" গাড়ি, রিক্সা, ভ‍্যান?
","5","5","5"
" চাওয়ালা এবারও কিছু বললো না, তবে ঘাড় নেড়ে বুঝিয়ে দিল যে কিছুই পাওয়া যাবেনা?
","5","5","5"
" ""সেকি ! গোরুরগাড়ি, ঘোড়ার গাড়ি ?
","5","5","5"
" কিছু না হোক অন্তত একটা সাইকেল ?
","5","5","5"
" কেউ না থাকলে আমিই চালিয়ে নিয়ে যাব ?
","5","5","5"
""" লোকটি এবার কথা বলল, "" ঐ ভুতের বাড়িতে যাওয়ার জন‍্যি কারোকেই পাবেনি বাবু।
","5","5","5"
