"sentence","emotion A1","emotion A2","emotion A3"
"সুদখোর সুবলের লোভের দৃষ্টিকে ছোট্টো থেকে সোহাগীর খুব ভয়।
","5","5","5"
" ওর বাবা জুগনুর খুব ইচ্ছে ছিলো পঞ্চাশ বছর বয়সী, দ্বোজবরে সুবলের সাথে সোহাগীর বিয়ে দেয়।
","5","5","5"
" সোহাগী পালিয়ে গিয়ে বাপের অমতে বিশাল চেহারার যুবক বুধনকে যখন বিয়ে করে তখন থেকে সেই ভয় একটু একটু করে কমে যায়।
","5","5","5"
" বনের ধারের কুঁড়েতে নতুন সংসারে, সোহাগী আর বুধন দুজনে মিলে গাছের শব্দ, পাখির কুজন, মহুলের গন্ধ মেখে আনন্দে বেশ দিন কাটাতে শুরু করলো।
","5","5","5"
" সব ভালোর মধ‍্যে বুধনের একটাই দোষ ছিলো, হাঁড়িয়ার নেশা।
","5","5","5"
" একটু একটু করে সেই নেশা বুধনকে খেয়ে ফেলে।
","5","5","5"
" ওদের সুখের সংসারে যেনো আগুন লাগে।
","5","5","5"
" সোহাগীর মনে বুধনকে হারানোর ভয় চেপে বসে।
","5","5","5"
" ও নিজের ক্ষমতা মতো বুধনকে যথাসম্ভব বাধা দিতে থাকে।
","5","5","5"
" কিন্তু, সুবল যেনো যমরাজ হয়ে দিনের পর দিন বুধনের নেশার টাকা জোগাতে থাকে।
","5","5","5"
" আসলে তো সুবলের লোভ সোহাগীর ডাগর শরীরের দিকে!  বুধন কোনো কথাই কানে নেয়না।
","5","5","5"
" সোহাগী বেশ বুঝতে পারছিলো, ওরা একটু একটু করে নিয়তির হাতের পুতুল হয়ে যাচ্ছে।
","5","5","5"
" কিছুতেই এর থেকে মুক্তি লাভ সম্ভব নয়।
","5","5","5"
" সোহাগী পড়ে মহা সমস‍্যায়।
","5","5","5"
" একদিকে নিজের বাবা জুগনু সোহাগীর বুধনের সাথে বিয়ে মানতে না পেরে ওর সাথে কোনো সম্পর্ক রাখেনা।
","5","5","5"
" আর বুধনের তো বাপ-মা বহু বছর হলো দেহ রেখেছে।
","5","5","5"
" সোহাগীর আশংকা সত্যি করে দিয়ে নেশার কামড়ে, এক ঝড় জলের রাতে  বুধন শেষ নিঃশ্বাস ত‍্যাগ করে।
","5","5","5"
" যখন বুধন মরে তখন সোহাগীর মাত্র এক কুড়ি বয়স, পেটের মধ্যে সোনা সাঁতার কাটছে।
","5","5","5"
" সেই ঝড়-জলের রাতে যখন বুধনের বুকে ব্যাথা উঠলো, হাসপাতালের ডাক্তার কে কোয়ার্টারে ডাকতে যাওয়ার পথেই মানুষ রূপী শয়তান সুবল সোহাগীর ইজ্জত লুটলো।
","5","5","5"
"  পাঁচমাসের পোয়াতি, ধর্ষিতা সোহাগী কিছুদিন শক্ত পাথরের মতো হয়ে গেছিলো| গ্রামের কারোর সাথেই কথা বলতোনা।
","5","5","5"
" ওর ঘরটা মহুয়া বনের পাশে একটেরে হওয়াতে এমনিই সকলের থেকে বিচ্ছিন্ন, তার ওপর ওর ব্যবহারে সবাই ওকে এড়িয়ে চলতে শুরু করে দিলো।
","5","5","5"
" এদিকে শয়তান সুবলও চাইছিলোনা যে, সোহাগী গ্রামের লোকজনের সাথে বেশী মেশে।
","5","5","5"
" তাই সকলের কাছে রটিয়ে দিলো যে, সোহাগী সাক্ষাৎ ডাইনি।
","5","5","5"
" নাহলে কি আর জোয়ান মদ্দ বুধন এরকমভাবে অল্প বয়সে মারা যায়! গ্রামের সরল সোজা মানুষ জন সে কথা বিশ্বাস করে সোহাগীকে আরো এড়িয়ে চলতে শুরু করলো।
","5","5","5"
