"sentence","emotion A1","emotion A2","emotion A3"
"ঘটনার শেষটা যে এমন নাটকীয় হবে, তা ঋভু কল্পনাতেও ভাবতে পা্রে নি।
","5","5","5"
" আজও ভাবলে মাথাটা যেন কেমন বন বন করে চড়কির মত ঘোরে।
","5","5","5"
" সেদিন ছিল শুক্রবার, বিকেল সাড়ে-পাঁচটা।
","5","5","5"
" বাড়ির গাড়ি বারান্দায় গাড়ি রেখে ওপরের তলায় তাকিয়ে দেখে জানলাগুলো সব খোলা।
","5","5","5"
" লিভিং রুমের কচিকলাপাতা রঙের পর্দা যেন দুলে দুলে গান গাইছে “দোলে দোদ্যুল দোলে ঝুলনা...”।
","5","5","5"
" বেল দিল।
","5","5","5"
" দরজা-টাও ভেজানো ছিল যেন ওর জন্যই।
","5","5","5"
" তাহলে কি রিংকি এসে গেছে?
","5","5","5"
" মনে একটা বেশ আনন্দের ঢেউ বয়ে গেল?
","5","5","5"
" তাহলে নিশ্চয়ই রিংকি ফিরে এসেছে বাপের বাড়ি থেকে! আমাকে জানালো না কেন?
","5","5","5"
" একটু অভিমান হল ওর?
","5","5","5"
" তা সত্ত্বেও একটা আনকোরা আনন্দে মনটা যেন ছলাৎ করে উঠল।
","5","5","5"
" বিয়ের পর রিংকি ছেড়ে এই প্রথম আঠারো দিন, আঠারো ঘন্টা, আঠারো সেকেন্ড ছিল।
","5","5","5"
" ওর বাবার অসুখের খবর পেয়ে চলে গেছিল ও।
","5","5","5"
" আসলে যেতে বাধ্য হয়েছিল।
","5","5","5"
" রিংকি ছাড়া ওর বাবার আর কেউ নেই।
","5","5","5"
" একটা দরকারি সেমিনার থাকার জন্য যেতে পারে নি ঋভু।
","5","5","5"
" বাড়ির ভিতর ঢুকতেই একটা আঁশটে গন্ধ নাকে এসে লাগল।
","5","5","5"
" কিন্তু মনে হল এরই মধ্যে সব গুছিয়ে ফেলেছে রিংকি।
","5","5","5"
" বড্ড ভাগ্যবান ঋভু, তাই তো বলে ওর বন্ধুবান্ধবরা।
","5","5","5"
" রূপে গুণে একেবারে পয়মন্ত মেয়ে।
","5","5","5"
" যবে থেকে বিয়ে হয়েছে খালি এগিয়েই চলেছে সে।
","5","5","5"
" পেছনে ফিরে আর তাকাতে হয় নি।
","5","5","5"
" “রিং...কি...ইই' করে বাড়িতে ঢুকে ওর খুব ইচ্ছে করছিল রিংকিকে জড়িয়ে ধরে বুকের ঠিক মধ্যিখানে রাখে।
","5","5","5"
" কিন্তু এখন তা করা যাবে না।
","5","5","5"
" ওকে দেখাতে হবে যে ওরও মান- অভিমান আছে।
","5","5","5"
" এভাবে না বলে আসার মানে টা কি! তাই সাড়াশব্দ না দিয়ে সোজা বাথরুমে গেল।
","5","5","5"
" স্নান করে সাদা পাজামা পাঞ্জাবী পরে এসে পেছনের ব্যালকনির গা ঘেষা কাঁচের ঘরটায় বসল।
","5","5","5"
" এ ঘরে টাটকা একগোছা রজনীগন্ধাও রাখতে ভোলে নি রিংকি।
","5","5","5"
" আজকের বিকেলটাও কেমন যেন ধোঁয়াশায় ভরা।
","5","5","5"
" ধূসর মেঘের ফাঁক দিয়ে গোধূলির কনে দেখা আলো ঘরের দেওয়ালের এক কোণে ছুঁয়ে আছে।
","5","5","5"
" ঋভু দেখল, রিংকি জানলার গরাদ ধরে দাঁড়িয়ে আছে।
","5","5","5"
" মুখে সেই দুস্টুমি হাসি কিন্তু এই আলো আঁধারীতে কেমন যেন একটা শূন্যতার সৃষ্টি করেছে।
","5","5","5"
" দুজনেই দুজনকে আড়চোখে দেখছে কিন্তু কেউ কারুর সাথে কোন কথা বলছে না।
","5","5","5"
" খালি পর্দার পতপত আওয়াজ ওদের নিঃশ্বাসের সাথে তাল মিলিয়ে দুলে যাচ্ছে।
","5","5","5"
" সবুজ পর্দাটা হাওয়ায় উড়ে মাঝে মাঝে একটা আলোআঁধারি সৃষ্টি করছে।
","5","5","5"
" এখনও রিংকির চোখ দূরে বাইরের দিকে।
","5","5","5"
" ঋভু ভাবল, ওই না হয় আগে যাক রিংকির কাছে।
","5","5","5"
" রিংকিরও নিশ্চয় মন খারাপ হয়েছে খুব।
","5","5","5"
" তাছাড়া অভিমান হলে ও খুব চুপচাপ হয়ে যায়।
","5","5","5"
" এমনিতে রিংকি বরাবরই কম কথা বলে।
","5","5","5"
" যতটা পারে মাথা নেড়ে উত্তর দেয়।
","5","5","5"
" ‘রিম্পি! কি ব্যাপার! ওখানে ঠায় দাঁড়িয়ে কেন?
","5","5","5"
" কত ডাকলাম?
","5","5","5"
" শুনতে পাও নি?
","5","5","5"
" আজ আমি বড্ড টায়ার্ড, জানো তো! আবার একটা কনসাল্ট্যান্সির কাজে আমেরিকা যেতে হবে হয়ত?
","5","5","5"
" এবার আমি একা যাব না বলে দিলাম।
","5","5","5"
" তোমায় ছাড়া থাকা আমার পোষায় না।
","5","5","5"
" কোন কাজে মন লাগছিল না এই দু সপ্তাহ।
","5","5","5"
" কি হল?
","5","5","5"
" আমার সাথে কথা বলবে না?
","5","5","5"
" ঠিক আছে বাবা, আমার খুব অন্যায় হয়ে গেছে তোমাকে কদিন ফোন করা হয় নি?
","5","5","5"
" তুমি নিজেই তো করে নিতে পারতে, কেন কর নি?
","5","5","5"
" জানোই তো, এই সময়টায় অফিসে নানা ঝামেলা চলছে?
","5","5","5"
" অফিস শাট ডাউন করে দেবে বলছে কম্পানি।
","5","5","5"
" কি গো?
","5","5","5"
" মহারাণী, একবারও তাকাবে না আমার দিকে?
","5","5","5"
"’ ‘না তাকাব না?
","5","5","5"
" কেন তাকাব?
","5","5","5"
" তোমার আগে কাজ তারপর তো তোমার বৌ, তাই না?
","5","5","5"
" তাহলে তুমি ওই কাজ নিয়েই থাকো, বুঝলে?
","5","5","5"
"’ বলতে বলতে গলা ধরে এল রিংকির?
","5","5","5"
" কিন্তু গলাটা কেমন যেন খনখনে লাগল ঋভুর।
","5","5","5"
" সর্দি লেগেছে বোধহয়।
","5","5","5"
" ঋভু তাড়াতাড়ি উঠে ওর কাছে যেতে গেল।
","5","5","5"
" রিংকি সুড়ুৎ করে সরে গেল।
","5","5","5"
" দিকছায়াতে ঠিক মত দেখাও যাচ্ছে না ওকে।
","5","5","5"
" সালোয়ার কামিজের ওড়না দিয়ে মুখটা আবার ঢেকে রেখেছে।
","5","5","5"
" ‘থাক আর আদিখ্যেতা দেখাতে হবে না।
","5","5","5"
" কাছে থাকলে তখন আমার কথা মনে পড়ে, তাই না?
","5","5","5"
" আমাকে কত ভালবাসো আমার জানা আছে?
","5","5","5"
" এই তো আমি নিজেই এলাম, সে তো তোমাকে ছেড়ে থাকতে না পেরে।
","5","5","5"
" আমি যে বড্ড মিস করছিলাম তোমাকে...’ আবার সেই কেমন যেন গলা।
","5","5","5"
" ‘আচ্ছা বাবা আমার অন্যায় হয়ে গেছে, এই দেখ নীলডাউন হচ্ছি।
","5","5","5"
"’ বলে দুটো কান ধরে হাঁটু মুড়ে বসে পড়ল ঋভু।
","5","5","5"
" মনে মনে ভাবল আমার যে কি অবস্থা হয়েছিল তোমাকে ছাড়া সে বললেও তুমি বিশ্বাস করবে না রিংকি।
","5","5","5"
" একটু পরেই উঠে দাঁড়াল ঋভু, ‘এইবার তো তাকাও আমার দিকে।
","5","5","5"
" আর নাহলে পাঁজাকোলা করে সোজা বেডরুমে তার পর... তুমি কি তাই চাও?
","5","5","5"
" প্লীজ, এস রিংকি! সত্যি আজ আমি বড্ড টায়ার্ড?
","5","5","5"
" বিশ্বাস কর, আমি কিন্তু ভেবেছিলাম দুদিন ছুটি নিয়ে তোমাকে নিয়ে আসব।
","5","5","5"
" কারণ একা একা বড্ড মন খারাপ লাগছিল।
","5","5","5"
" জানো তো, খেতেও ভাল লাগত না।
","5","5","5"
" কোনরকমে মাসির রান্না করা খাবার খেয়ে শুয়ে পড়তাম।
","5","5","5"
" কোনদিন আবার তাও খেতাম না।
","5","5","5"
" তুমি তো আবার এসব কথা বিশ্বাস করবে না, জানি।
","5","5","5"
" তোমার কোলে মাথা দিয়ে না শুলে আমার ঘুম আসে না।
","5","5","5"
" আজই বসকে বললাম যে, পরের বুধ, বৃহস্পতি, শুক্র ছুটি নেব।
","5","5","5"
" বস কাঁইকুঁই করে বলে, ‘এই ঝামেলার মধ্যে আবার ছুটি চাইছ...’ তবুও উনি রাজি হয়েছিলেন।
","5","5","5"
" আমার মুখ দেখেই বুঝতে পেরেছিলেন বোধ হয়।
","5","5","5"
"' বললেন, ‘বুঝতে পারছি সব।
","5","5","5"
" তুমি তিনদিন ছুটি নিয়ে তোমার মিসেস কে নিয়ে এসো।
","5","5","5"
"’ রিংকির দিক থেকে কোনও সাড়াশব্দ এল না।
","5","5","5"
" কেমন যেন একটা আবছা আবছা ভাব এনেছে রিংকি।
","5","5","5"
" ‘প্লিজ আমায় মাফ করে দাও রিংকি।
","5","5","5"
" আমার মস্ত বড় ভুল হয়ে গেছে।
","5","5","5"
" তোমাকে আনতে যেতে এত দেরি করে ফেললাম! যাক গে, এখন তো তুমি এসে গেছ।
","5","5","5"
" ব্যাস! আমার আর কিচ্ছু চাই না।
","5","5","5"
" বস-কে তোমার আসার খবর জানাব না।
","5","5","5"
" এই তিনদিন চলো আমরা কোথাও বেড়িয়ে আসি।
","5","5","5"
" দুজনেরই মন ভাল হয়ে যাবে।
","5","5","5"
" কি বল?
","5","5","5"
" এখনো রাগ কমে নি?
","5","5","5"
"’ ‘না আমার রাগ কমে নি?
","5","5","5"
" তোমাকে ছেড়ে যে আমিও থাকতে পারি না, তা তুমি বুঝতে পেরেছো, তাই না?
","5","5","5"
" তা নাহলে হাজার অসুবিধার মধ্যেই আজই চলে এলাম তোমার কাছে?
","5","5","5"
" কেন বল?
","5","5","5"
"’ অনেকক্ষণ পর একটা জবাব দিল রিংকি?
","5","5","5"
" কিন্তু রিংকির গলাটা এরকম লাগছে কেন?
","5","5","5"
" -ভাবল ঋভু?
","5","5","5"
" কিছু জিগ্যেস করতে পারল না।
","5","5","5"
" যদি রেগে যায় রিংকি।
","5","5","5"
" ‘এইবার কাছে এসো, প্লিজ।
","5","5","5"
" আর ও রকম স্লিপ কেটে কেটে পালিয়ে যেও না।
","5","5","5"
"’ মনে মনে বলল, “আমি কাছে গেলে হায় সে কেন গো সরে যায়- মলিন হইয়া আসে অধর সহাস।
","5","5","5"
"” ‘না গো,আমি আজকেই আবার চলে যাবো।
","5","5","5"
" আমাকে যে যেতেই হবে।
","5","5","5"
" বাবার অবস্থা ভাল নয়।
","5","5","5"
" শুধু একটিবার তোমাকে দেখতে ইচ্ছে হল।
","5","5","5"
" তাই চলে এলাম।
","5","5","5"
" তুমি বুধবার গিয়ে তাহলে...’ ‘তাহলে কি?
","5","5","5"
"’ একটু বিরক্তি ঝরে পড়ল ঋভুর গলায়?
","5","5","5"
" ‘এই তো তুমি বললে যে, বুধবার ছুটি নিয়েছ?
","5","5","5"
" ওই তিনদিন বাবাকে দেখেও আসতে পারবে?
","5","5","5"
"’ ঋভু এই ফাঁকে বলে নিল, 'তাহলে একটিবার কাছে এস'।
","5","5","5"
" রিম্পি বলল, ‘শোনো! এখন বেশি কাছে আসছি ন্‌ বুঝলে।
","5","5","5"
" কেন জান?
","5","5","5"
