"sentence","emotion A1","emotion A2","emotion A3"
"সৌমিক বাবু একটি গ্রামীণ স্কুলের বিজ্ঞান শিক্ষক | স্কুলের পাঠ এর বাইরেও অন্য নানা বিষয়ে আগ্রহ সৌমিক বাবুর | নিত্যনতুন আবিষ্কারের ব্যাপার এবং মহাকাশের অনেক বিষয় সম্পর্কে বিশেষত আগ্রহটা | এই বিষয়ে অনেক বই পড়ে জ্ঞান সমৃদ্ধি হয়েছে সৌমিক বাবুর | এই জন্যই মনে হয় তিনি অনেক তর্কেই জিতে যান | এমন একজন জ্ঞানী সাধারন ব্যক্তির জীবনে হঠাৎ করে অদ্ভুত পরিবর্তন আসে | ভিন গ্রহের অজানা দেশের এক অজানা রাজ্যে বসে তিনি তার জীবনে ঘটা আকস্মিক ঘটনা গুলোর কথা মনে করছিলেন | বাড়ির কাজের লোক পাঁচু একদিন সকালে এক অদ্ভুত পাথর লাগানো আংটি হাতে পড়ে না আসলে হয়তো বাকি 5 জনের মতোই জীবনটা কেটে যেত | একটি শৈবাল রঙের পাথর সৌমিক বাবু প্রথম নিজের বাড়ির উঠান থেকে পান |একদিন সকালে সৌমিক বাবু পত্রিকায় চোখ বোলাতে বোলাতে একটি খবরে এসে স্থির হোন | খবরটি তেমন কিছুই নয় কিন্তু তবু যেন সব খবরের মাঝখানে সৌমিক বাবুর দৃষ্টি আকর্ষন করলো | গতকাল রাতে বজ্রপাত এবং বৃষ্টি দুটোই হয়েছে বটে কিন্তু তার ফলে ময়দানে একটি লোকের হঠাৎ মৃত্যু এটা ভাবনার অতীত | আরো অতো রাতে কোন লোক ময়দানে কি করতে গেছিল তাই বা কে জানে ?
","5","5","5"
" কাগজ টা বন্ধ করে উঠোন হয়ে বাথরুমের দিকে যেতে যাচ্ছেন এক পাশে একটা শৈবাল রঙের পাথর খুঁজে পেলেন | স্ত্রী সোনালীকে জিজ্ঞাসা করলেন , “ পাথরটা কোত্থেকে এলো বল তো ?
","5","5","5"
" ” সোনালী দেবী বললেন , “ কই দেখি দেখি দেখি | ” পাথরটা দেখে নেওয়ার পর বললেন , “ ওমা কি সুন্দর দেখতে দেখো ! কিন্তু চুনি পান্না মুক্ত জহরতের মধ্যে কোন রকমের কিছু মনে হচ্ছে না | কি জানি কোত্থেকে এলো ?
","5","5","5"
" ” পাথরটির রং এবং অদ্ভুত বৈশিষ্ট্য দেখে সৌমিক বাবুর নিজের মনে হয়েছিল এরকম পাথর তিনি আগে কখনো দেখেননি | স্কুলের ভূগোল শিক্ষক নীহার বাবু কে দেখানোর পরে তিনি বলেন , “ হুম , কোথায় পেলে এই পাথর ?
","5","5","5"
" ভারতে প্রচলিত যাবতীয় রত্নপাথর নিয়ে চর্চা আছে আমার কিন্তু ভায়া এ যেন পুরো অন্য জাতের | ""রত্ন সম্পর্কে নীহার বাবুর অনেক চর্চা আছে বলেই সৌমিক বাবু ভেবেছিলেন ওনার কাছে নিয়ে গেলে বলতে পারবেন কি রকমের পাথর | বউবাজারের কিছু প্রখ্যাত গহনার দোকানে নিয়ে গিয়ে পাথরটা যাচাই করে জানতে পারলেন এমন পাথর কেউই দেখেনি | কেউ বলতে না পারলেও অনেক দোকানেই ওই পাথরটি বেচে দেওয়ার জন্য লম্বা দাম হাঁকিয়েছে | সৌমিক বাবু কিন্তু বলেছেন , “ বাবু তোমাদের কাছে পাথরটার প্রকৃতি জানার জন্য নিয়ে এসেছিলাম বেচার জন্য নয় | "" চেনাজানা যারা ছিলেন তাদের প্রত্যেককে জিজ্ঞেস করে যখন কোন প্রকার উত্তর পেলেন না তখন পাথরটি নিজেই যাচাই করতে বসলেন | সেদিন রাতে পাথরটি নিয়ে যাচাই করতে করতে হঠাৎ এক অদ্ভুত জিনিস লক্ষ্য করলেন | হঠাৎ তীব্র জ্যোতি তার চোখ ধাঁধিয়ে দিল | তিনি বুঝতে পারলেন এ পাথর আর পাঁচটা সাধারণ মণি-মাণিক্যের মত নয় , কে বলতে পারে মহাকাশের কোন বস্তু বিশেষ এই পাথর ?
","5","5","5"
" নিজে হয়তো একটু বেশি ভাবছেন এমনটা নিজের মনকে বোঝাতে গেলে ঠিক পরের মুহূর্তেই আবার সেই রকম এক জ্যোতি পাথর থেকে নির্গত হয়ে চোখকে ধাঁধিয়ে দিল | গোটা রাত তিনি ওই বিষয়ে চিন্তা করেছেন | পাথরটিকে কেন্দ্র করে নানান রকম উদ্ভট কল্পনা করতে করতে মাঝ রাতে তিনি স্বপ্নে দেখলেন , এক অদ্ভুত জায়গায় তিনি বসে আছেন এবং চারপাশে অদ্ভুত আকৃতির কিছু প্রাণী ঘুরে বেড়াচ্ছে যাদের প্রত্যেকের ভাষা একদমই আলাদা , flora-fauna বলতে যা বোঝায় চারপাশে তাকালে যথেষ্ট আলাদা রকম মনে হচ্ছে | একটা সময় হঠাৎ তিনি দেখলেন প্রাণীগুলো চারপাশে ছোটাছুটি করছে , খুব যেন ভয় পেয়েছে তারা | চোখের সামনে দেখলেন পরপর 100-200 টি যানে চড়ে তারা কোথায় যেন চলে গেল আর তিনি পরিবার সমেত একা অজানা সেই আস্তানায় রয়ে গেলেন | প্রচন্ড উত্তেজনায় সৌমিক বাবুর ঘুম ভেঙে গেল | পরদিন সকালে পাঁচু তার আংটির খসে যাওয়া পাথর সৌমিক বাবুর স্ত্রী কে চাইতে আসে কিন্তু বিষয়টির মূল্য বুঝে তিনি সম্পূর্ণ অস্বীকার করে দেন যে তার বাড়িতে কোন পাথর পড়েছে বলে |স্কুলে বেরোনোর ঠিক আগে শুনতে পেলেন জোরে জোরে চেঁচাচ্ছে পাঁচু আর বলছে , “ না বৌদিমনি না , পাথরটা আমার আংটিতে আর সেটা কাল আপনাদের বাড়িতেই পড়ে গেছে | একটু খুঁজে দেখুন না | ” ততক্ষনে সৌমিক বাবু রেডি হয়ে বাইরে বেরিয়েছেন | উঠোনের কাছে এসে স্ত্রীকে যখন জিজ্ঞাসা করলেন , “ হ্যাঁ গো কি হয়েছে গো ?
","5","5","5"
" পাঁচু এত চেঁচাচ্ছে কেন ?
","5","5","5"
" ” সোনালী দেবী বললেন , “ আরে দেখনা ও একটা কি পাথর আংটিতে লাগিয়ে কালকে এসেছিল বলছে নাকি এখানেই পড়েছে , যত বলি এখানে কিছু পাইনি আমি ততোই জেদ ধরে বসে আছে | ” সোনালী দেবী পাঁচুকে বললেন , “ ওরে নারে কোন রকম পাথর আমরা পাইনি এখানে ?
","5","5","5"
" এখন যা তো দেখি রাজ্যের কাজ বাকি আছে | ” সৌমিক বাবু পকেট থেকে একটা দুই হাজার টাকার নোট বার করে পাঁচুকে দিয়ে বলে , “ এই নে ধর এটা দিয়ে মনের মত একটা পাথর কিনে নিবি দোকান থেকে , এখন শান্তি | ” ফিক করে হেসে ফেললো পাঁচু | দাঁত ব্রাশ করতে করতে নিজের ঘরে টেবিলের ওপর রাখা পাথরটিকে লক্ষ্য করতে গিয়ে তিনি ভীষণভাবে চমকে উঠলেন | একি ! গতরাতে পাথরে আকৃতি দেখেছিলেন তার থেকে আজ যেন একটু বেশি বড় মনে হচ্ছে পাথরটি | স্কুলের তাড়া থাকায় বিষয়টি কি অত গা না করে স্কুলের জন্য বেরিয়ে পড়লেন | নানান কাজের মধ্যে ব্যস্ত থাকায় পাথরটির বিষয়ে মাথা থেকে বেরিয়ে গেছিল | স্কুলের খাতা দেখা থাকায় এক সপ্তাহ ধরে পাথরটি বিষয় ভাবার কোন সময় পাননি | হঠাৎ একদিন রাত্রে শোবার আগে সৌমিক বাবুর মনে হলো পাথরটি নিয়ে একটু দেখা যাক | দেখলেন মটর দানার আকৃতি থেকে একটা বেল ফলের আকারে এসে দাঁড়িয়েছে ওই শৈবাল রঙের পাথরটি | সব যেন গুলিয়ে বুবলেট হয়ে যেতে লাগল | তিনি আশ্চর্য হয়ে লক্ষ্য করলেন পাথরটির গায়ে যেন স্পন্দন রয়েছে | তিনি মনে মনে বললেন , “ হায় ভগবান একি দেখলাম , এটা সম্পূর্ণ প্রাণের নিদর্শন | "" এবারে তিনি সেটি মন থেকে পাথর বলে মানতে নারাজ হলেন বরং তাকে প্রাণী বলেই মনে হল | এবারেও সেটিকে নাড়াচাড়া করে দেখতে গিয়ে তার গা দিয়ে এক অদ্ভুত রকমের সাদা জ্যোতি নির্গত হল | এই বিষয়ে নানা রকম বই পড়া চলাকালীনই ইন্টারনেটে লিথোপিডিয়ান বলে একটি বিষয় লক্ষ্য করেন | সোজা বাংলায় সেটি হল পাথর শিশু | গর্ভবতী হওয়ার পর এক অদ্ভুত পরিস্থিতিতে (এবডোমিনাল প্রেগনেন্সি ) ভ্রুণ যদি মারা যায় তখন এই পরিস্থিতি লক্ষ্য করা যায় | কিন্তু এক্ষেত্রে সৌমিক বাবু যে পাথরটি পেয়েছেন সেটি একটি রত্ন পাথরের মত এবং তার রঙ শেওলা | অতএব এই পাথর যে সেই পাথর শিশু নয় এটা বেশ বুঝতে পারলেন | কয়েকটা জুওলজি বইও পড়তে আরম্ভ করলেন , কে জানে পৃথিবীর কোন অদ্ভুত প্রাণী হবে হয়তো | কিন্তু না , চেনাজানা প্রাণীর মধ্যে নয় বরং অচেনা প্রাণীর মধ্যেও এরকম বিচিত্র রকমের প্রাণী থাকা সম্ভব নয় | বইগুলি থেকে তিনি জানতে পারলেন পৃথিবীর মধ্যে বেশ কিছু প্রাণী জন্মের সময় অত্যন্ত ছোট্ট আকৃতির হয় | এদের মধ্যে একটি হলো ক্যাঙ্গারু | পৃথিবীর আশ্চর্যজনক বাচ্চা জন্ম দেওয়ার পদ্ধতি গুলির মধ্যে ক্যাঙ্গারুর বাচ্চা জন্ম দেওয়া সবচেয়ে বেশি আকর্ষণীয় | ব্রাজিলের এক প্রকার ব্যাঙের আকৃতিও জন্মের সময় অত্যন্ত ছোট হয় | এই সমস্ত বই পড়ে সৌমিক বাবুর জ্ঞানের ভাণ্ডারে কিছু নতুন প্রাণীর নাম সংযোজন হলো যারা কিনা জন্মের সময় নিতান্তই ক্ষুদ্র হয় | এই প্রাণীগুলোর মধ্যে কোনটির সাথেই সৌমিক বাবুর কাছে থাকা সেই পাথরটির মিল নেই | তবে ন্যাশনাল জিওগ্রাফিকসে তিনি অনেকবারই শুনেছেন যে 80 শতাংশের ওপর প্রাণী এখনো অনাবিষ্কৃত | যেখানে আবিষ্কৃত প্রাণীর মধ্যেই এত প্রাণী রয়েছে সেখানে অনাবিষ্কৃত প্রাণীর সংখ্যা যে কত এবং কত রকমের ভ্যারাইটি থাকতে পারে তার ইয়ত্তা কে রাখে | তাই ওই স্পন্দন যুক্ত ছোট্ট জিনিসটি যে আদৌ পৃথিবীর নয় সেটা বিষয়ে তিনি নিশ্চিন্ত হতে পারলেন না | বিষয়টি সম্পর্কে আরও বেশি করে জানার জন্য তিনি আরো বেশি করে বিজ্ঞানীদের নানা প্রকার গবেষণার ফলাফল পড়তে শুরু করলেন | বলাবাহুল্য , সেই গবেষণাগুলোর লক্ষ্য একটাই ছিল , ভিন গ্রহে প্রাণের সন্ধান | নানা রকমের বই ও জার্নাল পড়ে তিনি একটা বিষয় সম্পর্কে নিশ্চিন্ত হলেন শৈবাল রঙের পাথরটি যা এখন স্পন্দনের নমুনা দেখায় তা আসলে ভিনগ্রহের কোন প্রাণী হবে | তবে , কি সেই গ্রহ , সৌরজগতের মধ্যে তার অবস্থান কি না , সে সম্পর্কে কোন রকমের ধারণা স্পষ্ট হলো না | এই সম্পর্কে কোনো কিছুই তিনি স্থির করতে না পারলেও স্কুলের কোন লোকের কাছে তিনি কোনো গল্প করতে চাইলেন না | যেহেতু মনে মনে একটা বিষয় ক্রমশই নিশ্চিত হতে থাকছিল তাই তিনি আরো বিষয়টাকে সকলের থেকে গোপন করে গেলেন | চোখের সামনে তার অল্প অল্প করে আয়তন বৃদ্ধি দেখতে লাগলেন ও ক্রমে তার মধ্যে অন্যান্য পরিবর্তন লক্ষ্য করতে শুরু করলেন | স্কুলে যাদের এই পাথরটি সম্পর্কে গল্প করেছিলেন তাঁরা জানতে চাইলে পর বললেন , “ আরে পাঁচু কোন এক কম দামি পাথর আংটিতে লাগিয়ে আমাদের বাড়িতে এসে সেটা ফেলে গেছিল , দেখানোর জন্য পাথরের গায়ে কিছু রকমের রং করা তাই আমাদের মনে হয়েছিল এই হয়তো অন্য রকমের রত্ন পাথর হবে | "" “ কিন্তু ভায়া সৌমিক , তাহলেও তো পাথরটাকে চেনা যাবে ?
","5","5","5"
" আমরা কেউই তো সেটা চিনতে পারিনি | পাঁচুকে জিজ্ঞেস করেছো যে ও কোত্থেকে পাথরটা পেয়েছে | "" নীহার বাবু বললেন | সৌমিক বাবু বললেন , “ কোত্থেকে পেয়েছে ব্যাটাকে জানে , আমার জেনে কোন কাজ নেই | "" তিনি গত কিছুদিনের অস্বাভাবিক ঘটনা গুলো যথারীতি চেপে গেলেন | তিনি বলতে নারাজ দেখে স্কুলের বাকি লোকেরাও সেই বিষয়ে বেশি আলোচনা করলেন না | এদিকে সৌমিক বাবু নিজের ঘরের জানলার পাশে রাখা টেবিলের উপর রাখা সেই প্রাণীকে ক্রমাগত আকার আয়তনে বাড়তে দেখতে থাকলেন | একটা সময় তার চেহারায় চোখ মুখ নাক এর মত কিছু ফুটো লক্ষ্য করা গেল | গত কিছু দিনে সৌমিক বাবু এলিয়েন নিয়ে প্রচুর লেখালেখি পড়েছেন যার থেকে একটা ধারণা স্পষ্ট হয়েছে যে ভিনগ্রহের প্রাণী থাকলে তার আকার আকৃতি কোনটাই যে মানুষের মতো হবে না এমন সম্ভাবনাই বেশি | ঠিক এই কারণেই বোধহয় নিজের ঘরে থাকা প্রাণীটির ক্রমাগত আকার আকৃতি পরিবর্তনেও আজকাল আর অবাক লাগে না | সৌমিক বাবুর ছেলে মাঝে মাঝে এসে দেখে যায় এবং বাবাকে জিজ্ঞেস করে , “ বাবা এ কি বড় হলে আমার সাথে কথা বলবে ?
","5","5","5"
