"sentence","emotion A1","emotion A2","emotion A3"
"দেওয়ালে টাঙানো ডিজিটাল ক্যালেন্ডারের দিকে তাকিয়ে কি যেনো ভাবছিল আবীর।
","5","5","5"
" চলমান ক্যালেন্ডারে সালটা ফুটে উঠছে 3019. মিমি হাপাতে হাপাতে ঘরে ঢুকলো।
","5","5","5"
" ওকে ওরম হাপাতে দেখে ধর পড় করে উঠে দেওয়ালে থাকা সিলিন্ডারটা নিয়ে মেয়ের পিঠে লাগিয়ে দিল আবীর।
","5","5","5"
" মেয়ের অবস্থা খানিকটা ভালো হতে, ভীষণ বকলেন।
","5","5","5"
"ইউ আর সো ইররেন্সপসিবেল মিমি।
","5","5","5"
"ডোন্ট ইউ নো হোয়াট কুড হ্যাপেন?
","5","5","5"
" মিমি বললো বাপি আমি বুঝতে পারিনি?
","5","5","5"
" আবীর বললেন হোয়াট ডু ইউ মিন বাই বুঝতে পারিনি?
","5","5","5"
" তুমি জানো এটা কতটা ডেনজারেস?
","5","5","5"
" তোমার সিলিন্ডার এর দু নম্বর সেক্টরটা খারাপ হয়ে রেড সিগন্যাল দিচ্ছে তুমি কি আওয়াজ টাও শোনোনি?
","5","5","5"
" --না বাপি, আমি প্রজেক্ট নিয়ে বিজি ছিলাম, নোটিশ করিনি?
","5","5","5"
" --এবার আবীর একটু শান্ত হল।
","5","5","5"
" ছ বছরের মেয়েটার ওপর কয়দিন খুব চাপ পরছে।
","5","5","5"
" আসলে ও পড়াশুনায় ওর বয়সের বাচ্চাদের তুলনায় বেশ ভালো তাই ওর স্কুল মানে ওর ডিজিটাল স্কুল ওর অ্যাবিলিটির কথা ভেবে ওকে দুটো স্ট্যান্ডার্ড ওপরে শিক্ষা দিচ্ছে।
","5","5","5"
" অবশ্য তার আগে আবীর আর তার স্ত্রী রুনার কাছে মেসেজ গিয়েছিলো।
","5","5","5"
" ওদের আর মিমির পারমিশন নিয়ে শুরু হয় নতুন ক্লাস।
","5","5","5"
" যদিও একেবারে দুটো স্ট্যান্ডার্ড আবীর প্রথমে না করেছিলো কিন্তু মিমি আর রুনার কথায় হ্যাঁ বলতে হয়েছে।
","5","5","5"
" এইটুকু মেয়ে কত কিছু বোঝে এখন থেকে।
","5","5","5"
" --জানো বাপি আমি পড়েছি এক সময় মানুষ বিনা সিলিন্ডারে বেঁচে থাকতে পারতো।
","5","5","5"
" হাউ স্ট্রেনজ! মেয়ের কথায় ধ্যান ভাঙল আবীরের।
","5","5","5"
