"sentence","emotion A1","emotion A2","emotion A3"
"মামু ভুটান রাজার দেওয়া ইনফ্রারেড 10 ফুট লম্বা টেলিস্কোপটি পরীক্ষা করছিলেন।
","5","5","5"
" হঠাৎ সাংবাদিক বন্ধু ভগবান দাসের আগমন।
","5","5","5"
" আরে মামু খবর কি।
","5","5","5"
" শুনলাম ভাগ্নি নাকি IISc থেকে অ্যারোস্পেশে MS করে ফিরেছে।
","5","5","5"
" পাশের ঘর থেকে- মামু তোমার চালতার আচারের ডাস্ট কোথায়, ক্যাপসুলে ভরবো।
","5","5","5"
" মামু- সারা মা একটু ল্যাবে আসবে?
","5","5","5"
" তোমার ভাগ্যবান ভগবান জেঠু এসেছে ?
","5","5","5"
" কটা লটারির প্রাইজ পেয়েছি বলে খোঁটা দেন?
","5","5","5"
" সারা মা তুই বল 50 বছর হয়ে গেলো এখনও সংসারি হতে পারলাম না।
","5","5","5"
" মা ওসব ছাড়, তোকে নিয়ে আমার খুব গর্ব হয়।
","5","5","5"
" তুই উড়োজাহাজ চালাবি।
","5","5","5"
" দেশে দেশে ঘুরবি।
","5","5","5"
" মামু- ওহে ভগবান ও দেশ বিদেশে না, ওতো কল্পনা চাওলার মত মহাকাশে ঘুরবে।
","5","5","5"
" ওর জন্যই বানাবো নারদ 1 স্পেশক্রাফট।
","5","5","5"
" ডিজাইন রেডি।
","5","5","5"
" 1 সপ্তার মধ্যে নারদ 1 রেডি হয়ে যাবে।
","5","5","5"
" তবে খবরটি এখন কোন মিডিয়ায় দিও না।
","5","5","5"
" এমনি সময় মামু সারা কে বলল- সারা আবার টেলিস্কোপে সেই রহস্যময়ী রেডিও সিগনাল-বিপ্ বিপ্।
","5","5","5"
" বহু আলোকবর্ষ দূর থেকে, সম্ভবত এলিয়েন।
","5","5","5"
" ভগবান- এলিয়েন?
","5","5","5"
" কোথায়?
","5","5","5"
" কখন?
","5","5","5"
" মামুর স্প্যানিয়াল বকু -""ঘেউ, ঘেউ?
","5","5","5"
""" সারা বকুকে এনেছিল?
","5","5","5"
" ছোট থেকেই অচেনা কিছু দেখলেই বা গন্ধ পেলেই চিৎকার শুরু করে দিত।
","5","5","5"
" বকুর গলা পেয়েই সারা বাইরে ছুটে গিয়ে দেখে একদল হনুমান বাগানের আফ্রিকান কালো গোলাপগুলো খাচ্ছে।
","5","5","5"
" সারা - মামু হনুমান, হনুমান?
","5","5","5"
" সঙ্গে সঙ্গে মামু নিজের তৈরী অটোমোটেড কাঁসার ঘন্টির সুইচ দিলেন টিপে?
","5","5","5"
" উফ্ কি আওয়াজ।
","5","5","5"
" হনুমান গুলো লেজ গূটিয়ে মন্ডল পাড়ার দিকে ছুটলো।
","5","5","5"
" ভগবান- পবনপুত্র হনুমান কি জয় ! মামু রেগে গিয়ে বললেন- তোমার নাম হনুমান দাস হওয়া উচিত ছিল।
","5","5","5"
" ইস্ সিগনাল, এলিয়েন সব হাতছাড়া হয়ে গেলো।
","5","5","5"
" মনে হচ্ছে সারা ওরা আমাদের পৃথিবীর মানুষদের কিছু বলতে চাইছে?
","5","5","5"
