"sentence","emotion A1","emotion A2","emotion A3"
"আমি সোনাল সিং, বয়েস এখন পঁয়তাল্লিশ থাকি দিল্লী তে।
","5","5","5"
"জন্মেছিলাম এলাহাবাদে এক বর্ধিষ্ণু ব্রাহ্মণ পরিবারে, বাবা এলাহাবাদ কোর্টের সিনিয়র উকিল ছিলেন দুর্দান্ত পসার, মা গৃহবধূ, আমার উপরে ছিল দুই দাদা যারা আমার থেকে দশ আর তেরো বছরের বড়।
","5","5","5"
" বাবা মার আমি অপেক্ষাকৃত বেশি বয়সের সন্তান, আমায় জন্ম দিতে গিয়ে মা প্রায় মরোমরো হয়েছিলেন।
","5","5","5"
" বাবা অনেক খরচখরচা করে, অনেক ডাক্তার বদ্যি করে মা কে বাঁচান।
","5","5","5"
" ডেলিভারি টাইমের অনেক আগেই আমি জন্মেছিলাম তাই প্রি ম্যাচিওর বেবি হিসাবে কমজোর হয়েছিলাম।
","5","5","5"
" আমার জন্মের পরই ডাক্তারবাবু ওটি থেকে বেড়িয়ে বাইরে অপেক্ষারত বাবার দিকে গম্ভীর ভাবে মাথা নাড়েন।
","5","5","5"
" বাবা ভয় পেয়ে বলেছিলেন "" কি হয়েছে ডাক্তারবাবু?
","5","5","5"
" মা বাচ্চা বেঁচে আছে তো?
","5","5","5"
" "" ডাক্তার বলেন "" হ্যাঁ, তা আছে?
","5","5","5"
" "" তাহলে কি ডাক্তারবাবু?
","5","5","5"
" মেয়ে হয়েছে তো?
","5","5","5"
" আমার দুটো ছেলে আছে, মিসেসের খুব মেয়ের শখ?
","5","5","5"
" অবশ্য ছেলে হলেও আমার অন্তত কোনো আপত্তি নেই।
","5","5","5"
""" ডাক্তারবাবু তাও চুপ করে আছেন দেখে বাবা ভয়ে ভয়ে জিজ্ঞেস করেছিলেন "" কিছু হয়েছে কি ডাক্তারবাবু?
","5","5","5"
" "" গম্ভীর ভাবে ডাক্তারবাবু বলেছিলেন "" আপনি আমার চেম্বারে আসুন একটু ?
","5","5","5"
" "" চেম্বারে বাবাকে উনি বলেছিলেন আপনার সন্তান ত্রুটিপূর্ণ ভাবে জন্মেছে, বাচ্চাটি তৃতীয় লিঙ্গের , একে নিয়ে আপনি কি করবেন জানি না?
","5","5","5"
""" বাবা না কি জিজ্ঞেস করেছিলেন চিকিৎসা করে ঠিক করা যায় না ! উনি বলেন একটি বেশি ক্রোমোজোম রয়েছে ওর, এই রহস্য আজও বিজ্ঞানের অধরা?
","5","5","5"
" কিছুই করার নেই, যদি আপনি চান পরিত্যক্ত সন্তান হিসাবে ওকে আমরা সরকারী হোমে পাঠিয়ে দেবো, তবে এইসব বাচ্চাকে ওরাও নিতে চায় না কারণ ছেলে বা মেয়েদের জন্যে আলাদা আলাদা হোম হয়, এদের কোথায় রাখবে ?
","5","5","5"
" সেক্ষেত্রে হিজড়েদের টোলায় এরা আশ্রয় পায় তবে বাচ্চাটি এখনো ইনকিউবেটরে আছে, সুস্থ হওয়ার পরেই কোথাও পাঠানো যেতে পারে?
","5","5","5"
" মা র জ্ঞান আসার পর আমাকে দেখার জন্য অধীর হয়ে পড়েছিলেন, মোটামুটি সুস্থ হবার পরও আমায় ছেড়ে বাড়ি যান নি ।
","5","5","5"
" মা না কি যুক্তি দেখিয়েছিলেন যে ঈশ্বর যখন দিয়েছেন তার মানে ঈশ্বরও জানেন যে তিনি আমায় লালনপালন করতে পাড়বেন।
","5","5","5"
" অসুস্থ মায়ের জিদের কাছে বাবা হার মানেন, আমায় বাড়ি নিয়ে আসেন।
","5","5","5"
" মা বলতেন "" পৃথিবী তে সবাইকে বিয়ে শাদী করে সন্তানের জন্ম দিতে হবে এমন কোনো নিয়ম নেই।
","5","5","5"
" আমরা ওকে পড়াশুনা শেখাবো যাতে ও নিজের পায়ে দাঁড়াতে পারে, তারপর বড় হয়ে ও নিজেই সিদ্ধান্ত নেবে ওর জীবনের ব্যাপারে।
","5","5","5"
""" মা যতদিন বেঁচে ছিলেন আমার জীবনে কোনো কষ্ট, কোনো আক্ষেপ ছিল না কিন্তু আমার দুর্ভাগ্য মা কে আমি তেরো বছরে হারাই।
","5","5","5"
" ততোদিনে আমার দুই দাদার একজন ল পড়ে বাবার জুনিয়র আর একজন ডাক্তারির ফাইনাল ইয়ার ।
","5","5","5"
" তখন আমি ক্লাস এইটে পড়ি, সেই সময়ে বড় দাদার বিয়ের কথা চলছিল।
","5","5","5"
" মা চলে যাবার এক বছর পর বড় দার বিয়ে হল, ভাবীর বাবাও উকিল, ভাবী খুব সুন্দর দেখতে কিন্তু তার উপরটা যত সুন্দর ভিতরটা ততোই কুৎসিত।
","5","5","5"
" প্রথমদিন থেকেই ভাবী আমায় বিষ চক্ষে দেখতে শুরু করলো, দাদাকে ছোড়দাকে বোঝাল যে বাড়িতে আমার মতো কিন্নর থাকলে বাড়ির অকল্যাণ হয়, বাড়ির অমর্যাদা হয়।
","5","5","5"
" আমার জন্য ভাবী তার বাপের বাড়ি, তার বন্ধু বান্ধবী দের কাছে মুখ দেখাতে পারছে না বলে রোজ দাদাদের ব্রেন ওয়াশ করতে শুরু করল ।
","5","5","5"
" ছোড় দাকে বললো যে ওর বিয়েতে আমার জন্যে অসুবিধা হতে পারে।
","5","5","5"
" বাবাকেও গিয়ে বললো যে সোনালের বেশি বাইরে ঘোরাঘুরি না করাই ভালো, যখন ছোটো ছিল তখন অতো কেউ মনে করে নি, এখন বড় হচ্ছে, পাড়ার লোকজন কিছু বলতে পারে।
","5","5","5"
" ও বাড়ির মধ্যেই থাকুক, প্রাইভেট পড়াশোনা চালাক।
","5","5","5"
" আমার স্কুল বন্ধ হল, প্রাইভেট টিউটরও না, আমি নিজে নিজেই পড়া শুরু করলাম।
","5","5","5"
" কিন্তু এবার এলো অনেক বড় বিপদ, ভাবীর ভাই মোহিত ষণ্ডামার্কা নিষ্কর্মা, সে আমাদের বাড়িতে হানা দিতে লাগলো।
","5","5","5"
" বাবা আর দুই দাদা বেড়িয়ে যাবার পর সে আসে এবং আমাকে যতদূর পারে শারীরিক আর মানসিক নিগ্রহ শুরু করতে থাকে, ভাবীর প্রচ্ছন্ন মদতে।
","5","5","5"
" তারপর সে আসলেই আমি দরজা দিয়ে বসে থাকি তখন ভাবী এসে ডাকাডাকি শুরু করে, ঘরের কাজ না করে কেন দরজা আটকে আছি বলে বকাবকি করে আর ভয় দেখায় বাবাকে বলে আমার পড়া বন্ধ করে দেওয়ার।
","5","5","5"
" মোহিত এরপর একদিন আমায় যৌন নিগ্রহ করলো , আমি লজ্জার মাথা খেয়ে বাবাকে সব বললাম ।
","5","5","5"
" বাবা উত্তরে বললেন সবই তোমার নসীব, তোমাদের মতো মানুষদের সাথে সবাই এমনিই করে থাকে।
","5","5","5"
" এ নাহয় ঘরে করেছে, তুমি যদি বাইরে যেতে কতো লোক এইসব বাইরে করতো""।
","5","5","5"
" আমি অবাক হয়ে বাবার দিকে তাকিয়ে ছিলাম দেখে বাবা বললেন "" সব তোমার মায়ের দোষ, আমি তো জন্মের সময়েই জানতাম যে তোমাকে ঘরে রাখা সম্ভব নয়, আমি মোহিতকে কিছু বললে বড়বৌমা আর খোকা আমার উপর অসন্তুষ্ট হবে।
","5","5","5"
" "" আমি যে বাড়িতে জন্মেছি, চোদ্দ বছর ধরে আছি তার চাইতে একটা বাইরের লোকের দাম বাবার কাছে বেশি হল ভেবে খুব কেঁদেছিলাম।
","5","5","5"
" শেষে একদিন মোহিত জোর করে আমার সাথে পায়ুসংগম করলো, আমার এতোদিনের শিক্ষায় এটিকে রেপ বলেই জানি, আমার পা দিয়ে গড়িয়ে রক্ত পড়ছিল।
","5","5","5"
" বাবা আদালত থেকে ফিরলে ওই অবস্থাতেই আমি বহু কষ্টে দোতলা থেকে একতলায় বাবার কাছে গিয়ে বললাম সব।
","5","5","5"
" বাবা উত্তরে বললেন "" আমি কি করবো বলো?
","5","5","5"
" সবই নসীব ""?
","5","5","5"
" এরপর আর আমার পক্ষে ওই বাড়িতে থাকা সম্ভব ছিল না।
","5","5","5"
" আমি আমার জিনিসপত্র গুছিয়ে বাবাকে বলেই ঘর ছাড়লাম, হাতে মাত্র ছয়শ টাকা যা আমি এতো দিন ধরে জমিয়েছিলাম।
","5","5","5"
" বাড়ি থেকে স্টেশনে গিয়ে দেখি দিল্লী যাবার একটা প্যাসেঞ্জার ট্রেন ছাড়বে আধা ঘন্টার মধ্যে।
","5","5","5"
" তিনশ টাকা দিয়ে একটা টিকিট কেটে চেপে বসলাম অসংরক্ষিত কামরায়।
","5","5","5"
" দিল্লী স্টেশনে নেমে ওয়েটিংরুমের বাইরে বসেছিলাম, খুব খিদে পেলে একবেলা পুরী সবজি কিনে খেয়েছি, কখনো একটু চা বিস্কুট।
","5","5","5"
