"sentence","emotion A1","emotion A2","emotion A3"
"এই কুমু কুমু মা'রে ব্রেকফাস্ট টেবল এ আয় ব্রেকফাস্ট রেডী .."" "" হ্যাঁ মা আসছি ""৷ কুমু মানে কুমুদিনী .... কুমুদিনী বসু পেশাতে ডক্টর হার্ট স্পেশালিস্ট কলকাতার NRS এ কর্মরতা .....আর মিসেস ছন্দা বসুর অর্থাৎ তার মায়ের কুমু ... কলকাতার বহুতল ফ্ল্যাট এর একটি ফ্ল্যাট এ মা মেয়ে বহুদিন ধরে আছে ৷ হাসি খুশি পরিবার কুমুর দুখ মা বোঝে মা এর দুখ কুমু বোঝে বাবা কে ছোটো বেলা থেকে পায়নি কিন্তু সে কষ্ট তার মা ভুলিয়ে দিয়েছিল তাকে বাবার শুন্যতা কখনও বুঝতেই দেয়নি ৷ যাইহোক এতদিন কুমু বেশ আনন্দেই কাটাচ্ছিল কিন্তু বাধ সাধ্ল কুমুর মা .. "" হ্যাঁ রে কুমু মনে আছে তো কথা টা?
","5","5","5"
""" "" কী কথা মা ?
","5","5","5"
" ও হ্যাঁ এলেক্ট্রিক বিল তো হ্যাঁ সুবীর কাকুর হাতে দিয়ে এসেছি সোসাইটীর সেক্রেটরী হয়েছেন তাই কাকু পেমেন্ট করে দেবেন বলেছেন, ইউ ডন্ট ওয়ারী মা ৷"" "" ও আচ্ছা তুমি ভুলে গেছ তার মানে কাল রাতে এত করে বোঝালাম ৷"" "" মা আই ডন্ট বিলীভ অন সাচ্ বোরিং ম্যারেজ লাইফ , এই বেশ আছি মা তুমি আমি ,আমি তুমি দারুন আছি প্লীজ্ মা বিয়ে করতে বোলোনা ৷ "" ব্রেড এর অর্ধেক টুকরো মুখে নিয়ে বেরিয়ে গেলো ৷ ""কুমু মা খাবার শেষ তো করে যা আচ্ছা আর তোর বিয়ের কথা আমি বলবনা ঠিকাছে ৷"" "" সময় নেই রাতে এসে ডিনার করবো ৷"" কুমুর মা জানে যে কেন কুমুর বিয়েতে এত আপত্তি কিন্তু তাও কুমুর একটা সংসার হবার খুব প্রয়োজন চিরকাল তো আর মা থাকবে না তখন ওকে কে দেখবে তাই যদি কুমুর একটা বিয়ে দিয়ে যেতে পারে অন্তত মরেও শান্তি পাবেন ছন্দা দেবী..... "" নাহ্হ মেয়ে যতই বলুক মেয়ের একটা বিয়ে দিতেই হবে "" রান্নবান্না সেরে সেই সবে মাত্র একটু গা এলিয়েছেন বিছানাতে দুপুর তখন ২.০০ ঠিক সেই সময়ে মোবাইল বেজে উঠ্লো ছন্দা দেবীর ""হ্যালো কে বলছেন ?
","5","5","5"
" "" নমস্কার আমি প্রভা দত্ত ম্যাট্রিমোনিয়ল সাইট এ আপনার মেয়ের ফটো দেখে ফোন করছি "" ভদ্রমহিলার গলার স্বর একটু ভাঙ্গা ভাঙ্গা যেন কথা বলতে কষ্ট হচ্ছে "" হ্যাঁ বলুন আমি পাত্রীর মা বলছি"" "" হ্যাঁ বলছি যে আমি পাত্রের মা তো আপনার মেয়ের ফটো দেখে আমাদের খুব পছন্দ হয়েছে আমরা ভাবছিলাম যদি এই রবিবার আপনার মেয়ে কে গিয়ে দেখে আসি কোনো অসুবিধা হবে কী আপনাদের ?
","5","5","5"
""" "" না না এ কী বলছেন ছিঃ ছিঃ অবশ্যই আসবেন আপনারা রবিবার আমি মেয়ে কে বলে রাখব "" "" আচ্ছা ঠিকাছে তবে আমি রবিবার যেতে পারবনা আমার ছেলে আর আমার মেয়ে যাবে "" ""কোনো অসুবিধা হবেনা আগে ছেলে দেখুক তারপরে যদি পছন্দ হয় আপনারা আসবেন "" ""আচ্ছা ধন্যবাদ রাখি তাহলে ?
","5","5","5"
""" "" হ্যাঁ আচ্ছা "" বলে ফোন কেটে দিয়ে ছন্দা দেবী কিছুক্ষণ বসে রইলেন ৷ রাতে ডিনার টেবল এ খাবার সাজিয়ে রেখে কুমু এর জন্য ওয়েট করতে করতে চোখ টা একটু লেগে এসেছিল ছন্দা দেবীর ডোর বেল বাজ্তে প্রায় এক লাফে উঠে গিয়ে ডোর লক খুলে দিলেন .... ""কুমু মা এলি?
","5","5","5"
""" "" কেন মা রোজ ই তো আসি আজ আবার নতুন কী "", এই বলে কুমু নিজের ঘরে ফ্রেশ হতে চলে গেল৷ "" কুমু কে রবিবার আটকে রাখতে হবে যাহোক করে কিছুতে বলা যাবেনা বিয়ের কথা বললেই ও আবার না করে দেবে তার থেকে ডিরেক্ট বসিয়ে দেবে ছেলের সামনে তাহলে আর না করতে পারবেনা৷"" "" কী এত ভাবছ মা ?
","5","5","5"
""" ছন্দা দেবী টের ই পাননি কখন কুমু তার পিছনে এসে দাঁড়িয়েছে ৷ কুমুর হাত টেনে ধরে চেয়ার এ বসিয়ে বললেন রবিবার আর কাজে না যেতে বাড়িতে পুজো দেবেন কুমুর নামে তাই কুমু কিছু একটা বলতে যাচ্ছিল কিন্তু গত এক বছরে সে মা এর জন্য বিশেষ টাইম দিতে পারেনি তাই মা এর করূন মুখ দেখে অগত্যা হ্যাঁ বলতেই হল৷ রবিবার যথারীতি ছন্দা দেবী ব্যস্ত হয়ে পড়লেন এদিকে পুজোর কিছুই আয়োজন নেই দেখে কুমুর মনে প্রশ্ন জাগলো যতবার ই মা কে জিজ্ঞেস করছে ততবার ই মা এরিয়ে যাচ্ছে .... বিকাল বেলা কুমু কে রেডী হয়ে নিতে বলতে গেলো ব্যাশ কুমুও চেপে ধরল মা কে .. "" মা সত্যি করে বলো তো আজ পুজো দেবে না অন্য কিছু ?
","5","5","5"
""" অগত্যা ছন্দা দেবী সব কিছু বলে দিলেন মেয়ে কে মেয়ে সব শুনে কিঞ্চিত হতাশ হলেও কিছু করার নেই আর এই ভেবে মা এর কথায় রাজি হয়ে গেলো .... 5.00 তে পাত্র আর তার বোন এসে পড়ল ৷ কিছুক্ষণের মধ্যে কুমুদিনী কে নিয়ে এল ছন্দা দেবী৷ ছিপছিপে গড়ন.... গমের মতো স্বর্নালী আভা , একপিঠ চুল বড় বড় চোখ যেন সৃষ্টিকর্তা বড় সময় নিয়ে এঁকেছেন চোখ দুটো আর টিকালো নাকে ছোট্টো নাকছাবী জ্বল্জ্বল করছে , সুবর্ন এর তো চোখ সরছিলইনা নেহাত রাই খোঁচা দিল সুবর্ন এর কোমরে তাই , "" কী রে দাদা এখানে বৌদিকে দেখে নিবি না ছাদনা তলার জন্য কিছু দেখা তুলে রাখবি ?
","5","5","5"
""" "" বড্ড পাকা হয়েছিস চুপ থাক আর বউদি কী এখন ও বিয়ে হলনা চুপ কর তুই এখন ৷ "" কুমু ধীরে ধীরে এসে বসল সুবর্ন দেখবে না কথা বলবে ভেবে পাচ্ছেনা অবশেষে কথা শুরু করল ..... কথা শেষ হতে প্রায় 8.00 বেজে গেছে এরপর ওরা বেরিয়ে গেলো কুমু এগিয়ে দিয়ে এল কিন্তু গাড়িতে উঠেও জানালার কাচ দিয়ে কুমু কে দেখে যাচ্ছিল সুবর্ন ৷ দুদিন পর চেম্বর এ ফোন বেজে উঠ্লো কুমুর "" হ্যালো আমি সুবর্ন "" "" ( হ্যাংলা টা আবার ফোন করেছে রে ) কী হলো কী চাই ?
","5","5","5"
