"sentence","emotion A1","emotion A2","emotion A3"
"অন্বেষার প্রোফাইল দেখে মনে মনে আনন্দের হাসি হাসল সৌম্য।
","5","5","5"
"অন্বেষা ডিভোর্সি।
","5","5","5"
" তোলাটা মনে হয় সহজ হবে।
","5","5","5"
" আজ সৌম্যর পরিচয় ও একটি কলেজের বাংলার অধ্যাপক এবং তার সাথে সাথে সেই কলেজের হেড অফ দ্য ডিপার্টমেন্টও।
","5","5","5"
"এটা সৌম্যর আজকের পরিচয়।
","5","5","5"
" কিন্তু পনেরো বছর আগেও ওর পরিচয় অন্য কিছু ছিল।
","5","5","5"
" ওর বাড়ি ছিল বর্ধমানের এক প্রত্যন্ত গ্রামে।
","5","5","5"
"বাবা প্রানগোপালবাবু ছিলেন একজন দরিদ্র ভাগচাষি।
","5","5","5"
" মা আলতাদেবী ছিলেন সম্পূর্ণ নিরক্ষর।
","5","5","5"
" সৌম্যর ছোটবেলার নাম ছিল হরিচরন।
","5","5","5"
"পরে ওর সরকারি চাকুরে পিসেমশায় নাম পালটে রেখেছিলেন সৌম্য।
","5","5","5"
"পুরো নাম সৌম্য গুছাইত।
","5","5","5"
" গ্রামের পাঠশালায় পড়াশুনা শেখা এবং তাতেই ওর মেধার পরিচয় পেয়ে গ্রামের মাস্টারমশাইরা প্রানগোপাল বাবুকে জানিয়ে ছিলেন যে ওর পড়াশুনোর যত্ন নিলে ও অনেকদূর যেতে পারবে।
","5","5","5"
"কিন্তু প্রানগোপালবাবুর তো কিছুই করার ক্ষমতা ছিল না।
","5","5","5"
"শেষে পিসেমশায়ের দায়িত্বে পিসির বাড়িতে থেকেই পড়াশুনো করল সৌম্য।
","5","5","5"
"উচ্চমাধ্যমিক পাশ করার পর কলকাতার কলেজে ভর্তি হল।
","5","5","5"
" কলেজে পড়ার সময়ই এই অন্বেষা,মিলি,সহেলী,স্নিগ্ধা ওদের দেখেছিল সৌম্য।
","5","5","5"
" অবাক লেগেছিল ওর।
","5","5","5"
"কি সুন্দরী এই শহড়ের মেয়েগুলো।
","5","5","5"
"তেমনি আধুনিকা...।
","5","5","5"
"ওদের সাথে মনে মনে নিজেদের গ্রামের মেয়েদের তুলনা করত সৌম্য।
","5","5","5"
"আকাশ পাতাল তফাৎ।
","5","5","5"
"মনে মনে ওদের নিয়ে স্বপ্ন দেখলেও ওদের চোখে চোখ রেখে সেদিন কথা বলার সাহস ছিল না সৌম্যর।
","5","5","5"
"ও ভালই জানতো যে সৌম্যর মত গ্রামের ছেলে যদি ওদের কাউকে প্রেম নিবেদন করে তাহলে সে চরমভাবে অপমানিত হবে।
","5","5","5"
"মনে আশাকে ভিতরে গিলে নিয়ে পড়াশুনোয় মন দেয় সৌম্য।
","5","5","5"
" তপসিলি উপজাতি তার উপর রেজাল্ট ও বেশ ভালো।
","5","5","5"
"এম.এ আর বি.এড করার পর প্রথম বারেই এস.এস.সি তে চান্স পেয়ে গেল সৌম্য।
","5","5","5"
"পোষ্টিং ওদের সেই গ্রামেই হল।
","5","5","5"
"সৌম্যর চাকরী পাওয়ার খবর গ্রামে প্রচার হতেই গ্রামের বড় বড় ঘর থেকে সম্বন্ধ আসতে লাগলো।
","5","5","5"
"প্রানগোপাল বাবু বললেন""হ্যাঁ রে বাবু।
","5","5","5"
" আমাদের তো নিজেদের পাকা বাড়িও নেই তাই যে মেয়ের বাড়ি বেশী পণ দেবে তাদের সাথেই তবে তোর বিয়ে পাকা করি।
","5","5","5"
