"sentence","emotion A1","emotion A2","emotion A3"
"""আর কতো খাবি মোটি, এবার ফেটে যাবি তো?
","5","5","5"
""" সকাল সকাল তিন্নিকে ছটা রুটি একবাটি তরকারি আর একটা ডিম সিদ্ধ নিয়ে উর্দ্ধশ্বাসে কেটে দেখে বুবাই আর নিজেকে সামলাতে পারলো না?
","5","5","5"
" টুপি করে ডিমটা তার পাত থেকে তুলে নিয়ে বোনের মাথায় একটা চটি মেরে নিজের মন্ত্যব করতেই তিন্নি খাবার ভর্তি মুখে তোতলা ভাষায় চেঁচিয়ে উত্তর দিলো, ""দেখ দাদা, সবসময় আমার খাবার দিকে নজর দিবি না।
","5","5","5"
" তুইও খা না, মা তো তোকেও খেতে দেয়; খাস না কেনো?
","5","5","5"
""" ভাই বোনের এই খুনসুটিতে অতিষ্ট হয়ে তাদের মা রান্নাঘর থেকে গরম খুন্তিটা নিয়ে বেড়িয়ে এসে চিৎকার করে বললেন, ""কেনো রে বুবাই, তুই সবসময় তিন্নিকে এই রকম করিস! একটাই তো বোন তোর, দুদিন পরে পরের বাড়ি চলে যাবে?
","5","5","5"
" তখন বুঝবি, বোনের মর্ম।
","5","5","5"
""" ""হুম, বুঝবি তখন কেমন লাগে""- মায়ের কথায় সায় দিয়ে তার সুরে সুর মিলিয়ে তিন্নি বলল এবং আবার খাওয়ায় মন দিলো।
","5","5","5"
" তাদের মা মেয়ের দলে বুবাই একা পড়ে গেলে এবার নির্বাণ বাবু তার দলে যোগ দিলেন।
","5","5","5"
" খবরের কাগজটা ভালো করে ভাঁজ করে পাশে নামিয়ে রেখে, চোখ থেকে চশমাটা নাকে নামিয়ে মুচকি হেসে বললেন, ""তা গিন্নী, তুমি নিশ্চিত তো, যে তিন্নি পরের ঘরে যাবে! না মানে, যেভাবে ফুলছে তোমার মেয়ে, তাতে মনে হয় না যে পাত্র পাওয়া যাবে।
","5","5","5"
" কারন সব ছেলেই তো বৌ চায়, কোলবালিশ বোধহয় সবার ঘরেই আছে!"" বলেই অট্টহাসি হেসে ঘর ভরিয়ে তুললেন, সাথে যোগ দিল বুবাই।
","5","5","5"
" তাদের মা নন্দা দেবী তো রেগে আগুন।
","5","5","5"
" এতদিন শুধু বুবাই-ই তিন্নিকে খাওয়ার খোঁটা দিতো।
","5","5","5"
" এখন বাবা হয়ে নির্বাণ বাবুও সেই খাতায় নাম লিখিয়েছেন।
","5","5","5"
" তাই মেয়ের হয়ে তিনি প্রতিবাদ করতে গেলে, তিন্নি তাকে থামিয়ে বলল, ""ছেড়ে দাও মা।
","5","5","5"
" বেশি পাত্তা দিও না।
","5","5","5"
" আসলে কি বলো তো, দাদা আমায় হিংসে করে।
","5","5","5"
" কারন আমি সব খেতে পারি, আর ও রোগা হওয়ার জন্য না খেয়ে শুকোয়।
","5","5","5"
""" বুবাইয়ের কথার পরিপ্রেক্ষিতে নিজের মনের মতো যুক্তি সাজিয়ে আবার খাওয়ায় মনোনিবেশ করলো তিন্নি।
","5","5","5"
" তাই দেখে বুবাই বলল, ""সেই, খেয়ে নে; খেয়ে নে, আর তো দুটো মাস।
","5","5","5"
" তারপরই তো কলেজে যাবি।
","5","5","5"
" তখন বুঝবি তোর বেশী ওজন কিভাবে লোকের সামনে তোর নিজের ওজন কমে করে দেয়।
","5","5","5"
" তখন আমার কথা মনে পড়বে' বলে বাইকের চাবিটা নিয়ে 'আসছি' বলে বেরিয়ে গেল বুবাই।
","5","5","5"
" সাথে সাথে নন্দা দেবী তার পিছু পিছু ছুটে দরজার কাছে এসে চেঁচিয়ে বললেন, ""বাবু, হেলমেট পরে যাও।
","5","5","5"
""" কিন্তু তার শব্দক্ষরণ সম্পূর্ণ বৃথা হয়ে গেলো।
","5","5","5"
" ততক্ষনে বুবাই বেড়িয়ে গেছে।
","5","5","5"
" ""দেখেছো, ছেলেটা একদম কথা শোনে না আমার।
","5","5","5"
" পুরো বাবার মতো হয়েছে।
","5","5","5"
" আমার মেয়েই ভালো।
","5","5","5"
" অন্তত আমার পায়ে পায়ে তো ঘোরে"" কথাটা শুনে নির্বাণ বাবু বললেন, ""আঁচলের সাথে বাঁধা থাকলেই কি উপযুক্ত সন্তান হয় গিন্নী! ওদের নিজের মতো করে বাঁচতে দাও।
","5","5","5"
" হোঁচট না খেলে জীবনের অর্থ বুঝবে কি করে ওরা।
","5","5","5"
""" কথাটা বাস্তব হলেও নন্দা দেবীর ঠিক পছন্দ হলো না।
","5","5","5"
