"sentence","emotion A1","emotion A2","emotion A3"
"আমি নিজে গল্প লেখায় অভ্যস্থ নই।
","5","5","5"
" আমার কবিতা লিখতে ও পড়তে ভালো লাগে।
","5","5","5"
" তবুও প্রতিলিপি সাইটে অনেক কবিতা ও গল্প পড়ার পর আমার অনেক গল্প ভালো লেগেছে।
","5","5","5"
" তাই ভাবলাম মনের ভাব যদি কবিতা দিয়ে প্রকাশ করা যায় তাহলে গল্প দিয়ে নয় কেন‍‌?
","5","5","5"
"চেষ্টা করলাম গল্প লেখার?
","5","5","5"
" যেগুলি প্রতিলিপির পাতায় মুদ্রণ করেছি।
","5","5","5"
" গল্প লেখার অনুপ্রেরণা কেবল প্রতিলিপির লেখক বা লেখিকা দের থেকে পেয়েছি।
","5","5","5"
" ধন্যবাদ আপনাদের এবং টিম প্রতিলিপিকে ।
","5","5","5"
" আজ এক সম্পূর্ণ আলাদা ধরণের গল্প লেখার চেষ্টা করলাম।
","5","5","5"
" প্রেম, পরিবার, প্রকৃতি নিয়ে অনেক লেখা গল্প পড়লাম।
","5","5","5"
" অনেক শিখলাম।
","5","5","5"
" আজ যেটা লিখবো সেটা আশা করি ছাত্র ছাত্রীদের ভালো লাগবে।
","5","5","5"
" অনেকে আবার তাদের পুরোনো স্মৃতি রোমন্থন করবে।
","5","5","5"
" আসি এবার আজকের গল্পে।
","5","5","5"
" অডিট এর শিক্ষক প্রফেসর অরিজিৎ পট্টানায়ক।
","5","5","5"
" খুব ফ্রাঙ্ক স্বভাবের স্যার।
","5","5","5"
" মর্নিং কো-এড কলেজে পড়ি।
","5","5","5"
" স্যার ও খুব ভালো অডিট সাবজেক্ট পড়ান।
","5","5","5"
" চাঁছাছোলা কথা বলেন।
","5","5","5"
" যার সমালোচনা করেন,তার তো অবস্থা খারাপ।
","5","5","5"
" ওই যেমন বলেন আচ্ছা তোমরা যে অঙ্ক শেখো কি কাজে লাগবে তোমাদের?
","5","5","5"
" শুধু যোগ,বিয়োগ,গুন ও ভাগ টুকুই শিখলে যথেষ্ট?
","5","5","5"
" আচ্ছা এই বীজ গণিত শিখে কি লাভ?
","5","5","5"
"তুমি যদি রিসেপশন এর জব কর তোমার বীজ গণিত কি কাজে লাগবে?
","5","5","5"
" কোনো ছাত্র পড়া না পারলে আবার বকা ঝকা নয়?
","5","5","5"
" উল্টে অন্যরা হাসলে উনি বলেন হাসছো কেন তোমরা?
","5","5","5"
" আজ পারেনি কাল পারবে?
","5","5","5"
" মনে হয় কোথাও পার্ট টাইম জব করে তাই পড়ার সময় ঠিক মতো পাচ্ছে না।
","5","5","5"
" আবার যে ছাত্রের সম্পর্কে উনি একটু আধটু জানেন।
","5","5","5"
" তাকেও তার মতো উত্তর দেন।
","5","5","5"
" এই সেদিন যেমন সমর পড়া বলতে পারেনি।
","5","5","5"
" স্যর সোজা বলে বসলেন কি সমর আজকাল মনে হয় খুব মেয়ে বাজি হচ্ছে?
","5","5","5"
"ওই সুমিতা তুই মনে হয় সমর এর সাথে প্রেম করিস?
","5","5","5"
" আচ্ছা সুমিতা তুই বল সমর যদি পড়া মন দিয়ে না করে তাহলে তার রেজাল্ট ভালো হবে না?
","5","5","5"
" আর রেজাল্ট ভালো না হলে সে ভালো চাকরী পাবে না।
","5","5","5"
" ভালো চাকরী যদি না পায় তাহলে তুই কি সমর কে বিয়ে করবি ?
","5","5","5"
" আমার তো মনে হয় করবি না, কারণ তুই এটুকু বুঝিস আজকালকার বাজারে কম বেতনের কাজে সংসার চালানো কি কষ্টের?
","5","5","5"
" তাহলে ক্ষতি-টা কার হলো?
","5","5","5"
" সমর আর সমরের সময় নষ্ট করা প্রেমের?
","5","5","5"
" সুমিতাও একদিন অন্য কোনো চাকুরিয়ালা ছেলের সাথে বিয়ে করে চলে যাবে।
","5","5","5"
" লাইফ স্টাইল নষ্ট হবে সমরের।
","5","5","5"
" আর সমর যদি ভালো পড়াশোনা করে ভালো চাকরী পায় সুমিতাকে বিয়ে ও করতে পারবে আবার প্রেম করাটাও সার্থক হবে।
","5","5","5"
" 18+ যৌবনের ছাত্র ছাত্রীদের মধ্যে স্যর এই এই সকল আদেশ উপদেশ দারুন লাগলো।
","5","5","5"
" ক্লাস রুম এ করতালি আছড়ে পড়লো।
","5","5","5"
" পাশের রুমে অংকের স্যর গজ গজ করে অঙ্ক শেখাতে লাগলেন।
","5","5","5"
" নির্ধারিত সময়ে প্রফেসর পট্টানায়ক ক্লাস শেষ করে বাই স্টুডেন্টস বলে ক্লাস ছাড়লেন।
","5","5","5"
" যাওয়ার সময় অঙ্কের স্যার এর রুমে একটু উঁকি মেরে বললেন সরি প্রফেসর বঙ্কিম।
","5","5","5"
" ডিসটার্ব করলাম বুঝতেই পারছো 18+ যৌবনের ছাত্র ছাত্রী তো তাই----।
","5","5","5"
" বলে চললেন স্টাফ রুমের দিকে।
","5","5","5"
" এদিকে অংকের স্যার ভুলে গেছেন পরের কি থিওরী বসিয়ে ক্লাসটা শেষ করবেন।
","5","5","5"
" উফফ।
","5","5","5"
" কি রকম যেন একটা ঝড় বয়ে গেলো ক্লাস টায়।
","5","5","5"
" ইতি মধ্যে ক্লাস এ নোটিশ এলো আগামী মাসের দু তারিখ ইভিনিং কলেজ এর সাথে ফুটবল প্রতিযোগিতা আছে।
","5","5","5"
" সকলের অংশগ্রহণ কাম্য।
","5","5","5"
" সবাই তো আত্মহারা।
","5","5","5"
" হো হো একটা রব উঠলো সারা কলেজে।
","5","5","5"
" নেক্সট দিন ক্লাস এ পট্টনায়ক স্যার ক্লাস এ এলেন।
","5","5","5"
" সবাইকে উৎসাহ দিয়ে গেলেন।
","5","5","5"
" বললেন এবারেও কাপ টা যেন আমাদের কলেজের হয়।
","5","5","5"
" ছাত্র ছাত্রী সকলে উৎসাহিত হলো।
","5","5","5"
" এবার সময় মাঠে নামার।
","5","5","5"
" পট্টনায়ক স্যর স্টেডিয়াম থেকে উৎসাহিত করছেন।
","5","5","5"
" আমাদের কলেজ এক গোলে পিছিয়ে ছিলো।
","5","5","5"
" এমন সময় পট্টনায়ক স্যার গেলেন মাঠের ধারে।
","5","5","5"
" সুশীল কে উৎসাহিত করার জন্য এমন এক বিষয় তুললেন যা অবাক।
","5","5","5"
" সুশীল তুমি সীমা র সাথে প্রেম করো মনে হয় না।
","5","5","5"
" হ্যাঁ স্যার।
","5","5","5"
" বললো সুশীল।
","5","5","5"
" এটাই তোমার সুযোগ সে তোমাকে ভালো বাসতে চায় না।
","5","5","5"
" যদি তার মন জয় করতে চাও তাহলে চাই একটা গোল।
","5","5","5"
" সীমা স্টেডিয়ামে আছে।
","5","5","5"
" ব্যাস কে আর দেখে সোজা কর্নার থেকে গোল।
","5","5","5"
" দ্বিতীয়ার্ধে আমাদের কলেজ এর হয়ে আর এক গোল করলো জাভেদ।
","5","5","5"
" সে তার গার্লফ্রেন্ড কে কথা দিয়েছিলো এক গোল দেবেই।
","5","5","5"
" জয় হাসিল।
","5","5","5"
" আর জয় হাসিল হবেই না বা কেনো।
","5","5","5"
" এ যে অফুরন্ত 18+ যৌবনের লড়াই।
","5","5","5"
" পট্টনায়ক স্যার সকলকে বাহবা দিলেন।
","5","5","5"
" এবং পরের বার ট্রেকিং এর এডভেঞ্চার এর জন্য ঘোষণা করলেন।
","5","5","5"
" উল্লাস আর আনন্দের সঙ্গে সকলে পড়াশোনা করতে লাগলো।
","5","5","5"
" এ যেন এক অদম্য 18+ এর স্পৃহা।
","5","5","5"
" অতি উৎসাহের সঙ্গে যারা যারা যেতে চাইলো তারা সকলেই বেরিয়ে পড়লো অযোধ্যা পাহাড়ের উদ্দেশ্যে।
","5","5","5"
" সুনীলের গোছগাছ করতে দেরি হচছে, বাড়ী থেকে এখনো বেরোতে পারেনি।
","5","5","5"
" এদিকে অনিক ফোন করে দু চারটা গালাগাল ও দিয়ে দিলো।
","5","5","5"
" রিয়া আর সীমা যেন দুই বোন।
","5","5","5"
" কি সাজুগুজু চলছে।
","5","5","5"
" ওদেরও লেট।
","5","5","5"
