"sentence","emotion A1","emotion A2","emotion A3"
"কুঁড়ি অবাক হয়,- ""কি বলছো মা?
","5","5","5"
""" -""হ্যাঁ রে?
","5","5","5"
" আমি নিজেই ওর হাত ধরে এবাড়িতে এসেছি।
","5","5","5"
""" -""কিভাবে?
","5","5","5"
""" -""আমি ছিলাম স্বাধীনচেতা মেয়ে?
","5","5","5"
" মামার বাড়িতে আমাদের খুব খাটতে হতো,ওদের বোঝা আমরা যেন, কিন্তু আমি মামী'র মুখের ওপর উত্তর দিতে ও পরোয়া করতাম না।
","5","5","5"
"তাই ওদের কাছে খারাপ ও ছিলাম আমি।
","5","5","5"
" একবার আমার বান্ধবী সুপ্রিয়া ওর শ্বশুর বাড়িতে আমাকে নিয়ে গেল।
","5","5","5"
" ওখানেই দেখা পীযুষ মানে তোর বাবার সাথে।
","5","5","5"
" ও আমায় প্রথম প্রস্তাব দেয়।
","5","5","5"
" তারপর আমি কিছুদিন পর মামার বাড়ির  আমার সব দুঃখ-কস্টর কথা বলি।
","5","5","5"
" ও তো খুব ভালোবাসতো আমায়, তাই ওগুলো সইতে না পেরে ,পালিয়ে নিয়ে এলো আমায়।
","5","5","5"
" এবাড়িতে নিয়ে এলো।
","5","5","5"
" এই উঠনেই ওরা দু-ভাই থাকে এখন যেমন, আগেও ছিল।
","5","5","5"
" তোর কাকু আর তোর বাবা।
","5","5","5"
"খুব মিল ও দুই ভাইয়ে।
","5","5","5"
""" -""তবে এখন কেন ভালোবাসে না মা?
","5","5","5"
""" -""জানিনা রে!কোনো গ্রহদোষ লেগেছে আমাদের ভালোবাসায়!"" কুঁড়ি দেখতো বাবা কোনওদিন বাড়িতে শুতো না?
","5","5","5"
" একটা মালিকের গাড়ি চালাত বাবা।
","5","5","5"
" আর মাসিক হাত-খরচ খুব কম দিত বাড়িতে।
","5","5","5"
" বাড়ি ফিরলে মায়ের সাথে খুব ঝগড়া করতো।
","5","5","5"
" শিলা দেবী প্রশ্ন করতেন, -""টাকা দিয়ে তুমি কি করো?
","5","5","5"
" রাতে কোথায় থাকো?
","5","5","5"
""" ধাক্কা দিয়ে চলে যান পীযুষ -""ওতে চালিয়ে নাও?
","5","5","5"
""" দিন মজুর শুরু করে শিলাদেবী।
","5","5","5"
" তবে দেবর খুব সাহায্য করেন, কোনও কিছুতে।
","5","5","5"
" দেবর এর ও একটা মেয়ে একটা ছেলে।
","5","5","5"
" ওদের পোশাক আনার সময় কুঁড়ির জন্য ও একটা আনেন।
","5","5","5"
" কুঁড়ি সব সময় ওনার কাছেই থাকেন।
","5","5","5"
" ওরাই যেন ওর সব।
","5","5","5"
" খুব কষ্টে সংসার চালান শিলাদেবী।
","5","5","5"
" তবু শান্তি ছিল।
","5","5","5"
" কিন্তু ওই শান্তিতুকু ও সইলো না ওর কপালে.... একদিন স্বামী এনে ঘরে তুললেন, এক বিধবা মহিলাকে, যার একটা ছেলে ও একটা মেয়ে।
","5","5","5"
" ওই বিধবার সাথেই এতদিন থাকতেন, এখন ওনার ওখানে অসুবিধের জন্য বাড়িতে নিয়ে এলেন।
","5","5","5"
" আর ওদের একটা সন্তান ও হবে।
","5","5","5"
" কুঁড়ি দের ঘরের পাশেই তোলা হয়েছিল ওর নতুন মায়ের ঘর।
","5","5","5"
" বাবা ওনার সাথেই থাকতেন।
","5","5","5"
" আর কুঁড়ির মা'কে খুব কম টাকা দিতেন।
","5","5","5"
" খুব কষ্টে শীলা সংসার চালায়।
","5","5","5"
" আর কুঁড়ি মানুষ হতে থাকে, কাকু আর কাকিমার আদর,ভালোবাসায়।
","5","5","5"
" মাঝে-মাঝে দিদা শোভা দেবী ও মাসি,মামা ও সাহায্য করতো নানা বিষয়ে।
","5","5","5"
" ততদিনে অনেক বড় হয়েছে কুঁড়ি।
","5","5","5"
" পেরিয়েছে শৈশব।
","5","5","5"
" সব পেয়েছে কিন্তু বাবার ভালোবাসা ফাঁকা ছিল! এক উঠনেই দেখতো অন্য মহিলার সাথে বাবা হেসে কথা বলছে।
","5","5","5"
" মা কেঁদে বুক ভাসায়।
","5","5","5"
" ভালোবেসে কি পেল?
","5","5","5"
" লেখা-পড়ায় ভালো ছিলো কুঁড়ি?
","5","5","5"
" ফুলের কুঁড়ির মতোই সূর্যালোকের ছোঁয়ায় ধীরে-ধীরে প্রকাশিত হচ্ছিল ওর গুণগুলো।
","5","5","5"
"মা অনেক খেটে ওকে পড়ার জন্য টাকা জোগাড় করতো।
","5","5","5"
" স্কুল জীবনে ভালোবাসা ও এসেছিল কুঁড়ির জীবনে।
","5","5","5"
" সেই প্রথম, আর সেই শেষ!... দিদুন আর মায়ের মতো ও ও পচা শামুকে পা কেটেছিল ।
","5","5","5"
" সম্রাট সেন ছিল ওর প্রথম ভালোবাসা।
","5","5","5"
" কুঁড়ি তখন সবে ক্লাস ইলেভেন।
","5","5","5"
" মাধ্যমিকে ভালো ফল করেছিল কুঁড়ি।
","5","5","5"
" স্যার-ম্যাডাম'রা স্নেহ করতো খুব।
","5","5","5"
" সম্রাট ওকে ক্লাস এইট থেকেই ফলো করতো, কিন্তু বলতে সাহস পেত না কোনওদিন।
","5","5","5"
" সেদিন স্কুল ছুটিতে রুম্পা আর কুঁড়ি বাড়ি ফিরছিল হেঁটে।
","5","5","5"
" ওখানেই চিঠি দিয়েছিল সম্রাট।
","5","5","5"
" খুব ভালো লাগতো সম্রাটের ব্যবহার।
","5","5","5"
" ক্লাস টুয়েলভ এ পড়তো তখন ছেলেটা, নম্র ,ভদ্র মনে হতো, পড়াশোনায় ও ভালোই বেশ।
","5","5","5"
" একটা ছোট ফোন ছিল কুঁড়ির।
","5","5","5"
" ওতেই ম্যাসেজ করতো রাত জেগে।
","5","5","5"
" মায়ের কাছে শুনে ,তবেই সম্পর্কে জড়িয়েছিলো কুঁড়ি।
","5","5","5"
"মা বলেছিল -""তুই নিজের ভালোটা ভালো বুঝবি।
","5","5","5"
" ভেবে চিন্তে সম্পর্কে এগিয়ে যাস, লোক বুঝে।
","5","5","5"
""" সেই শুরু স্বপ্ন দেখার।
","5","5","5"
" কেমন যেন লাগতো মাঝে-মাঝে, মনে হতো সত্যিই কি ওর সাথে ঘর বাঁধতে পারবে?
","5","5","5"
"অনেক চিন্তা মাথায় ঘুরতো, কারণ সম্রাট'কে খুব ভালো বেসে ফেলেছিল?
","5","5","5"
" কুঁড়ির জন্মদিনে একটা পার্ক এ নিয়ে যায় সম্রাট।
","5","5","5"
" কুঁড়ি সত্যি অভিভূত ছিল, যখন সম্রাট -ক্যাটবেরি আর লাল গোলাপ দিয়ে বলে -""হ্যাপি বার্থডে মাই ডিয়ার।
","5","5","5"
""".... অনেক ভালো লেগেছিল কুঁড়ির।
","5","5","5"
" সত্যিই ভালোবাসা জিনিসটা উপলদ্ধি করছিল।
","5","5","5"
" ওর ঠোঁট ছুঁয়ে দিয়েছিল, সম্রাটের ঠোঁট।
","5","5","5"
" কুঁড়ি ও তৈরি ছিল, এটা তো নির্মল...ভয় কেন?
","5","5","5"
" দুটি নির্মল হৃদয় এক হতে ভয় কি!..... সেদিন স্কুল শেষে স্টেশনে আড্ডা মারছিল সবাই, ওখানে একটা কম্পিউটারের দোকানে সবার কি একটা কাজ ছিল?
","5","5","5"
" পাঁচ সাত জন ছেলে আর মেয়ে ছিল ওরা।
","5","5","5"
" কুঁড়ির কাজ হয়ে গেলে মেয়েদের সাথে হেঁটে বেড়িয়ে আসে সম্রাটের কাছে বিদায় নিয়ে।
","5","5","5"
" কিন্তু কিছুদূর এসে মনে পড়ে একটা ছোট বই ফেলে রেখে এসেছে।
","5","5","5"
" বাকিদের ওখানেই দাঁড়াতে বলে, ছুট দেয় ওদিকে।
","5","5","5"
" -""তুই এই মোটা মেয়েটাকে লাভ করিস!  বিয়ে ও কি করবি সম্রাট!"" থমকে যায় কুঁড়ি।
","5","5","5"
" সম্রাটের বন্ধুরা বলছিল সম্রাট কে।
","5","5","5"
" কুঁড়ি ওর উত্তর শোনার জন্য আড়াল হয়ে রইল গাছের পেছনে।
","5","5","5"
" উত্তর দিয়েছিল সম্রাট, সেটা সহ্য করা কঠিন ছিল সাথ কুঁড়ির।
","5","5","5"
" -""ধুর!কে বলেছে বিয়ে করবো।
","5","5","5"
" এসব মেয়েদের শুধু দেহটার লোভ আমার, ওটা হয়ে গেলে কাজ শেষ!"".. বাড়ি ফিরে অনেক্ষন কেঁদেছিল  কুঁড়ি।
","5","5","5"
" মা সব শুনেছিল, কিন্তু কি করে বোঝাবে মেয়ে কে?
","5","5","5"
" ওদের বংশে এটা যেন রীতি!.... রাতে ফোনে বলেছিল কুঁড়ি সম্রাট কে?
","5","5","5"
" -""বিস্বাস করো কুঁড়ি, আমি শুধু ওদের এমনি বলেছি, যাতে ওরা আর কিছু না বলে।
","5","5","5"
" তাই.."" ফোন কেটে দিয়েছিল কুঁড়ি।
","5","5","5"
" আরো অনেকবার সম্রাট ক্ষমা চাইতে এসেছিল, কুঁড়ি মেনে নেয়নি।
","5","5","5"
" নিজের কান তো মিথ্যে শোনেনি।
","5","5","5"
" আর সুযোগ দেয়নি সম্রাটকে।
","5","5","5"
" তখন ক্লাস টুয়েলভ হবে কুঁড়ির।
","5","5","5"
" একদিন স্কুলে কেমন যেন লাগছিলো।
","5","5","5"
" বুঝতে পারছিল না, কি এটা?
","5","5","5"
" যন্ত্রনা ও নয়, তবে খারাপ কেন লাগছিলো?
","5","5","5"
" হ্যাড স্যার ওকে খুব ভালোবাসে।
","5","5","5"
" ছুটি দিয়ে দিলো।
","5","5","5"
" বাড়ি আসে কুঁড়ি।
","5","5","5"
" খেতে বসবার সময়'ই মা'কে দেখে, হঠাৎ কেমন করছিল মা!.... ছট -ফট করে মেঝেতে।
","5","5","5"
" ব্রেন স্ট্রোক হয়েছিল মায়ের।
","5","5","5"
" কাকু আর কাকিমা ছিল সাথে, ওদের পায়ে পড়ে সাথী-""আমায় টাকাটা ধার দাও গো তোমরা।
","5","5","5"
" আর তো কেউ নেই, কার কাছে হাত পাতব।
","5","5","5"
""" -""পাগলী মেয়ে রে তুই কুঁড়ি।
","5","5","5"
" তুই না বললেও তো আমি দিতাম।
","5","5","5"
""" কাকু মাথায় হাত বুলিয়ে দেয়।
","5","5","5"
" বাবার কাছে গেলে, বাবা বিশ্রি ব্যবহার করে, হাসপাতালে আসে কিন্তু অনেক পড়ে।
","5","5","5"
" ওনার যেন কোনও দায় নেই।
","5","5","5"
" পরদিন বাড়ি ফিরে চলে শিলা দেবীর মৃত দেহ।
","5","5","5"
" এত টাকা দিয়েও বাঁচানো গেল না!কাকু ওর মাথায় হাত বুলিয়ে দিয়ে কেঁদে ওঠে, সাথে কাকিমনি ও।
","5","5","5"
" বড্ড একা মেয়েটা! শুরু হলো,কুঁড়ির লড়াই।
","5","5","5"
" কলেজ পড়া।
","5","5","5"
" সেই সকালে টিউশন পড়তে আর পড়াতে বেরোতে কুঁড়ি, ওখান থেকে দশ মাইল পথ ওর কলেজ, এত দূর পথ হেঁটে যেত! রোজ তো বাসে যাওয়া যাবে না।
","5","5","5"
" টাকা বাঁচাতে হবে ওকে।
","5","5","5"
