"sentence","emotion A1","emotion A2","emotion A3"
"ঘরের কোনে পড়ে থাকা রংচটা চামড়ার ব্যাগটা খুলতেই চমকে উঠলাম।
","5","5","5"
" ওর ভেতরে দুবছর আগের খবরের কাগজ থেকে ছেঁড়া একটা টুকরো।
","5","5","5"
" একই সঙ্গে গত কয়েকদিনের খবরকাগজের থেকে কাটা টুকরো।
","5","5","5"
" তাহলে কি যা সন্দেহ করেছিলাম সেটাই ঠিক?
","5","5","5"
" হঠাৎ করে তা না হলে এইসব খবর আলাদা করে রাখার ওঁর কি দরকার থাকতে পারে?
","5","5","5"
" প্রথমেই যে কাগজের টুকরোটা খুললাম, সেটা একটা এস্কর্ট এজেন্সির বিজ্ঞাপন, নাম ""পত্রলেখা""?
","5","5","5"
" হুম্, আবারও সেই পত্রলেখাতে এসেই আটকে থাকছে গল্প।
","5","5","5"
" নীচে একটা ফোন নাম্বার দেওয়া আছে দেখলাম, একটা কল করে দেখা যাক ছোটকার সাথে যদি কোন লিঙ্ক থেকে থাকে এদের।
","5","5","5"
" বসার ঘরের ল্যান্ডফোন থেকে কল করলাম, রিং হচ্ছে।
","5","5","5"
" মনে মনে বললাম, 'হে ভগবান, এই ""পত্রলেখা""র সাথে যেন পত্রলেখার কোন কানেকশন না থাকে।
","5","5","5"
" ওপাশ থেকে মহিলা কন্ঠ: ওয়েলকাম টু পত্রলেখা এস্কর্ট সার্ভিস এজেন্সি, টেল মি, হোয়াট ডু ইউ ওয়ান্ট?
","5","5","5"
" ~জাস্ট সাম ইনফরমেশনস, ক্যান ইউ টেল মি এনিথিং অ্যাবাউট মিস্টার প্রতনু চৌধুরী?
","5","5","5"
" -হ্যালো! হ্যালো! স্পিক লাউড প্লিজ?
","5","5","5"
" -হ্যালো, হ্যালো আই জাস্ট... ওপাশ থেকে ফোন কেটে দেওয়া হল।
","5","5","5"
" আরো দুবার কল করলাম, একই সমস্যা।
","5","5","5"
" ফিরে এসে জানলাটা অল্প ফাঁক করে টেবিলটার উপর অপর একটা কাগজ মেলে ধরলাম।
","5","5","5"
" খুব দরকারি না হলে কেউ দুবছরের পুরনো কাগজ ছিঁড়ে ঘরে জমিয়ে রাখেনা।
","5","5","5"
" বিষয়টা এমনও নয় যে কাকা অনেক আগে জমিয়েছিলেন, পরে আর এগুলোর কথা মনে ছিলনা বলে এখানে রয়ে গেছে।
","5","5","5"
" এর প্রমাণ দেয় নতুন সংযোজনগুলি।
","5","5","5"
" অথচ, এই কাগজটির হেডিং-এর অধিকাংশই ছেঁড়া, মূল কাগজের সাথে রয়ে গেছে নিশ্চয়ই।
","5","5","5"
" অর্থাৎ, কাগজটা ছেঁড়ার সময় কাকা অত্যন্ত ব্যস্ত বা উত্তেজিত ছিলেন।
","5","5","5"
" যেটুকু পড়া যাচ্ছে তা কিছুটা এরকম- ""...দলে মৃত স্থানীয় জননেতা বীরেন্দ্র চট্টরাজ, রহস্য ঘনীভূত"" ........বহু আলোচিত জননেতা বীরেন্দ্র চট্টরাজের মৃত্যু ঘিরে আলোরিত সমগ্র ওড়িশা..........মাস দুই আগে ওনার বিরুদ্ধে নির্যাতনের অভিযোগ এনে ওনাকে নারী পাচারকারী বলে দাবী করেন ওনার স্ত্রী............উপযুক্ত প্রমাণ না পাওয়ায় অভিযুক্তের বেকসুর খালাস.............নিজের ফ্ল্যাটে ওনাকে মৃত অবস্থায় উদ্ধার করে পুলিশ..........মাথায় ধাতব রড দিয়ে আঘাতের ফলে মৃত্যু............সন্দেহের তীর স্ত্রীর দিকে.............যদিও গত মাসে ডিভোর্সের পর থেকে তিনি মুম্বাইবাসী.............হত্যার দিনেও তিনি সেখানেই ছিলেন বলে সূত্রের খবর.........পুরো ঘটনা খতিয়ে দেখা হচ্ছে।
","5","5","5"
" এর সাথে কাকার কি সম্পর্ক থাকতে পারে! নাঃ, এই একটা কাগজ দেখে কিছু অনুমান করতে যাওয়াই উচিৎ না, আগে বাকিগুলো পড়তে হবে।
","5","5","5"
