"sentence","emotion A1","emotion A2","emotion A3"
"মা বলল—দিয়ে এলি তো কলসীটাকে জলে ফেলে?
","5","5","5"
" বিদিশা বলল—কেন,জলে ফেলবো কেন?
","5","5","5"
" --পেতলের দামী কলসী,আটশো টাকা গালে চড়িয়ে নিয়েছে,দিয়ে এলি তো ?
","5","5","5"
" --হ্যাঁ দিলাম,টিউশনি পড়িয়ে টাকাটা আমিই ইনকাম করে ছিলাম মা?
","5","5","5"
" --কষ্ট করা টাকা অমন করে জলে ফেলে দিবি?
","5","5","5"
" --জলে ফেলিনি মা,দিয়েছি রাখীর বিয়েতে?
","5","5","5"
"কোন রাখী বলো তো,এ সেই রাখী যাকে আমি ছোট থেকে কাছে পেয়েছি।
","5","5","5"
" বিদিশার মা আপন মনে গজগজ করে,নেমতন্ন করলি করলি,তা বলে কি খেতেও দিবি না,একবেলা না খেয়ে বছার আমার মুখ শুকিয়ে গেছে।
","5","5","5"
" ওসব শোনার মত মনের অবস্থা নেই বিদিশার।
","5","5","5"
"সে ঘরে ঢুকে শাড়ি ছাড়তে শুরু করল।
","5","5","5"
"ময়ূর যেমন পেখম ছাড়ে,শাড়ি ছাড়তে ছাড়তে নিজেকে তা-ই মনে হচ্ছিল তার।
","5","5","5"
"আজ প্রথম শাড়ি পরেছে সে।
","5","5","5"
"রাখীরও আজ থেকে শুরু হয়ে গেছে শাড়ি পরার দিন।
","5","5","5"
" রাখীর বিয়ের কার্ড হাতে পেয়েই গজগজানি শুরু হয়েছিল মায়ের।
","5","5","5"
"কি দরকার বিয়েতে গিয়ে?
","5","5","5"
"কত লোক আসবে,তাদের কি সব মতিগতি,তারচেয়ে তুই বরং তোর মাসির বাড়ি বেড়াতে চলে যা, আমি বলে দেব,মাসীর অসুখ তাই বিদিশা গেছে?
","5","5","5"
" প্রতিবাদ করে বিদিশা—তা হয় না মা,বিয়েটা রাখীর,বিয়ে বাড়িতে যারা আসে তারা সবাই খারাপ লোক হয় না।
","5","5","5"
" --কিন্তু ওদের বিয়েটা যে দিনের বেলায়।
","5","5","5"
" --ভালই তো দিনে দিনে যাব,বিকেলে চলে আসব।
","5","5","5"
"এই তো এপাড়া-ওপাড়া মা।
","5","5","5"
" --জামাইটা নাকি গরু-মোষ চুরি করে?
","5","5","5"
" --চুরি করে না মা,বেচাকেনা করে,ভদ্র ভাষায় এটাকে বলে পাইকারী,রাখীর বাবা যেমন পেরেছে তেমন দিয়েছে?
","5","5","5"
" --তা ঠিক,আমি তো এখনো পাত্রই দেখে উঠতে পারলাম না।
","5","5","5"
" --আবার তোমার সেই এক কথা,বিএ পাশ করি,চাকরীর চেষ্টা করব,না পেলে তোমাকে বলব,এবার আমার গলায় দড়ির ব্যবস্থা কর।
","5","5","5"
" --কবে পাশ করবি,কবে চাকরী পাবি,ততদিন কি আমি বেঁচে থাকবো?
","5","5","5"
" --কেন থাকবে না মা?
","5","5","5"
" বাবা অল্প বয়সে চলে গেছে,বলে কি তুমিও চলে যাবে?
","5","5","5"
" --আমার তো মনে হয় চলেই যতে হবে,জানিস তোর বাবা রোজ রাতে আমার স্বপ্নে আসে?
","5","5","5"
"বলে,চলে এসো।
","5","5","5"
" --তুমি কি বলো?
","5","5","5"
" --আমি বলি আগে বিদিশার বিয়ে দিই,তারপর তোমার কাছে নিশ্চিন্তে যাব?
","5","5","5"
" কথাটা কিন্তু সত্যি হয়ে গেল।
","5","5","5"
"রাস্তায় ট্রাক চাপা পড়ল বিদিশার মা।
","5","5","5"
" গ্রামের লোক খুব হইচই করল।
","5","5","5"
"ট্রকের মালিক খুব ভাল লোক,মোটা টাকা ক্ষতিপুরণ দিলেন।
","5","5","5"
" হাসপাতালে যে ডাক্তারের হাতে মৃত্যু হল বিদিশার মায়ের,সে-ও খুব ছোটাছুটি করল।
","5","5","5"
" সৎ-কাজ শেষ।
","5","5","5"
" অশৌচ শেষ।
","5","5","5"
"ডাক্তার পিছু ছাড়ে না।
","5","5","5"
"মাসী বলল—আমি আর কতদিন বাড়িঘর ছেড়ে তোকে পাহারা দেব বল, তুই বাপু ডাক্তারের কথায় রাজী হ।
","5","5","5"
" --বামুনের মেয়ে হয়ে আমি ডাক্তারকে বিয়ে করব মাসী?
","5","5","5"
" --হ্যাঁ,এখন ওসব কেউ মানে না,নিচু জাতের হলেও ছেলেটা খুব ভাল?
","5","5","5"
"তোর মত কালো মেয়েকে যেচে বিয়ে করতে চায়ছে,এটাই ভাগ্যি।
","5","5","5"
" বিয়েতে রাখীকে নিমন্ত্রণ করতে গেল বিদিশা।
","5","5","5"
" রাখী শ্বশুর বাড়িতে।
","5","5","5"
" রাখীর মা বলল,অর শাশুড়ি খুব কড়া দেখি আসতে দেয় কিনা।
","5","5","5"
" রাখী তার স্বামীকে নিয়ে এল।
","5","5","5"
"তার নিজের বিয়েতে সইদের কেউ কিছু খেতে দেয়নি,এটা তার বুকে বিঁধে ছিল কাঁটার মত।
","5","5","5"
"তাই বিদিশাকে বলল— বল কি-কি করতে হবে।
","5","5","5"
" বিদিশা বলল—কি আর করবি,তুই চুপ করে আমার কাছে বসে থাকবি।
","5","5","5"
" তাই করল রাখী।
","5","5","5"
"তবে স্বামীকে পাঠিয়ে দিয়েছে বরযাত্রীদের দেখাশোনায়।
","5","5","5"
" ডাক্তারের হাতে সোনার আংটি পরিয়ে চলে গেল রাখী।
","5","5","5"
"তার শ্বশুর খুব অসুস্থ।
","5","5","5"
" জীবনের মউ হয়ে গড়িয়ে গেছে একটি বছর।
","5","5","5"
"বিদিশা এখন ডাক্তার গৃহিনী।
","5","5","5"
" তবে ডাক্তারেরও একটা পিছুটান আছে।
","5","5","5"
"প্রতিটি ছুটির দিনে চলে যায় বাইক হাঁকিয়ে অনেক দূরের গ্রামের বাড়ি।
","5","5","5"
"বাবা-মাকে দেখা করে কোয়ার্টারে ফিরতে রাত হয়ে যায়।
","5","5","5"
" অচেনা একটা নম্বর থেকে ফোন এল বিদিশার মোবাইলে।
","5","5","5"
" ডাক্তারের অ্যাক্সিডেন্ট।
","5","5","5"
"ভর্তি আছে বহরমপুরের হাসপাতালে।
","5","5","5"
" বিদিশা যখন হাসপাতালের গেটে রাখীকে দেখল ভূত দেখার মত চমকে বলল—তুই?
","5","5","5"
" --ডাক্তারবাবুকে নিয়ে এসেছি,এখন ভাল আছেরে?
","5","5","5"
" রাখীর কাছেই জানা গেল,তার শ্বশুরবাড়ির সামনের রাস্তায় অ্যাক্সিডেন্ট হয়েছিল ডাক্তারের।
","5","5","5"
"মাথায় হেলমেট ছিল।
","5","5","5"
"তাই ডাক্তারকে চিনতে পারেনি রাখীর বর।
","5","5","5"
"পরক্ষণের তার হাতের আংটি দেখে চিনেছিল।
","5","5","5"
" তখনই গাড়ি ভাড়া করে ডাক্তার আর রাখীকে নিয়ে হাসপতাল ছুটেছিল রাখীর বর।
","5","5","5"
"ডাক্তারের মোবাইল থেকে বিদিশার নম্বরে সে-ই ফোন করেছিল।
","5","5","5"
" এতটুকু বলে আর বলতে পারল না রাখী।
","5","5","5"
"হাঁউমাউ করে কাঁদতে লাগল সে।
","5","5","5"
"যে কান্না সে বিদিশার মায়ের মৃত্যুতে,বিদিশার বিয়েতে কাঁদতে পারেনি,আজ যেন তা লাভার মত গলেগলে পড়ছে।
","5","5","5"
" ডাক্তার সুস্থ।
","5","5","5"
"বিদিশা খুশি।
","5","5","5"
"সে-ও কাঁদছে।
","5","5","5"
"বলছে,তুই কি সারা জীবন আমার পিছু ছাড়বি না মুখপুড়ি।
","5","5","5"
" --না ছাড়বো না,মরলেও তোর পিছু পিছু যাব,তা মনে রাখিস।
","5","5","5"
"কান্না ভেজা গলায় হাসতে হাসতে বলছে রাখী।
","5","5","5"
" ============================================================== ।
","5","5","5"
