"sentence","emotion A1","emotion A2","emotion A3"
"সূরজ ডুবা হ্যায় ইয়ারো দো ঘুঁট নশে কে মারো রাস্তে ভুলা দো সারে ঘরবারকে… চিল্লিয়ে গাইছিল গানা – ছেলেটা গায় ভালো! গান শুনলে মন ঠাণ্ডা হয়ে যায়।
","5","5","5"
" কিন্তু গান গেয়ে ভিক্কে করে ছেলেটা।
","5","5","5"
" তাই ওকে গুরু পছন্দ করেনা।
","5","5","5"
" গুরু ভিক্কে করেনা, চুরি করে- পকেটমার।
","5","5","5"
" ওমনি গন্ধে নাক কুঁচকে গেল তো?
","5","5","5"
" সবারই যায়?
","5","5","5"
" সবাই চুরিটাই দ্যাখে- শিল্পটা বোঝে না! কাউকে বুঝতে না দিয়ে তার পকেট বা ব্যাগ থেকে মোবাইল, টাকা, হাত থেকে ঘড়ি খুলে নেওয়ার ক্ষমতা কজন রাখে?
","5","5","5"
" সাড়ে তিন বছর বয়স থেকে এই লাইনে আছে গুরু, কত কাজ করল?
","5","5","5"
" আজ অবধি কারোর বাপের সাধ্যি হয়নি ওকে ধরে! আজ গুরুর হ্যাপি বাড্ডে! বাপ-মা তো কবেই লটকেছে! তাই আজ ওরাই পাট্টি করছে।
","5","5","5"
" ওরা মানে গুরু, ছেনো, কাটা, হাবা – এই চারজন।
","5","5","5"
" আর গানাকে ডাকা হয়েছে ইস্পেশাল গানের জন্য।
","5","5","5"
" গানা গাইছে – ‘বেবি ডল ম্যায় সোনে দি’, তাও মেয়েছেলেদের মতো গলা করে! ‘নাঃ! ভালই গায় ছেলেটা।
","5","5","5"
" শুধু যদি ভিক্কেটা না করত……’ ভাবল গুরু।
","5","5","5"
" “চোপ! সব চোপ!” হঠাৎ করেই চেঁচিয়ে উঠল গুরু।
","5","5","5"
" “আজ দুটো ভালো দাঁও মেরেছি।
","5","5","5"
" আমার পকেটে এখন ৩০০ টাকা আছে।
","5","5","5"
" আজ আমি তোদের ব্রিয়ানি খাওয়াব”।
","5","5","5"
" ফুটপাথের ‘ব্রিয়ানি’ খেয়ে, ঘুমিয়ে ওরা যখন জাগল তখন ভোর হয় হয়।
","5","5","5"
" রাস্তায় সব দৌড়তে বেরিয়েছে।
","5","5","5"
" গুরুর হাত নিশপিশ করে উঠল।
","5","5","5"
" ঠিক তখনই প্রায় গায়ের ওপর দিয়ে গাড়িটা জোরে চালিয়ে নিয়ে বেরিয়ে গেল কেউ! “শালা, হারামি, কুত্তার বাচ্চা …………” পরপর খিস্তির বান ডাকল ওদের মুখে।
","5","5","5"
" তার মধ্যেই জোর আওয়াজ – “বোকাচোদাটা রেলিং – এ ধাক্কা মেরেছে বে” – দৌড়ল ওরা।
","5","5","5"
" কিন্তু ধারেকাছে পৌঁছনর আগেই সে গাড়ি হাওয়া! মুহূর্তের মধ্যে ভিড়ও জমে গেল।
","5","5","5"
" ওরা পৌঁছে দেখল – জায়গাটা রক্তে ভেসে যাচ্ছে! একটা মেয়েছেলে মরে পড়ে আছে আর পাশে একটা বাচ্চা- একদম চুপ মেরে গেছে - বোধহয় ভয়ে! “গুরু পুলিশ” – হাবা গুরুকে একটু ঠেলল! ওখান থেকে একটু সরে এল ওরা! কিন্তু গুরু নড়ল না, সে ঠায় দাঁড়িয়ে! “এ বাব্বা! এতো বাজে কেস! গাড়ির নম্বরটা দেখেছেন কেউ?
","5","5","5"
"” অফিসার ভিড়ের দিকে প্রশ্নটা ছুঁড়ে দিলেন?
","5","5","5"
" তবে ভিড় তখন পাতলা হচ্ছে – সবারই তো অফিস আছে! “ কি করা যায় বলোতো দাস?
","5","5","5"
"” পাশে দাঁড়ানো কনস্টেবলের দিকে তাকিয়ে জিজ্ঞাসা করলেন অফিসার?
","5","5","5"
" “ কি আর করবেন স্যার! তুললেই তো হ্যাপা! লাশটা মর্গে পাঠিয়ে জায়গাটা ক্লিয়ার করিয়ে দেই...... আর বাচ্চা মেয়েটা এখানেই থাক...কেউ না কেউ নিয়ে যাবে”।
","5","5","5"
" “না স্যার!” আর্তনাদ করে অফিসারের পা জড়িয়ে ধরল গুরু।
","5","5","5"
" “আমার মাকে নিয়ে যাবেন না!” তারপর ওদের সবাইকে অবাক করে দিয়ে গুরু বলে উঠল – “স্যার, কটা টাকা ভিক্কে দেবেন............ মাকে পোড়াব!” ।
","5","5","5"
