"sentence","emotion A1","emotion A2","emotion A3"
"কুঞ্জ বোষ্টমের ছোট বোন কুসুমের বাল্য-ইতিহাসটা এতই বিশ্রী যে, এখন সে-সব কথা স্মরণ করিলেও, সে লজ্জায় দুঃখে মাটির সহিত মিশিয়া যাইতে থাকে।
","5","5","5"
" যখন সে দু'বছরের শিশু তখন বাপ মরে, মা ভিক্ষা করিয়া ছেলে ও মেয়েটিকে প্রতিপালন করে।
","5","5","5"
" যখন পাঁচ বছরের, তখন মেয়েটিকে সুশ্রী দেখিয়া, বাড়ল গ্রামের অবস্থাপন্ন গৌরদাস অধিকারী তাহার পুত্র বৃন্দাবনের সহিত বিবাহ দেয়; কিন্তু বিবাহের অনতিকাল পরেই কুসুমের বিধবা-মায়ের দুর্নাম উঠে, তাহাতে গৌরদাস কুসুমকে পরিত্যাগ করিয়া ছেলের পুনর্বার বিবাহ দেয়।
","5","5","5"
" কুসুমের মা, দুঃখী হইলেও, অত্যন্ত গর্বিতা ছিল।
","5","5","5"
" সেও রাগ করিয়া কন্যাকে স্থানান্তরে লইয়া গিয়া, সেই মাসেই আর একজন আসল বৈরাগীর সহিত কন্যার কন্ঠীবদল-ক্রিয়া সম্পন্ন করে; কিন্তু ছয় মাসের মধ্যেই এই আসল বৈরাগীটি নিত্যধামে গমন করেন।
","5","5","5"
" তবে ইনি কে, কোন্‌ গ্রামে বাড়ি, তাহা একা কুসুমের মা ছাড়া, আর কেহই জানিত না, কুঞ্জও না।
","5","5","5"
" তাহার মা, কাহাকেও সঙ্গে লইয়া যায় নাই।
","5","5","5"
" কন্ঠীবদল ব্যাপারটা সত্য, কিংবা শুধুই রচনা, তাহাও কেহ নিশ্চয় বলিতে পারিত না।
","5","5","5"
" এত কান্ড কুসুমের সাত বৎসর বয়সেই শেষ হইয়া যায়।
","5","5","5"
" সেই অবধি কুসুম বিধবা।
","5","5","5"
" সংক্ষেপে এই তাহার বাল্য-ইতিহাস।
","5","5","5"
" এখন সে ষোল বৎসরের যুবতী,—তাহার দেহে রূপ ধরে না।
","5","5","5"
" যেমনই গুণ, তেমনই কর্মপটুতা, আবার লেখাপড়াও জানে।
","5","5","5"
" খুব বড়লোকের ঘরেও বোধ করি তাহাকে বেমানান দেখাইত না।
","5","5","5"
" এদিকে বৃন্দাবনের বাপ মরিয়াছে, দ্বিতীয় স্ত্রী মরিয়াছে; তাহার বয়সও পঁচিশ-ছাব্বিশের অধিক নয়।
","5","5","5"
" এখন সে কুসুমকে ফিরিয়া গ্রহণ করিতে চাহে।
","5","5","5"
" সে কুঞ্জকে পঞ্চাশ টাকা নগদ, পাঁচ জোড়া ধুতি-চাদর এবং কুসুমকে পাঁচ ভরি সোনা ও একশ' ভরি রূপার অলঙ্কার দিতে স্বীকৃত।
","5","5","5"
" দুঃখী কুঞ্জনাথ লোভে পড়িয়াছে।
","5","5","5"
" তাহার বড় ইচ্ছা কুসুম সম্মত হয়; কিন্তু কুসুম সেকথা কানেও তোলে না।
","5","5","5"
" কেন তাহা বলিতেছি;—ইহাদের বাপ-মা নাই।
","5","5","5"
" ভাই-বোন যে দুখানি ক্ষুদ্র কুটীরে বাস করে, তাহা গ্রামের ব্রাহ্মণপাড়ার ভিতরেই।
","5","5","5"
" শিশুকাল হইতেই কুসুম ব্রাহ্মণ-কন্যাদের সঙ্গেই বাড়িয়া উঠিয়াছে, একত্রে হর পন্ডিতের পাঠশালে পড়িয়াছে, খেলাধূলা করিয়াছে।
","5","5","5"
" আজিও তাহারাই তাহার সঙ্গীসাথী।
","5","5","5"
" তাই এসব প্রসঙ্গেও তাহার সর্বাঙ্গ ঘৃণায় লজ্জায় শিহরিয়া উঠে।
","5","5","5"
" ম্যালেরিয়া এবং ওলাউঠা-প্রপীড়িত বঙ্গদেশে বিধবা হইতে বিলম্ব হয় না।
","5","5","5"
" তাহার বাল্যসখীদের অনেকেই, তাহার মত হাতের নোয়া ও সিঁথির সিন্দুর ঘুচাইয়া, আবার জন্মস্থানে ফিরিয়া আসিয়াছে; ইহারা কেহ তাহার মকর- গঙ্গাজল, কেহ সই মহাপ্রসাদ।
","5","5","5"
" ছি, ছি, দাদার কথায় সম্মত হইলে, এ কালামুখ কি ইহজন্মে আর এ গ্রামে সে দেখাইতে পারিবে! কুঞ্জ কহিল, দিদি, রাজি হ।
","5","5","5"
" ধরতে গেলে বৃন্দাবনই তোর আসল বর।
","5","5","5"
" কুসুম অত্যন্ত রাগিয়া জবাব দিল, আসল নকল বুঝিনে দাদা; শুধু বুঝি আমি বিধবা।
","5","5","5"
" কেন?
","5","5","5"
" একি কুকুর-বেড়াল পেয়েছ যে, যা-ইচ্ছে হবে, তাই করবে?
","5","5","5"
" এই বিয়ে, এই কন্ঠীবদল; আবার বিয়ে, আবার কন্ঠীবদল; যাও, ও-সব আমার সুমুখে তুল না?
","5","5","5"
" বাড়লের উনি আমার কেউ নয়; আমার স্বামী মরেছে, আমি বিধবা।
","5","5","5"
" নিরীহ কুঞ্জ আর কথা কহিতে পারে না।
","5","5","5"
" তাহার এই শিক্ষিতা তেজস্বিনী ভগিনীটির সুমুখে, সে কেমন যেন থতমত খাইয়া যায়।
","5","5","5"
" তথাপি সে ভাবে, আর একরকম করিয়া।
","5","5","5"
" সে বড় দুঃখী।
","5","5","5"
" এই দু'খানি কুটীর এবং তৎসংলগ্ন অতি ক্ষুদ্র একখানি আম-কাঁঠালের বাগান ছাড়া আর তাহার কিছু নাই।
","5","5","5"
" অতএব নগদ এতগুলি টাকা এবং এত জোড়া ধুতি-চাদর তাহার কাছে সোজা ব্যাপার নহে।
","5","5","5"
" তবুও এই প্রলোভন ছাড়াও, সে তাহার একমাত্র স্নেহের সামগ্রীকে এই ভাল জায়গাটিতে সুপ্রতিষ্ঠিত করিয়া, তাহাকে সুখী দেখিয়া নিজেও সুখী হইতে চাহে।
","5","5","5"
" কন্ঠীবদল তাহাদের সমাজে 'চল' আছে, তাই তাহার মা, ও-কাজ করিয়া গিয়াছিল; কিন্তু সে যখন মরিয়াছে এবং বৃন্দাবন, কুসুমের স্বামী যখন এত সাধাসাধি করিতেছে, তখন, কেন যে কুসুম এত বড় সুযোগের প্রতি দৃক্‌পাত করিতেছে না, তাহা সে কোনমতেই ভাবিয়া পায় না।
","5","5","5"
" শুধু সমাজের ফৌজদার ও ছড়িদারের মত লইয়া কিছু মালসা-ভোগ দেওয়া।
","5","5","5"
" ব্যয়ভার সমস্তই বৃন্দাবন বহিবে; তারপর এই দুঃখ-কষ্টের সংসার ছাড়িয়া, একেবারে রাজরানী হইয়া বসিবে।
","5","5","5"
" কুসুম কি বোকা! আহা, সে যদি কুসুম হইতে পারিত! এমনই করিয়া কুঞ্জ প্রতিদিনই চিন্তা করে।
","5","5","5"
" কুঞ্জ ফেরিওয়ালার ব্যবসা করে।
","5","5","5"
" একটি বড় ধামায় ঘুন্‌সি, মালা, চিরুনি, কৌটা, সিন্দুর, তেলের মসলা, শিশুদের জন্য ছোট-বড় পুতুল প্রভৃতি পণ্যদ্রব্য এবং কুসুমের হাতের নানাবিধ সূচের কারুকার্য ইত্যাদি মাথায় লইয়া পাঁচ-সাতটা গ্রামের মধ্যে ফেরি করিয়া বেড়ায়।
","5","5","5"
" সমস্ত দিন বিক্রয় করিয়া যাহা পায়, দিনান্তে সেই পয়সাগুলি বোনটির হাতে আনিয়া দেয়।
","5","5","5"
" ইহা দ্বারা কেমন করিয়া কুসুম মূলধন বজায় রাখিয়া যে সুচারুরূপে সংসার চালাইয়া দেয়, ইহা সে বুঝিতেও পারে না—পারিবার চেষ্টাও করে না।
","5","5","5"
" আজ সকালে সে ঘুরিতে ঘুরিতে বাড়লে গিয়া উপস্থিত হইয়াছিল।
","5","5","5"
" পথে বৃন্দাবনের সহিত দেখা; সে মাঠে কাজে যাইতেছিল, আর গেল না।
","5","5","5"
" স্বজাতি এবং কুটুম্বকে মহাসমাদরে বাড়িতে ধরিয়া আনিল; হাত-পা ধুইতে জল দিল এবং তামাক সাজিয়া আনিয়া খাতির করিল।
","5","5","5"
" দ্বিপ্রহরে তাহার মা নানাবিধ ব্যঞ্জনের দ্বারা কুঞ্জকে পরিতোষ করিয়া আহার করাইলেন, এবং এত রৌদ্রে কিছুতেই ছাড়িয়া দিলেন না।
","5","5","5"
" সন্ধ্যার পর কুঞ্জ ঘরে ফিরিয়া হাত-পা ধুইয়া, মুড়ি-মুড়কি চিবাইতে চিবাইতে সেই সব কাহিনী ভগিনীর কাছে বিবৃত করিয়া, শেষে কহিল, হাঁ, একটা গেরস্থ বটে! বাগান, পুকুর, চাষবাস, কোন জিনিসটির অভাব নেই—মা-লক্ষ্মী যেন উথলে পড়ছেন।
","5","5","5"
" কুসুম চুপ করিয়া শুনিতেছিল, কথা কহিল না।
","5","5","5"
" কুঞ্জ ইহাকে সুলক্ষ্মণ মনে করিয়া, বৃন্দাবনের মা কি রাঁধিয়াছিলেন এবং কিরূপ যত্ন করিয়াছিলেন, তাহার সবিশেষ পরিচয় দিয়া কহিল, খাইয়ে দাইয়েই কি ছেড়ে দিতে চায়! বলে, এত রোদ্দুরে বেরুলে মাথা ধরে অসুখ করবে।
","5","5","5"
" কুসুম দাদার মুখের দিকে চাহিয়া, একটুখানি হাসিয়া কহিল, তাহলে দাদা বুঝি সারাদিনি এই কর্মই করেছ?
","5","5","5"
" খেয়েচ আর ঘুমিয়েচ?
","5","5","5"
" তাহার দাদাও সহাস্যে জবাব দিল, কি করি বল বোন! ছেড়ে না দিলে তো আর জোর করে আসতে পারিনে?
","5","5","5"
" কুসুম কহিল, তাহলে ও গাঁয়ে আর কোনদিন যেও না?
","5","5","5"
" কুঞ্জ কথাটা ঠিক বুঝিতে পারিল না; জিজ্ঞাসা করিল, যাব না! কেন?
","5","5","5"
" পথে দেখা হলেই ত ধরে নিয়ে যাবে?
","5","5","5"
" তারা বড়লোক, তাদের ক্ষতি নেই; কিন্তু আমাদের তাহলে ত চলবে না দাদা! ভগিনীর কথায় কুঞ্জ ক্ষুণ্ণ হইল।
","5","5","5"
" কুসুম তাহা বুঝিতে পারিয়া হাসিয়া বলিল, সে কথা বলিনি দাদা—সে কথা বলিনি; দু'একদিনে আর কি লোকসান হবে।
","5","5","5"
" তা নয়; তবে তারা বড়মানুষ, আমরা দুঃখী; কাজ কি দাদা তাদের সঙ্গে বেশি মেশামিশি করে?
","5","5","5"
" কুঞ্জ জবাব দিল, আমি তাদের ঘরে ত যেচে যাইনি, কুসুম! তা যাওনি বটে; তবু ডেকে নিয়ে গেলেই বা যাবার দরকার কি দাদা?
","5","5","5"
" তুই যে এই বামুন-মেয়েদের সঙ্গে মেলামেশা করিস তারাও ত সব বড়লোক, তবে যাস কেন?
","5","5","5"
" কুসুম দাদার মনের ভাব বুঝিয়া হাসিতে লাগিল?
","5","5","5"
" বলিল, তাদের সঙ্গে ছেলেবেলা থেকেই খেলা করি; তা ছাড়া তারা আমাদের জাতও নয়, সমাজও নয়! এখানে আমাদের লজ্জা নেই; কিন্তু ওদের কথা আলাদা।
","5","5","5"
" কুঞ্জ খানিকক্ষণ চুপ করিয়া বলিল, সেখানেও লজ্জা নেই।
","5","5","5"
" মা-লক্ষী তাঁদের দয়া করেছেন, দু' পয়সা আছে সত্য; কিন্তু এতটুকু দেমাক অহঙ্কার নেই—সবাই যেন মাটির মানুষ! বৃন্দাবনের মা আমার হাত দুটি ধরে যেমন করে— কথাটা শেষ হইল না, মাঝখানেই কুসুম বিরক্ত ও ব্যস্ত হইয়া বলিল উঠিল, আবার সেইসব পুরোনো কথা! মায়ের নামে ওরা যে এত বড় কলঙ্ক তুলেছিল, দাদা বুঝি ভুলে বসে আছ! কুঞ্জ প্রতিবাদ করিয়া বলিল, তারা একটা কথাও তোলেনি।
","5","5","5"
" বদ লোকে হিংসে করে বদনাম দিয়েছিল।
","5","5","5"
" কুসুম কহিল, তাই ওরা আমাকে তাড়িয়ে দিয়ে আর একটা বিয়ে করেছিল—কেমন?
","5","5","5"
" কুঞ্জ একটু অপ্রতিভ হইয়া বলিল, তা বটে, তবে কিনা তাতে বৃন্দাবন বেচারীর একটুও দোষ ছিল না?
","5","5","5"
" বরং তার বাপের দোষ ছিল।
","5","5","5"
" কুসুম একমুহুর্ত চুপ করিয়া থাকিয়া শান্তভাবে বলিল, যার দোষই থাক দাদা—যা হয় না, হবার নয়, দরকার কি একশ' বার সেই সব কথা তুলে?
","5","5","5"
" আমি পারিনে আর তর্ক করতে?
","5","5","5"
" কুঞ্জ প্রথমটা জবাব দিতে পারিল না, পরে একটু রুষ্টস্বরেই বলিল, তুই ত তর্ক করতে পারিস নে; কিন্তু আমাকে যে সব দিক দেখতে হয়! আজ আমি ম'লে তোর দশা কি হবে, তা একবার ভাবিস?
","5","5","5"
" কুসুম বিরক্ত হইয়াছিল, কথা কহিল না?
","5","5","5"
