"sentence","emotion A1","emotion A2","emotion A3"
"একটি চিঠি এবং তারপর--- প্রিয়সুদীপ্ত,অনেক দিন ধরে মনের মধ্যে জমে থাকা না বলা শতেক কথা বেরিয়ে আসতে চাইছিল , কিন্তু শব্দের পর শব্দ সাজিয়ে কথার মালা আর গড়ে তুলতে পারিনি।
","5","5","5"
" আজ অনেকদিন পর ক্ষনিক অবসরে তোমাকে এই পত্রমাল্যখানি উপহার দিলাম।
","5","5","5"
" সামনে আর মাত্র কয়েকটা দিন, তারপরেই আমরা এক নতুন শতাব্দীতে পৌঁছে যাবো।
","5","5","5"
" ভাবতে সত্যি মনের মধ্যে একটু রোমাঞ্চের সঞ্চার হচ্ছে।
","5","5","5"
" হিমঝরা হেমন্তের এই রাতে লেপের তলায় শুয়ে লেটার প্যাডটা নিয়ে তোমাকে কিছু লিখব বলে কলম হাতে নিয়েছি।
","5","5","5"
" কিন্তু কী লিখব?
","5","5","5"
" তুমি কি আমাকে ক্ষমা করেছো, নাকি আমাকে মন থেকে সমূলে উৎপাটিত করে ছুঁড়ে ফেলে দিয়েছ পুরানো স্মৃতির ডাস্টবিনে?
","5","5","5"
"সেই যে তুমি রাগ করে এখান থেকে চলে গেলে তারপর প্রায় একবছর হয়ে গেল কোন খোঁজ নেই?
","5","5","5"
" কিন্তু কেন?
","5","5","5"
" আমাদের ভুল বোঝাবুঝি কি আর কোনদিন মিটবে না?
","5","5","5"
" মানছি , তোমাকে বুঝতে আমি ভুল করেছি , কিন্তু তোমার কি কোন দোষ ছিল না?
","5","5","5"
" কেন জোর করে আমার সে ভুল তুমি ভাঙিয়ে দাওনি?
","5","5","5"
" কেন আমাকে নিজের মনে করে শাসন করনি?
","5","5","5"
"জানো, আজ ভীষনভাবে মনে পড়ছে আমাদের প্রথম দেখার দিনটার কথা?
","5","5","5"
" সে দিনটা আজও আমার হৃদয়ে স্বর্ণাক্ষরে লেখা রয়েছে।
","5","5","5"
