"sentence","emotion A1","emotion A2","emotion A3"
"'আমরা কার্তিক ফেলেছিলাম বলেই কিন্তু তুমি এক বছরের মধ্যে বাবা হতে পারলে।
","5","5","5"
"’ অনেক দিন পরে বর্ধমানগামী কাঞ্চনে তপোকে পেয়ে বলল নব- ‘এবার কার্তিক পুজোয় কিন্তু আমাদের ফুল-টিম নেমন্তন্ন চাই।
","5","5","5"
"’ -‘লোভে পাপ, পাপে পেট খারাপ।
","5","5","5"
"’ নির্লিপ্ত দার্শনিক উত্তর।
","5","5","5"
" -‘তপোদা, তার চেয়ে তুমি বল - লোভে পাপ, পাপে শেপ খারাপ।
","5","5","5"
"’ নিজের সদ্যোজাত ভুঁড়িতে হাত বুলিয়ে তারপর তপোর মধ্যপ্রদেশে দৃষ্টিপাত করে নব বলল ‘তুমি ত মহাপাপী! আর শ্যামলেন্দুদাকে দেখো বুড়োদার ডিম্বাশয় থেকে রোজ জোড়া জোড়া গরম আন্ডা সাফ করছে অথচ কী নিষ্পাপ চেহারা! তোমার সিক্রেটটা কী বল ত শ্যামলেন্দুদা?
","5","5","5"
"’ -‘আমার দিনে যেমন ইনপুট আছে রাতে কলকাতায় ফিরে আউটপুট আছে?
","5","5","5"
"’ ধূমায়িত মায়াবী ডিমসিদ্ধের একটি টুকরো জিহ্বা দিয়ে নাড়াচাড়া করতে করতে বললাম আমি- ‘আজ রাত্তিরে যাবে তুমি আমার সাথে আউটপুট দিতে?
","5","5","5"
" পয়সা লাগবে না?
","5","5","5"
"’ -‘সে কী কোথায় নিয়ে যাবে আমাকে?
","5","5","5"
"’ আতঙ্কিত নবর প্রশ্ন?
","5","5","5"
" -‘জিমে।
","5","5","5"
" তোমার জন্য ফ্রি পাস - এজ মাই গেস্ট।
","5","5","5"
"’ - ‘মানে, দিনে ডিম আর রাতে জিম?
","5","5","5"
" কাজ নেই বাবা?
","5","5","5"
"’ বলে সুর করে গাইতে লাগল নব- “আমার যেমন ভুঁড়ি তেমনি রবে জিম ভি যাব না, ঘাম ঝরাব না গো আমি মেদ ঝরাব না।
","5","5","5"
"” আমরা দুলে দুলে তাল দিয়ে উৎসাহ দিতে লাগলাম।
","5","5","5"
" -‘আমার অবশ্য লিস্ট ইন্টারেস্ট ইন মেন এবডোমেন ।
","5","5","5"
"’ বৌদির বানানো হাই ভোল্টেজ চাউমিন মুখে চালান করে বললেন স্বনামধন্য গাইনোকলজিস্ট পার্থদা - ‘নব, তোমাকে কিন্তু আমি ডেড লাইন দিয়েছি।
","5","5","5"
" ডিসেম্বরের মধ্যে যদি টেস্ট পজিটিভ না হয় তাহলে কিন্তু পয়সা লাগবে আর পজিটিভ হলে ফ্রি।
","5","5","5"
"’ -‘আমার জন্য গ্রেস পিরিওড নেই পার্থদা?
","5","5","5"
" লাইনে আমার আগে দেবর্ষিদা আছে?
","5","5","5"
"’ দেবর্ষি এক বছর আগে ট্রান্সফার হয়ে কলকাতা ফিরেছে।
","5","5","5"
" -‘ওর জন্যেও একই নিয়ম।
","5","5","5"
" আমি ফেসবুকে ঘোষণা করে দিচ্ছি।
","5","5","5"
" আর নো গ্রেস পিরিওড।
","5","5","5"
"’ - ‘ডেড-লাইন ফেলো বা আর যাই ফেলো, কার্তিক না ফেললে কিছুই হবে না।
","5","5","5"
"’ বললেন সর্ববিদ্যা বিশারদ অভিজিত দা - ‘দেবর্ষির বিয়ে খেয়েছি দু' বছর হয়ে গেল।
","5","5","5"
"’ - ‘আর আমার বিয়ে খেলেন ত এই ন'মাস আগে।
","5","5","5"
"’ - ‘শোন নব, ন'মাস একটা আস্ত হিউম্যান বিয়িং এর প্রসেসিং টাইম।
","5","5","5"
" তোর বিয়ের ভোজে যে ফিসফ্রাই ইনপুট দিয়েছিলি তা আমি কবেই প্রসেস করে আউটপুট দিয়ে দিয়েছি।
","5","5","5"
" প্রসেসিং স্লো হলে ক্যাটালিস্ট লাগে জানিস ত?
","5","5","5"
" সিমিলারিটিটা লক্ষ্য কর “কার-তিক” অ্যান্ড “ক্যাটা-লিস্ট”?
","5","5","5"
" ইউ নিড কার্তিক ফর ফাস্টার প্রসেসিং অফ ইওর ইনপুট।
","5","5","5"
"’ - ‘ও সব জানি না।
","5","5","5"
" তপোদার বিয়ে আগে হয়েছিল, তারপর দেবর্ষিদা, তারপর আমি।
","5","5","5"
" এবার কার্তিকের তির দেবর্ষিদার দিকে।
","5","5","5"
"’ - ‘কিন্তু কার্তিক ফেলবে কে?
","5","5","5"
" ওর বাড়ি ত সেই সল্টলেক?
","5","5","5"
"’ বললাম আমি?
","5","5","5"
" - ‘গতবার বঙ্কিমদা ফেলেছিল।
","5","5","5"
" দার্জিলিং মেল ধরে বাড়ি ফেরার তাড়া ছিল, তাও শিয়ালদা যাবার পথে ডানলপে নেমে তপোদার বাড়ি কার্তিক ফেলেছিল।
","5","5","5"
"’ নব বলল।
","5","5","5"
