"sentence","emotion A1","emotion A2","emotion A3"
"©চন্দ্রিমা বন্দ্যোপাধ্যায়© ( স্বত্ব সংরক্ষিত ) যখন তখন ধুপ ধাপ পড়ে যাওয়া আমি প্রায় একটা শিল্পের পর্যায়ে নিয়ে গেছি।
","5","5","5"
" সেই ছোট থেকেই শুরু করেছি ধুপ ধাপ পড়ে যাওয়া।
","5","5","5"
" মেঝেতে জল থাকুক চাই না থাকুক, আমি পড়বই।
","5","5","5"
" বাকি সাধারণ মানুষেরা হয়তো যেখান দিয়ে স্বাভাবিক ভাবে হেঁটে চলে বেড়াতে পারে, আমি সেখানে বেশ উল্টিয়ে ধুপ ধাপ না পড়লে আর অসাধারণত্ব আসে কি করে! সাধারণের ভিড়ে তো লোকে গুলিয়ে ফেলবে আমায়, তাই না! বেশ ভালোই মনে আছে ক্লাস 4 বা 5 অব্দি রোজ একবার করে পড়ে না গেলে দিনটা যেনো পুরো হতো না।
","5","5","5"
" মেঝেতে হোক বা সিঁড়িতে- পড়া চাইই চাই।
","5","5","5"
" সিঁড়িতে পড়াটা আরো সুন্দর মাখনের মত হতো।
","5","5","5"
" হাঁটা চলার সময়ই আমার যত অন্যমনস্কতা বৃদ্ধি পেতে।
","5","5","5"
" সেই ""চল, চল, চল, উর্দ্ধ গগনে বাজি মাদল"" গানটি ছিল আমার জন্য অনুপ্রেরণামূলক গান।
","5","5","5"
" আমি চলতাম উর্দ্ধ গগনের দিকে তাকিয়ে আর কি ভাবতাম কে জানে।
","5","5","5"
" ফলতঃ নিম্নপতন।
","5","5","5"
