"sentence","emotion A1","emotion A2","emotion A3"
"বেসরকারি একটা নামী হাসপাতালের কার্ডিওলজি ডিপার্টমেন্ট।
","5","5","5"
" দুটো স্টেন্ট বসার পর দুদিন আইসিসিইউ এর ঘেরাটোপে কাটিয়ে নিতাই সবে জেনারাল বেডে স্থানান্তরিত হয়েছে।
","5","5","5"
" স্টেন্ট লাগানর পরে অস্বস্তিগুলো কেটে গিয়ে শরীরটা বেশ চাঙ্গা হয়ে গেছে।
","5","5","5"
" কথা বলতে ভালবাসে, তাই দুদিন নির্বাক হয়ে থাকার পর বাইরে এসে একটু কথা বলতে পেরে মনটাও বেশ খুশি খুশি।
","5","5","5"
" পাশের বেডে অজিত বাবু।
","5","5","5"
" ভাল্ব মেরামতির জন্য এসেছিলেন, সুসম্পন্ন হয়েছে।
","5","5","5"
" বুকে এখনও কিছু কিছু যন্ত্রপাতি আটকান থাকলেও মনে হয় সামলে গেছেন।
","5","5","5"
" অন্তত ওনার আচরণে তেমনটাই মনে হচ্ছে।
","5","5","5"
" অল্প সময়ের মধ্যেই নিতাইয়ের সাথে প্রাথমিক আলাপটা সেরে নিয়েছেন।
","5","5","5"
" সেদিন ভিজিটিং আওয়ার শেষ হতে চলল অথচ বাড়ির কেউ তখনও আসেনি, তাই মুখে বিরক্তির ছাপ ফুটে উঠেছে।
","5","5","5"
" যখন আর মিনিট দশেক বাকি তখন বছর তিরিশ বত্রিশের এক যুবক হন্তদন্ত হয়ে ওনার সামনে এসে শুধোল—বাবা, আজ কেমন আছেন?
","5","5","5"
" প্রশ্নের উত্তর না দিয়ে অজিত বাবু বেশ রেগে পাল্টা প্রশ্ন করলেন- কি করছিলে?
","5","5","5"
" এতক্ষণে সময় হল?
","5","5","5"
" -- সেই কখন বেরিয়েছি, জ্যামে ফেঁসে দেরী হয়ে গেল?
","5","5","5"
" -- মিথ্যে কথা বোলো না তো।
","5","5","5"
" যাকগে দরকারি কথাটা বলে নিই।
","5","5","5"
" যাবার আগে ডাক্তার বাবুর সাথে দেখা করে যেও, একটু আগে নার্স এসে বলে গেল।
","5","5","5"
" আর দরকারি কিছু বললে সেটা তোমার শাশুড়িমাকে জানিয়ে দিও।
","5","5","5"
" ছেলেটি কথাবার্তার মধ্যে বিশেষ গেল না।
","5","5","5"
" সঙ্গে আনা টুকটাক দু একটা জিনিস রেখে, কিছু লাগবে কিনা জিজ্ঞেস করে চলে গেল।
","5","5","5"
" অজিতবাবুর তিরিক্ষি মেজাজ দেখে নিতাই বেশ আশ্চর্য হল।
","5","5","5"
" এই তো একটু আগেই বেশ হেসে হেসে গল্প করছিলেন।
","5","5","5"
" ছেলেটি আসতেই হঠাৎ বিগড়ে গেলেন।
","5","5","5"
