"sentence","emotion A1","emotion A2","emotion A3"
"রোববার বিকেলবেলা ছেলেকে নিয়ে বেরিয়েছি পাড়া চরাতে....না না, মানে, ঠিক চরাতে নয়, ওসব গরু - ছাগলদের ভোকাব্যুলারির সংযোজন ।
","5","5","5"
" আসলে ছেলেকে পাড়ার পার্কে নিয়ে চলেছি....পার্কের রাস্তাটায় যেতে আসতে  মোটামুটি পুড়ো পাড়াটাই দুচক্কর দেওয়া হয়ে যায়, তাই আর কি! এখন তো আর কোথাও সবুজ মাঠ দেখতে পাওয়া যায় না , ধূর  সবুজই বা বলি কেন! সাদা খটখটে মাঠই দেখতে পাওয়া যায় না ।
","5","5","5"
" চারিদিকে সানরাইজ ঢেকে দেওয়া হাইরাইজের দঙ্গল ।
","5","5","5"
" সেগুলোকেই ডজ করতে করতে এগিয়ে চলা ঐ ছোট ছোট হ্রদের মতো দেখতে মাঠের দিকে ।
","5","5","5"
" অনেকটা খেয়ে নিয়ে আইঢাই করতে করতে ঢেকুর উঠে গেলে যেমন আমরা উচ্ছিষ্ট গুলো পোষা ম্যাঁও বা ঘেউদের দিকে ছুঁড়ে  দিই, ঠিক সেরকমই গোটা জায়গাটায় হাইরাইজ হয়ে যাওয়ার পর এক চিলতে জায়গা আমাদের দিকে ঢেকুর তুলে ছুঁড়ে দিয়ে বলে - লে বেটা খেল!  তুম ভি ক্যায়া ইয়াদ  করেগা ! তো একসময় সেই ইট, কাঠ,বালি, সিমেন্ট, খোয়া, মায় পেরেকের স্টোররুম হয়ে থাকা জায়গাটাকে ছোটরা গ্রুমিং করে মাঠের পরিণত করার যথেষ্ট চেষ্টা করেছে ।
","5","5","5"
" তবে সেটাকে এখনো মাঠ বলা যায় কি না, সে বিষয়ে আমি আজও সন্দিহান, আপনারা অবশ্য দ্বিমত পোষণ করতেই পারেন।
","5","5","5"
" মাঠের কথা মনে পড়তেই মনে পড়ে গেল ছোটবেলার কথা ।
","5","5","5"
" আহা! কী অপূর্ব দৃশ্য ! রেডিওয় শোনা আর চোখে দেখা বাংলার মাঠ ।
","5","5","5"
" গরমের শুকনো খটখটে মাঠ ! শীতের উষ্ণ মাঠ ! বর্ষার হাঁটুজল মাঠ ! যেদিকে চোখ যায়, শুধু ধূ ধূ মাঠ ! তখন ভাবতাম, এখানে বড় বড় রাজপ্রাসাদ হলে ভালো হত ।
","5","5","5"
" ভগবান যে মনের কথা এত জলদি শুনে নেবে ধারণা ছিল না ।
","5","5","5"
" কুবেরের ধন এত কম সময়ে নিঃশেষ হয়ে যাবে ধারণার অতীত ছিল ।
","5","5","5"
" তাই আজ মাঠ অতীত ! অতীত সেই রেডিওর ধারাবিবরণী ! মনে পড়ে গেল হঠাৎ সেই -""মাথার উপরে নীল আকাশ আর নীচে সবুজ গালিচার ন্যায় ইডেনের মাঠ.....শ্বেতশুভ্র শীতের সকাল...কি অপূর্ব দৃশ্য, স্বর্গোদ্দ্যান বললেও যেন কম বলা হয় একে ।
","5","5","5"
" এখনও মাঠের উত্তরকোণ কুয়াশাচ্ছন্ন অথচ, কি অদ্ভুত ব্যাপার জয়ন্ত দেখ...পূবদিক দিয়ে সোনালী আলো ঠিকরে এসে পিচটাকে যেন মোহময়ী করে তুলেছে আরো ।
","5","5","5"
" হ্যাঁ, জয়ন্ত যেটা বলছিলাম...পিচের একদিকে ব্যাট হাতে ভিভ রিচার্ডস আগের দিনের অপরাজিত 75 রানে দাঁড়িয়ে নিজের স্ট্যান্স ঠিক করছেন, যেন মুকুট হীন সম্রাট...বোলিং এন্ডে দাঁড়িয়ে গর্ডন গ্রীনীচ...ভয়ংকর জুড়ি ! গ্যালারীর দিক থেকে বল করতে আসছেন হরিয়ানার হ্যারিকেন, কপিল দেব নিখাঞ্জ ... ব্যাটে বলে এক স্বর্গীয় সংঘাতের রুদ্ধশ্বাস অপেক্ষা সারা স্টেডিয়াম জুড়ে ।
","5","5","5"
" দেখ জয়ন্ত এই সকালেও পুরো স্টেডিয়াম যেন কানায় কানায় ভর্তি ।
","5","5","5"
" আপনারা শুনছেন ভারত ওয়েস্ট ইন্ডিজ টেস্ট সিরিজের দ্বিতীয় টেস্টের দ্বিতীয় দিনের ধারাবিবরণী সরাসরি ইডেন গার্ডেন্স থেকে ।
","5","5","5"
" এর পরের ধারাবিবরণী শুনবেন বন্ধু জয়ন্তর কাছ থেকে ।
","5","5","5"
"  খ্যুক ! খ্যুক ....না, আমার যেটা মনে হচ্ছে দেবাশিষদা, কুয়াশার জন্য স্টেডিয়ামটা পুরোপুরি দৃষ্টিগোচর হচ্ছে না, তাই পুরোপুরি ভর্তি সেটা এখনই জোর দিয়ে বলা যাবে না ।
","5","5","5"
"  ........হিপ হিপ হুররে....বলিস কি রে! ...হিপ হিপ হুর রে ......বলিস কি রে!.... চিন্তার মননশীলতায়  ছেদ পড়ল ....জয়ন্তর জবাবে দেবাশিসবাবুর উত্তরটা জানার আগেই স্মৃতির জাবর কাটার তারটা ছিঁড়ে গেল আর, তাতেই চোখে পড়ল ...এক দঙ্গল ছেলে...দুটো গ্রুপে ভাগ হয়ে পাশাপাশি হেঁটে আসছে ।
","5","5","5"
" একদলের হাতে একটি ট্রফি আর তারা চেঁচাচ্ছে হিপ হিপ হুররে ....পাশের দলটি তার উত্তরে বলছে বলিস কিরে! ব্যাপারটা যে কিছুই বোধগম্য হল না ।
","5","5","5"
" বেশ কয়েকবার দেখার পরে একদলে পাড়ারই এক ছোকরা নান্টুকে দেখলাম ।
","5","5","5"
" পাশ দিয়ে যাবার সময় ছোকরার শার্টের কলার ধরে বললাম - এই নান্টু ! শোন এদিকে ।
","5","5","5"
"  অনেক কসরৎ করার পরে সে কাছে আসাতে জিজ্ঞাসা করলুম - বলি ব্যাপারখানা কি ! কি হয়েছে ?
","5","5","5"
"  জবাবে নান্টু বলল - আরে দাদা, আমাদের ক্লাব পাশের পাড়ার ফাইভ এ সাইড ক্রিকেট টুর্ণামেন্ট জিতেছে?
","5","5","5"
" এটা তারই সেলিব্রেশন চলছে ।
","5","5","5"
"  বললাম, এটা আবার কেমনতর সেলিব্রেশন ! হিপ হিপ হুররে বুঝলাম...তা তোরা সকলে মিলে বলিস কি রে বলছিস কেন ?
","5","5","5"
"  - বলব না ?
","5","5","5"
" আরে আমরা জিতেছি যে !  - সে তো বুঝলাম ! কিন্তু তোরা কি সিওর ছিলিস না জেতার ব্যাপারে ?
","5","5","5"
"  - হান্ড্রেড পার্সেন্ট  - তাহলে আবার বলছিস কেন বলিস কি রে !  - কেন বলব না ! বলিস কি রে বলব না তো, সরমাসুন্দরী বলব ?
","5","5","5"
"  - সেটা আবার কে ?
","5","5","5"
"  - ঐ যাদের হারালাম - সরমাসুন্দরী অ্যাথেলেটিক ক্লাব ?
","5","5","5"
"  - না, না তোরা তো তোদের ক্লাবের নামই বলবি ।
","5","5","5"
" সেটাই তো বলছি ।
","5","5","5"
"  - আমরাও তো সেটাই বলছি ।
","5","5","5"
" - মানে ?
","5","5","5"
"  - মানে আবার কি ?
","5","5","5"
" আমাদের ক্লাবেরই নামই তো ""বলিস কি রে""! তাই তো বলছি ....কেমন ইউনিক নামটা না ?
","5","5","5"
" এই বলে গটগট করে বেরিয়ে গেল নান্টু ?
","5","5","5"
"  ততক্ষণে ওদিকে আবার নতুন স্লোগান চালু হয়েছে... - বলিস কি রে! আবার কবে ?
","5","5","5"
"  - আসছে বছর আবার হবে ?
","5","5","5"
"  নান্টু চলে যেতেই আমার ভারত, ওয়েস্ট ইণ্ডিজ, সবুজ মাঠ, ইডেন - গালিচা...রিচার্ডস - দেবাশিস, জয়ন্ত - কপিল....সব তালগোল পাকিয়ে গেল...দূরে আবার একবার হিপ হিপ হুররে শোনা গেল....নিজের অজান্তেই এবারে নিজের মুখ ফস্কে বেরিয়ে গেল - ""বলিস কি রে"" ! ।
","5","5","5"
