"sentence","emotion A1","emotion A2","emotion A3"
"প্লিজ হাসবেন না  [হাস্যরস] প্রতিবছর খ্রীষ্টমাস ছুটির এক সপ্তাহ ক্যাম্পিং-এ যাওয়া হয়।
","5","5","5"
" কারণ সবার ছুটি থাকে।
","5","5","5"
" দক্ষিণপূর্ব আমেরিকায় শীতের প্রকোপ থাকলেও বরফের-এর হাত থেকে কিছুটা বিরতি থাকে এই সময়।
","5","5","5"
" কাজেই কাছাকাছি থেকে আত্মীয়স্বজনরা দলবল নিয়ে চলে আসে আমাদের বাড়ী আর এখান থেকেই যাত্রা শুরু হয়।
","5","5","5"
" একটা এন্টারটেনমেন্ট আরভি বাস বুক করা হয়- যাতে রান্নাঘর, বাথরুম, শোবার ঘর সবরকম ব্যবস্থা করা থাকে।
","5","5","5"
" বেশ পর পর কয়েক বছর এমনিভাবেই ক্যাম্পিং যাওয়া হচ্ছে।
","5","5","5"
" সুখ দুঃখ ভুলে সবাই মিলে হৈ হৈ করে কাটানো যাবে, তাই এই প্ল্যান।
","5","5","5"
" একবার অনেক দূরে ক্যাম্পিং করতে গিয়ে গাড়ী থেকে নামার সময় রবি ঠাকুরের কবিতা মনে পড়ে গেল, “যেন মনে হলো পেরিয়ে এলেম অন্তবিহীন পথ”।
","5","5","5"
" রওনার আগে নিজের জামা কাপড় ইস্ত্রি করছিলাম।
","5","5","5"
" এই আমার এক বিশ্রী হ্যাবিট।
","5","5","5"
" যতই আগে থেকে প্ল্যান করা থাকুক না কেন, ঠিক যাবার দিন আমার জামা কাপড় ইস্ত্রি করতেই হবে।
","5","5","5"
" আর ইস্ত্রি করে রাখা আছে জামা কাপড় নিলে বা পরলে চলবে না।
","5","5","5"
" অদ্ভুত! আগে থেকে সবাই আমাকে মনে করিয়ে দেয় যে, জামা কাপড় বা ক্যাম্পিং এ আমার দিকে যা যা লাগবে সব যেন গুছিয়ে রাখি।
","5","5","5"
" আমি গুছিয়েও রাখি।
","5","5","5"
" কিন্তু যাবার আগে মনে হয়, ইশ! এই জামা কাপড়্গুলো বেশী কমফোর্টেবল।
","5","5","5"
" কাজেই ছোটাছুটি আর ইস্ত্রি ওই যাবার দিনের জন্য বরাদ্দ থাকবেই।
","5","5","5"
" জামা কাপড়ের ঢাঁই পড়ে যায় তখন ইস্ত্রি রুমের একপাশে।
","5","5","5"
"আর গজগজানির অন্ত থাকে না।
","5","5","5"
" নিজেই নিজেকে বকে চলি অবিরাম।
","5","5","5"
" যেখানেই যাওয়া হোক না কেন... আরভি গাড়ি করেই যাই আমরা।
","5","5","5"
" সবাই মিলে যাওয়ার আনন্দ আলাদা।
","5","5","5"
" এই দৌড়াদৌড়ি করার জন্য গাড়িতে উঠেই একেবারে নাক ডাকা শুরু হয়ে যায় আমার।
","5","5","5"
" নাক ডাকা না তো যেন হুইশিল।
","5","5","5"
" গাড়ির তালে তালে সেই হুইশিল বেজে ওঠে।
","5","5","5"
" সবার হাসির রসদ অবশ্য জুগিয়ে রাখি।
","5","5","5"
" তারা একটু প্রাণখুলে হাসতে তো পারে।
","5","5","5"
" সারা বাস জুড়ে তখন আমাদের এই পথ চলাতেই আনন্দ-এর রেশ সবার কানে কানে ঘুরছে।
","5","5","5"
" তার মধ্যে বাচ্চারাও কম যায় না।
","5","5","5"
