"sentence","emotion A1","emotion A2","emotion A3"
"(সমস্ত চরিত্র কাল্পনিক।
","5","5","5"
" কোন জীবিত বা মৃত ব‍্যক্তির সাথে মিল পাওয়া গেলে তা নিতান্তই কাকতালীয়।
","5","5","5"
") ""গুড মরররররররররনিং স‍্যার!"", পরিতোষ বাবু ক্লাসে ঢুকতেই পুরো ক্লাস সুর মিলিয়ে সমস্বরে বলে উঠলো।
","5","5","5"
" ""মর্নিং, সবার খয়ের, বসো বসো"", পরিতোষ বাবু প্রত‍্যুত্তরে বললেন ছাত্রদের, ক্লাসে চাপা হাসির রোল উঠল।
","5","5","5"
" চেয়ারে বসে সবে অ‍্যাটেনন্ডেসের খাতা হাতে নিয়েছেন মাত্র, সামনের বেঞ্চে বসা দিব্যেন্দু উঠে দাঁড়ালো।
","5","5","5"
" ""এই ফার্স্ট পিরিয়ডেই হিসি?
","5","5","5"
""", পরিতোষ বাবু চোখ পাকালেন?
","5","5","5"
" ""না স‍্যার, হিসি না।
","5","5","5"
" ওটা সবার খয়ের না, সুবহ্ বখৈর।
","5","5","5"
" আপনি ভুল বলেন প্রত্যেকদিন"", দিব্যেন্দু এই বলে বেঞ্চে বসে পড়ে।
","5","5","5"
" পরিতোষ বাবু হেসে ঘাড় নাড়েন শুধু, মুখে কিছু বলেন না।
","5","5","5"
" ৩৪ বছর ধরে ছেলে পড়াচ্ছেন স্কুলে, কোনদিন কারুর সাহস হয়নি তাঁর সামনে দাঁড়িয়ে তাঁর ভুল ধরার।
","5","5","5"
" হঠাৎ সরকার নিয়ম করলো স্কুলে উর্দু বলতে হবে।
","5","5","5"
" আরে বাবা বাঙালির ছেলে, বাপের জন্মে উর্দু বলেননি কোনদিন।
","5","5","5"
" হঠাৎ এসব বলতে গেলে ভুলত্রুটি হবে বৈকি!! নেহাত ক্লাসের ফার্স্ট ছেলে এই দিব্যেন্দু, তার উপর কোন এক নেতার ভাইপো।
","5","5","5"
" তাই কিছু বলতে পারলেন না তিনি, নয়তো এমন থাবড়া দিতেন না!! কোনমতে নাম ডেকে অ‍্যাটেনন্ডেসের খাতা টেবিলে রাখলেন পরিতোষ বাবু।
","5","5","5"
" তারপর ব্ল‍্যাক বোর্ডের দিকে ঘুরে চক দিয়ে বোর্ডে খসখস করে আজকের তারিখ আর 'বিষয়- বাংলা' বলে লিখে ক্লাসের দিকে ঘুরলেন তিনি।
","5","5","5"
" সামনেই অর্ধবার্ষিক পরীক্ষা, কাগজে করে তাই পরীক্ষায় আসা সম্ভাব্য রচনাগুলোর লিস্ট লিখে এনেছেন।
","5","5","5"
" শান্তিনিকেতনী ঝোলা ব‍্যাগ থেকে তাঁর ভাঁজ করা কাগজটা বের করতে করতে ক্লাসের ছাত্রদের মধ্যে থেকে সায়নকে ডেকে নিলেন তিনি।
","5","5","5"
" সায়নের মাথা বেশ ভালো পড়াশোনায়, কিন্তু প্রচন্ড দুরন্ত।
","5","5","5"
" আজ কার গাছ থেকে আম পাড়ছে, তো কাল কার ব‍্যাগে আরশোলা রাখছে।
","5","5","5"
" এই তো সেদিন ব‍্যাটা বাড়ি থেকে লুকিয়ে অ‍্যালান মুরের 'ভি ফর ভেন্ডেটা' বইটা এনে ছেলেগুলোকে পড়াচ্ছিল।
","5","5","5"
" ভাগ্যিস তিনি দেখতে পেয়ে এসে বুঝিয়ে সায়নকে আর এই বই স্কুলে আনতে বারণ করে দিয়েছিলেন।
","5","5","5"
" নয়তো স্কুলের প্রিন্সিপালের হাতে পড়লে সোজা 'ঘেউবিবাদী' তকমা দিয়ে পুলিশে পাঠাতো।
","5","5","5"
" সায়নকে ডেকে পরিতোষ বাবু বললেন, ""কাগজে যা লেখা আছে, জোরে জোরে পড়তে থাক।
","5","5","5"
""" ""আর এই যে তোরা খাতা বের করে লেখ ও যা বলছে"", ক্লাসের ছাত্রদের নির্দেশ দিয়ে তিনি নিজের চেয়ারে গিয়ে বসলেন।
","5","5","5"
" পাঞ্জাবির খুঁটে চশমাটা একবার মুছে নিয়ে ব‍্যাগ থেকে ব‍্যাকরণের বইগুলো এক এক করে বের করতে লাগলেন।
","5","5","5"
" সায়ন জোরে জোরে পড়তে থাকল, ""আগামী অর্ধবার্ষিক পরীক্ষায় আসা সম্ভাব্য রচনাবলী: এক- মানুষের জীবনে বিজ্ঞান, দুই- বিশ্ব বাংলা, তিন- তোমার জীবনের লক্ষ্য, চার- শিল্প ও ভারতবর্ষ, পাঁচ- গরু, ছয়- বিদেশভ্রমনের উপকারিতা, সাত- তোমার প্রিয় কবি।
","5","5","5"
""" সায়ন পুরোটা পড়ে আবার কাগজটা ভাঁজ করে পরিতোষ বাবুর হাতে দিয়ে নিজের জায়গায় গিয়ে বসে পড়লো।
","5","5","5"
" পরিতোষ বাবু বললেন, ""এই কটা ভালো করে পড়, ক্লাসের বই ছাড়াও বাইরের বইয়ের সাহায্য নিতে পারিস।
","5","5","5"
" আগে নিজেরা একটা করে লিখে এনে আমাকে দেখাবি, তারপর আমি কারেকশন করে দেব, কেমন?
","5","5","5"
" নিজেরা লেখার চেষ্টা না করলে শিখতে পারবি না কিছু?
","5","5","5"
""" এই বলে পরিতোষ বাবু বাংলা ব‍্যাকরণের বইটা খুলে পড়াতে শুরু করলেন।
","5","5","5"
" ঘন্টা পড়ার পর ক্লাস থেকে বেরোনোর সময় বলে গেলেন, ""কাল সবাই নিজেদের হোমওয়ার্ক খাতায় পছন্দমতো একটা করে রচনা লিখে আনবি, খাতা দেখব কিন্তু সবার।
","5","5","5"
""" পরেরদিন যথারীতি ক্লাস শুরু হল।
","5","5","5"
" পরিতোষ বাবু একে একে সবার খাতা চেক করতে শুরু করলেন।
","5","5","5"
" বিজন লিখেছে, 'তোমার জীবনের লক্ষ্য' বিষয়ে রচনা।
","5","5","5"
" সে বড় হয়ে রাজনৈতিক নেতা হতে চায়।
","5","5","5"
" শ‍্যামল লিখেছে 'বিদেশভ্রমণের উপকারিতা' বিষয়ে।
","5","5","5"
" পরিতোষ বাবু জানেন শ‍্যামল এই কদিন আগেই পরিবারের সাথে ঘুরে এসেছে জার্মানি থেকে।
","5","5","5"
" সেই অভিজ্ঞতাকেই বেশ সুন্দর করে সাজিয়ে লিখেছে সে।
","5","5","5"
" সায়ন খুব নিপুণ হাতে লিখেছে মানুষের জীবনে বিজ্ঞান কতটা উপকারী, সেই বিষয়ে।
","5","5","5"
" পরিতোষ বাবু মনে মনে হাসেন, সায়ন দুষ্টু হলে কি হবে, তার সাহিত্যজ্ঞান সম্পর্কে তিনি আগেই অবগত হয়েছেন।
","5","5","5"
" ক্লাসের শিক্ষকদের নিয়ে সে মজার মজার কবিতা লেখে।
","5","5","5"
" অন‍্যান‍্য শিক্ষকরা অসন্তুষ্ট হলেও পরিতোষ বাবুর জহুরির চোখ, তিনি বোঝেন এই দামাল ছেলের সাহিত্যজ্ঞান কতখানি।
","5","5","5"
" ""পরে একটু দুষ্টুমি কমালেই এই ছেলে একদিন হিরের টুকরো হয়ে উঠবে"", পরিতোষ বাবু মনে মনে ভাবেন।
","5","5","5"
" রিজওয়ান রচনা লিখেছে ভারতবর্ষের শিল্প ও বাণিজ‍্যের ইতিহাসের উপর, তার লেখার হাতও অন‍্যদের তুলনায় বেশ পরিণত।
","5","5","5"
" এরপর দেখেন দিব্যেন্দু রচনা লিখেছে 'তোমার প্রিয় কবি'র উপর।
","5","5","5"
" পরিতোষ বাবু হাসিমুখে পড়তে শুরু করলেন তার রচনা, ""ছেলেবেলার একটি মধুর স্মৃতি আজও আমাকে ভীষণ ভাবে নাড়া দেয়।
","5","5","5"
