"sentence","emotion A1","emotion A2","emotion A3"
"    ""চশমা-বিভ্রাট ""        সন্ধ্যেবেলা রান্নাঘরের কাজ সেরে টিভির সামনে আরাম করে বসলাম।
","5","5","5"
" কর্তা ফিরলেন ইভনিং ওয়াক সেরে।
","5","5","5"
" এসেই.... __এক কাপ চা হবে, প্লীজ... চায়ের অর্ডার দিয়ে গেলেন ফ্রেশ হতে।
","5","5","5"
" ইন্টারেস্টিং একটা শো চলছিলো।
","5","5","5"
" ওই "" প্লীজ "" শব্দটা ইচ্ছে না থাকলেও উঠতে বাধ্য করলো।
","5","5","5"
" কিন্তু বিরক্তিতে গজগজ করতে করতে রান্নাঘরে  ঢুকলাম।
","5","5","5"
" চা নিয়ে এসে দেখি উনি আরাম করে বসে টি ভি দেখছেন।
","5","5","5"
" চা দিয়ে আমিও বসে পড়লাম।
","5","5","5"
" বসে মিনিটখানেক টি ভিতে চোখ রাখার পরেই চশমার খোঁজ।
","5","5","5"
" চশমা কই... কোথায় গেলো! চশমা ছাড়া লেখাপড়া বা বেশীক্ষণ টি ভি দেখা কোনটাই সম্ভব নয়।
","5","5","5"
" আমার আবার স্বভাব কাজ ফুরালেই বারবার চশমা খুলে রাখা।
","5","5","5"
" চশমা খুঁজে বেড়াতে লাগলাম।
","5","5","5"
" এখানে... ওখানে... সেখানে...কোত্থাও নেই, দুষ্টু বাচ্চার মতো যেন লুকোচুরি খেলছে।
","5","5","5"
" আমি হয়রান চশমার খোঁজে আর ওদিক থেকে আমার অন্যমনস্কতার ওপর গা জ্বালানো টিপ্পনি ভেসে আসছে।
","5","5","5"
" ধ্যুস্... শেষপর্য্যন্ত বিরক্ত হয়ে চোখে হাত চাপা দিয়ে শুয়ে পড়লাম।
","5","5","5"
" কতক্ষণ শুয়ে ছিলাম খেয়াল নেই...ঘুম চলে এসেছিলো বুঝি।
","5","5","5"
" তন্দ্রা ভাঙলো কর্তার সুমধুর ব্যঙ্গবাণীতে, __ আজ কি চশমার শোকে বাড়ীতে সকলের খাওয়া-দাওয়া বন্ধ! উঠলাম দাঁত কড়মড় করতে করতে।
","5","5","5"
" তন্দ্রাচ্ছন্ন চোখে অগ্নিবর্ষণটা ঠিকমতো হোল না।
","5","5","5"
" উনি মুচকি হেসে গেলেন হাত ধুতে৷ টিভি চলছে... তার সামনে বসে সিরিয়াল দেখতে দেখতেই  খাওয়া হবে।
","5","5","5"
" খাবার নিয়ে এসে দেখি আমার সাধের চশমা ত্রিভঙ্গমুরারি হয়ে অসহায়ভাবে আমার দিকে চেয়ে রয়েছে।
","5","5","5"
" এই বুঝি কেঁদে ফেলবে! আহা রে...,বুকের ভেতর মুচড়ে উঠলো।
","5","5","5"
" হয়েছে কি... আমি চা বানাবার জন্য উঠেছি।
","5","5","5"
" অভ্যেস মতো চশমা খুলে রেখে দিয়েছি সোফার ওপরেই।
","5","5","5"
" আর উনি জম্পেশ করে তার ওপরে বসেই এতক্ষণ টিভি দেখছিলেন! রুমে ফিরে একবার হতভাগ্যের ওপর শুধুমাত্র বক্রদৃষ্টিপাত করে শত্রু আবার আসনে বিরাজমান হলেন।
","5","5","5"
" আর একদিনের ঘটনা বলি।
","5","5","5"
" বাজারে গেছি।
","5","5","5"
" কেনাকাটা হয়ে যাওয়ার পরে ব্যাগ থেকে চশমা বের করে চোখে  দিলাম।
","5","5","5"
" বিল মিটিয়ে অভ্যেস মতো  চশমা খুলে আবার ব্যাগে রেখে দিলাম।
","5","5","5"
" বাড়ী ফিরে দরকারমতো বের করতে গিয়ে দেখি চশমা নেই।
","5","5","5"
" দোকানে ভিড়ের মধ্যে সেটা ব্যাগের মধ্যে রাখতে গিয়ে ব্যাগের বাইরে ফেলে দিয়েছি।
","5","5","5"
" __ হ্যালো...হ্যালো...""অল ইন ওয়ান"" স্টোর?
","5","5","5"
" আমার চশমা...ইত্যাদি ইত্যাদি.... __ না ম্যাডাম, এত ভিড়ে...সম্ভব নয়...ইত্যাদি ইত্যাদি.... হারিয়ে গেছে আমার সাথী?
","5","5","5"
" বিচ্ছেদব্যথায় বিষন্ন  ভারাক্রান্ত হৃদয়।
","5","5","5"
" কিন্তু বাড়ীতে সহানুভূতি তো নেইই, উল্টোদিকে বেশ খানিক তীক্ষ্ণ বাক্যবাণে বিদ্ধ হয়ে বেচারা আমি অশ্রুধারায় আপ্লুত হলাম।
","5","5","5"
" কিছুদিন আগে তো এই চশমা নিয়ে একটা যা তা ঘটনা ঘটে গেল।
","5","5","5"
" মুম্বাই গেছি ছেলের শ্বশুরবাড়ি।
","5","5","5"
" নাতনী হয়েছে...সেখানেই আছে।
","5","5","5"
" তাকে দেখতে গেছি।
","5","5","5"
" যথারীতি একদিন বিকেল থেকে আমার চশমা গায়েব।
","5","5","5"
" খোঁজ...খোঁজ... হুলুস্থুল কাণ্ড।
","5","5","5"
" বসার ঘর...শোবার ঘর...রান্নাঘর... স্নানের ঘর... কোত্থাও,আর খুঁজতে বাকি রইলো না।
","5","5","5"
" এমন কি জামাকাপড়ের ঘর থুড়ি আলমারি পর্য্যন্ত তন্ন তন্ন করে খোঁজা হলো।
","5","5","5"
" কিন্তু,তাহার দেখা নেই রে তাহার দেখা নেই! আমি দীর্ঘনিঃশ্বাস ফেললাম,যথারীতি...।
","5","5","5"
" শেষে সবাই বেহাল হয়ে বসে পড়ে।
","5","5","5"
" বাড়ীতে একটা এক্সট্রা রিডিং গ্লাস ছিল,তাই দিয়ে সেদিনটা কাজ চালালাম।
","5","5","5"
" বেহাই মশাই খুব লজ্জিত,যেন অপরাধটা তাঁরই।
","5","5","5"
" আমতা আমতা করে বললেন, __ কাছেই একজন ভালো চোখের ডাক্তার আছেন।
","5","5","5"
" তাঁকে চোখ দেখিয়ে নতুন চশমা নিয়ে নেওয়া যাবে।
","5","5","5"
" আমি একটু হেসে চুপ করে থাকলাম।
","5","5","5"
" আমার বিটকেল অভ্যেসের কথা,আর তারজন্য চশমা নিয়ে প্রায়ই ঘটতে থাকা নানারকমের কেলেংকারীর কথা ফাঁস করলাম না।
","5","5","5"
" পরের দিন সকালে বাড়ীর কাজের মেয়েটি ব্যালকনি পরিষ্কার করতে গিয়ে, __ এই যে...এ...এ... বলে বিদঘুটেভাবে চিল্লিয়ে ওঠে।
","5","5","5"
" সব্বাই ছুটলাম কি হয়েছে দেখতে! ওর দন্তবিকশিত মুখ আর হাতে আমার ভাঙাচোরা হতভাগ্য চশমাকে আবিষ্কার করে আমাদের চোখ ছানাবড়া! এতক্ষণে আমার মাথায় আলো জ্বলে উঠলো।
","5","5","5"
" গতকাল ব্যালকনিতে আমি ফেসবুকে মগ্ন ছিলাম।
","5","5","5"
" পাশেই রুমে নাতনী ছিলো ঘুমিয়ে।
","5","5","5"
" হঠাৎ জেগে কেঁদে ওঠে...আমি সেখানেই রাখা এক উঁচু টুলের ওপরে চশমা খুলে রেখে হন্তদন্ত হয়ে ছুটে যাই তার কাছে।
","5","5","5"
" এরমধ্যে  নীচে রাখা এক ভারি স্যুটকেস কেউ টুলের ওপর চাপিয়ে দেয় আর আমার সাধের চশমা সমাধি লাভ করে।
","5","5","5"
" এখন সাফাই করার সময় কোন কারণে সেটি আবার নীচে নামানো হলে আমার নিতান্ত হতভাগ্য বিধ্বস্ত চশমা দাঁত ছিরকুটে বেরিয়ে আসে মেয়েটির হস্তপ্রদেশে।
","5","5","5"
" এখানে অবশ্য আমার তিরস্কৃত হওয়ার ভয় নেই... তাই বিন্দাস....।
","5","5","5"
" কিন্তু চুপিচুপি এখানে একথা স্বীকার করেই নেবো যে আমার চশমার দুর্দশা দেখে এবাড়ীর সকলের অপরাধী চোখের দৃষ্টি আমি ঠিক হজম করতে পারছিলাম না।
","5","5","5"
" কারণ,অপরাধটা তো যথারীতি....ইত্যাদি... ইত্যাদি।
","5","5","5"
" @@@@@@ ।
","5","5","5"
