"sentence","emotion A1","emotion A2","emotion A3"
"বৃষ্টি থামার শেষে         সায়ন্তনী পলমল ঘোষ       বইয়ের খোলা পাতাটার দিকে এক দৃষ্টিতে তাকিয়ে আছে হিমু।
","5","5","5"
" ছোটকা ওর জন্মদিনে  উপহার দিয়েছিল বইটা।
","5","5","5"
"  পড়ার বইয়ের বাইরেও বিভিন্ন ধরনের বই পড়তে সে খুব ভালোবাসে তাই ছোটকা যখনই বাড়ি আসে ওর জন্য ভালো ভালো বই আনে।
","5","5","5"
" তাই বলে কেউ যদি ভাবে হিমু সারাদিন বইয়ে মুখ গুঁজে থাকে তাহলে সে মস্ত ভুল করবে।
","5","5","5"
" হিমুর অনেক কাজ থাকে সারাদিন।
","5","5","5"
"  দৈনন্দিন পড়াশোনা শেষ করতে তার খুব একটা বেশি সময় লাগে না।
","5","5","5"
" সবাই বলে ওর মাথায় নাকি খুব বুদ্ধি।
","5","5","5"
" সেটা অবশ্য ঠিক ওর বন্ধুদের যে পড়াটা তৈরী করতে একঘন্টা লাগে সেই পড়াটা আধঘণ্টায় শেষ করে বাকি বুদ্ধি ও সময়টা হিমু বিভিন্ন সৃজনাত্বক কাজে ব্যবহার করে।
","5","5","5"
" অবশ্য ওর বাড়ির লোকজন  সেগুলোকে ধ্বংসাত্বক নামে আখ্যায়িত করে।
","5","5","5"
" সে যাই হোক হিমুর মাথায় আবার সেই অদ্ভুত প্রজাপতিটা কোকুন ভেঙে নড়াচড়া করতে আরম্ভ করেছে।
","5","5","5"
" এই প্রজাপতিটা সবসময় উড়তে চায় তাই তো হিমু স্থির থাকতে পারে না।
","5","5","5"
" এই এখন যেমন হিমুর মনটা ছটফট  করছে একটা পেরিস্কোপ বানাবার জন্য।
","5","5","5"
" কাল রাত্রিবেলাই ছোটকার দেওয়া বইটায় পেরিস্কোপ বানাবার সহজ প্রণালী পড়েছে সে।
","5","5","5"
" কিন্তু বানাব বললেই তো হলো না জিনিসপত্র জোগাড় করতে হবে।
","5","5","5"
" অবশ্য এসব কাজে হিমু সিদ্ধহস্ত।
","5","5","5"
" আজ পর্যন্ত তার লক্ষ্য পূরণ হয়নি এমন ঘটনা ঘটে নি।
","5","5","5"
"  যেখান থেকে হোক সে তার  প্রয়োজনীয় জিনিস সংগ্রহ করে নেয়।
","5","5","5"
"  তার জন্য তার কপালে বাবার বেতের বাড়ি, মায়ের বকুনি, কাকুর কানমলা  ইত্যাদি জুটলেও সে পরোয়া করে না।
","5","5","5"
" নিজের লক্ষ্যে সে সদা অবিচল।
","5","5","5"
" হিমুর মতে তার প্রতিভার কদর এ বাড়ির একজনই করে সে হলো ছোটকা কিন্তু সে তো আবার কলকাতায় থাকে।
","5","5","5"
"     “ কই গো আমার মা লক্ষ্মী কই গো।
","5","5","5"
"” হিমু পিসিঠাম্মার গলাটা শুনেই চিনল।
","5","5","5"
" বাংলার স্যার একদিন বলেছিলেন বাঙালিদের নাকি পায়ের তলায় সর্ষে।
","5","5","5"
" বাকি বাঙালিদের কথা জানা নেই তবে পিসিঠাম্মার  ব্যাপারে হিমু নিশ্চিত।
","5","5","5"
" মানুষটা সারাবছর শুধু হয় আত্মীয় বাড়িতে নয় তো কাশী, বৃন্দাবন ঘুরে বেড়ান ।
","5","5","5"
" হিমুর পিসিঠাম্মাকে এককেবারে ভালো লাগে না।
","5","5","5"
" হিমু জানে বড়দের সম্পর্কে এরকম কথা বলতে নেই কিন্তু উনি শুধু শুধু হিমুর মাকে উল্টো পাল্টা কথা শোনান কারণ আর কিছুই না হিমুদের বাড়ির সবার মধ্যে ওর মায়ের গায়ের রঙটাই শ্যামলা বাকি সবাই খুব ফর্সা।
","5","5","5"
" এই যে মা লক্ষ্মী বলে ডাকলেন সেটা  কাকিমার উদ্দেশ্যে।
","5","5","5"
" অথচ হিমু ভালো করেই জানে ওর মা এক্ষুনি চা, শরবত, জলখাবার সব তৈরি করবে পিসিঠাম্মার জন্য কিন্তু তাও পিসিঠাম্মা মায়ের সব কাজে খুঁত ধরবেই।
","5","5","5"
" পিসিঠাম্মা ছাড়া ওদের বাড়ির সবাই , আত্মীয়স্বজন সকলে বলে হিমুর মা নাকি দশভুজা।
","5","5","5"
" হিমুর তখন কি যে ভালো লাগে! হিমুর মাকে অপমান করার ফল পিসিঠাম্মাকে মাঝে মাঝেই ভোগ করতে হয়।
","5","5","5"
" সেটা অবশ্যই হিমুর কৃতিত্ব কিন্তু তখন আবার যেমন মা তার তেমনি  ছেলে এসব বলতে থাকেন।
","5","5","5"
" হিমু ওসবের পরোয়া করে না।
","5","5","5"
"  আবার পিসিঠাম্মার গলা পাওয়া গেল, “ কি গো নীলিমা তুমি বেরিয়ে এলে?
","5","5","5"
"  মা লক্ষ্মী কই?
","5","5","5"
"” “ মীরা তুলতুলকে নিয়ে বাপেরবাড়ি যাবে তাই রেডি হচ্ছে?
","5","5","5"
"  আপনি শরবতটা খান পিসিমা।
","5","5","5"
"” “ ও ।
","5","5","5"
" তা তোমার গুণধর পুত্রটি কই?
","5","5","5"
" “ “ ওপরের ঘরে পড়াশোনা করছে?
","5","5","5"
"” শান্ত কণ্ঠে বললেন হিমুর মা।
","5","5","5"
" “ পড়ছে না ছাই ঠিক কোনও বদমাইশি বুদ্ধি ভাঁজছে।
","5","5","5"
"” হিমুর মা নিরুত্তর রইলেন।
","5","5","5"
" বিয়ের পর থেকে পিসিশাশুড়ির এরকম ব্যবহারে তিনি অভস্থ্য।
","5","5","5"
" প্রথম প্রথম খারাপ লাগলেও এখন তাঁকে কিছু বললে আর তাঁর গায়ে লাগে না কারণ বাকি সবাই  তাঁকে খুব ভালোবাসে কিন্তু তাঁর ছেলেটাকে গালমন্দ করলে খুব কষ্ট হয় তাঁর।
","5","5","5"
" হিমু খুব দুস্টু একথা সত্যি কিন্তু তিনি তো মা তিনি অনুভব করতে পারেন হিমুর এই চঞ্চল প্রকৃতির আড়ালে একটা শান্ত নদীর মতো মন আছে যেখানে হীরের কুচির মতো স্বছ জল টলটল করে।
","5","5","5"
"     “ দাভাই টা টা।
","5","5","5"
" জেম্মা টা টা।
","5","5","5"
"” লাল টুকটুকে ফ্রক পরা তুলতুলকে দেখে একটা জ্যান্ত পুতুল মনে হচ্ছিল।
","5","5","5"
" বাবা, মার হাত ধরে সে নাচতে নাচতে মামা বাড়ি চলে গেল।
","5","5","5"
" বাড়িটা ফাঁকা ফাঁকা লাগছে হিমুর।
","5","5","5"
" দাদু-ঠাম্মা কলকাতা গেছে ছোটকার কাছে।
","5","5","5"
" মা রান্নাঘরে ব্যস্ত।
","5","5","5"
" বাবা দোকানে চলে গেছে।
","5","5","5"
" হিমুর বাবার সার আর বীজের বড় ব্যবসা।
","5","5","5"
" গ্রীষ্মের ছুটি চলছে তাই স্কুলও নেই।
","5","5","5"
" হিমুর হাত-পা নিশপিশ করছে কিছু একটা করার জন্য।
","5","5","5"
" তার মত কর্মঠ ছেলের এরকম নিষ্কর্মা হয়ে বসে থাকা পোষায় না।
","5","5","5"
"  এমন সময় হিমুর চোখ গেল পিসিঠাম্মার দিকে।
","5","5","5"
" তার ঠোঁটের কোণে একচিলতে দুস্টু হাসি খেলে গেল।
","5","5","5"
"     “ মা গো বাবা গো।
","5","5","5"
" পিঁপড়েয় খেয়ে গেল গো ।
","5","5","5"
"” পিসিঠাম্মার চিৎকার শোনা যাচ্ছে নীচ থেকে।
","5","5","5"
" হিমু ভালমানুষের মতো মুখ করে নিজের ঘরে অংক কষছে।
","5","5","5"
" একটু আগে হিমুর মাকে কথা শুনিয়েছিল এবার বোঝ ঠেলা ।
","5","5","5"
" “ এ ঠিক তোমার ঐ বজ্জাত ছেলের কাজ নইলে আমার কাচা কাপড়ে এত পিঁপড়ে এল কি করে! কি ছেলে যে পেটে ধরেছ!  বাবা রে!”  পিসিঠাম্মা হিমুর মাকে উদ্দেশ্য করে চেঁচিয়ে উঠলেন।
","5","5","5"
"    হিমু আড়চোখে একবার মায়ের দিকে দেখল।
","5","5","5"
" পিঁপড়ে কাণ্ডের পর থেকে মা তার সঙ্গে একটাও কথা বলেন নি।
","5","5","5"
" হিমুর একটু একটু কান্না পাচ্ছে।
","5","5","5"
" হিমু ক্লাসে ফাস্ট হয় প্রতি বছর।
","5","5","5"
" ও যখন মার্কশিটটা নিয়ে বাড়ি আসে মা ওকে জড়িয়ে ধরে খুব আদর করেন।
","5","5","5"
" হিমুর তখন কি যে ভালো লাগে ও কাউকে বলে বোঝাতে পারবে না।
","5","5","5"
" মায়ের গা থেকে একটা কি সুন্দর মা মা গন্ধ বেরোয়।
","5","5","5"
" সবাই বলে হিমুর ভয় ডর  কিছু নেই কিন্তু কেউ জানে না হিমুর পৃথিবীতে একটা ব্যাপারে ভীষণ আতঙ্ক সেটা হলো ওর প্রতি মায়ের বিমুখতা।
","5","5","5"
" মা  ওর প্রতি যখন খুব বেশি রেগে যান তখন হিমুর ভীষন কষ্ট হয়।
","5","5","5"
" সন্ধ্যে নেমে আসছে।
","5","5","5"
" মা চুপচাপ ওর সামনে দুধ-মুড়ি আর একটা কলা রেখে গেলেন।
","5","5","5"
" হিমু বাধ্য ছেলের মতো খেতে লাগল।
","5","5","5"
" “ নীলিমা, নীলিমা।
","5","5","5"
" কোথায় তুমি ?
","5","5","5"
" সর্বনাশ হয়ে গেছে?
","5","5","5"
"” হিমুর বাবা ছুটতে ছুটতে আসছেন।
","5","5","5"
" “ কি হয়েছে?
","5","5","5"
" এরকম করছ কেন?
","5","5","5"
"” উদ্বিগ্ন স্বরে বলেন হিমুর মা?
","5","5","5"
" হিমুর বাবা প্রত্যুত্তরে জানালেন যে হিমুর মেজকা একটু আগে ফোন করে জানিয়েছেন তুলতুল বিকেলবেলায় তার মামাদাদুর সাথে দোকানে যাচ্ছিল চকলেট কিনতে।
","5","5","5"
" রাস্তা পার হওয়ার সময় একটা চারচাকা গাড়ি হঠাৎ করে খুব জোরে এসে ওদের ধাক্কা মারে।
","5","5","5"
" তুলতুলের মামাদাদু ওখানেই মারা গেছেন আর তুলতুলকে হসপিটালে নিয়ে যাওয়া হয়েছে।
","5","5","5"
" একথা শুনে হিমুর মা কেঁদে ফেললেন আর বাবা ছুটলেন হিমুর বড় দাদু মানে ওনার বড় জেঠুর বাড়িতে খবর দিতে।
","5","5","5"
" কিছুক্ষনের মধ্যে হিমুর বাবা, মা আর ওবাড়ির ছোট জেঠু তুলতুলের মামাবাড়ির উদ্দেশ্যে রওনা হলেন।
","5","5","5"
" হিমু আর পিসিঠাম্মা রইল ওবাড়ির সবার দায়িত্বে।
","5","5","5"
" হিমুর ভীষন কষ্ট হচ্ছে।
","5","5","5"
" বনুকে খুব ভালোবাসে ও।
","5","5","5"
" তাছাড়া ভালদাদু মানে তুলতুলের মামাদাদুর জন্যও মন খারাপ লাগছে।
","5","5","5"
" খুব মজাদার মানুষ ছিলেন।
","5","5","5"
" হিমুকেও খুব ভালোবাসতেন।
","5","5","5"
"     এই ঘটনার পর  একমাস কেটে গেছে কিন্তু হিমুদের বাড়ির পরিবেশ থমথমে।
","5","5","5"
" ওদের বাড়ির সেই চেনা আনন্দের সুরটা কোথায় যেন হারিয়ে গেছে।
","5","5","5"
" সেই দিনের দুর্ঘটনায় তুলতুলের শারীরিক ক্ষতি বিশেষ একটা হয় নি কিন্তু ওর মনে এক গভীর ক্ষত সৃষ্টি হয়েছে।
","5","5","5"
" সেই আঘাতের ব্যাপ্তি এতটাই যে তুলতুল একদম নিশ্চুপ হয়ে গেছে।
","5","5","5"
"  চার বছরের তুলতুলের অনর্গল আধো আধো কথায় ওদের বাড়ি মুখরিত হয়ে থাকত।
","5","5","5"
" বাড়িময় সারাদিন ছুটোছুটি করে বেড়াতো মেয়েটা।
","5","5","5"
" ওকে নিয়ে মজা করার জন্য ওবাড়ির সবাইও যখন তখন ওকে নিয়ে চলে যেত কিন্তু এখন সারাদিনে একটা কথাও বলে না তুলতুল।
","5","5","5"
