"sentence","emotion A1","emotion A2","emotion A3"
"আজ বহু বছর পর দেশে ফিরলাম।
","5","5","5"
" আর যাব না কোথাও।
","5","5","5"
" অনেক চেষ্টার পর ISRO তে সুযোগ পেলাম।
","5","5","5"
" ছেড়ে দিলাম NASA র কাজ।
","5","5","5"
"কি অদ্ভুত নেমেই প্রথম সবার আগে মনে পড়লো সোনা দিদাদের কথা, গল্প দাদুর কথা।
","5","5","5"
"অভি, পুতুল, পুকাইদার কথা।
","5","5","5"
" এত দেশ ঘোরা হয়েছে, কিন্তু ওদের মতো কাউকে পায়নি।
","5","5","5"
" ওরা আমার বন্ধু।
","5","5","5"
" না না ঠিক বন্ধু না।
","5","5","5"
" আমার বন্ধু অভিরূপ, অভি।
","5","5","5"
" বাকিরা ওর ভাই বোন, কাজিন।
","5","5","5"
"কত স্মৃতি ওদের নিয়ে শুধু কি মস্তিষ্কে জিভেও।
","5","5","5"
" সোনা দিদার হাতের বিড়ির ডাল, নাড়ু, ইলিশ মাছের ঝোল, কশা মাংস, আহা জিভে লেগে আছে স্বাদ গুলো।
","5","5","5"
" কিন্তু গিন্নির দিকে তাকাতেই খাবারের সে সব স্বপ্ন উধাও হয়ে গেলো।
","5","5","5"
"ওর গোল গোল চোখ গুলো আমার ঠোঁটের ওপর জিভ ঘোরানো দেখছে।
","5","5","5"
" 440 ভোল্ট এর একটা হাসি দিয়ে মুখ অন্য দিকে ঘুরিয়ে বসে থাকলাম।
","5","5","5"
" চোখ বন্ধ! স্মৃতি গুলো আমার মধ্যে ভিড় করছে।
","5","5","5"
" বাবার যখন মেদিনীপুরে পোস্টিং হয়েছিল তখন আমি ক্লাস সেভেনে ।
","5","5","5"
" অভি আর আমি একই স্কুলে পড়তাম।
","5","5","5"
" যখন এইটে উঠলাম তখন আমদের বন্ধুত্ব বেশ জমে উঠেছে।
","5","5","5"
" গরমের ছুটির সময় সবাই আলোচনা করছি কে কি করবে?
","5","5","5"
" বাবার খুব কাজের চাপ তাই এবারও কোথাও যাওয়া হবে না বোরিং কাটবে আমার ছুটি, তাই খুব মন খারাপ?
","5","5","5"
" সবার কি সুন্দর সুন্দর প্ল্যান কেউ দার্জিলিং, কেউ পুরী যাচ্ছে বেড়াতে।
","5","5","5"
" অভি যাচ্ছে ওর গ্রামের বাড়ি।
","5","5","5"
" ও বললো আমার সাথে চল, খুব মজা হবে, আমার সব কাজিনরা আসে গরমের ছুটিতে।
","5","5","5"
" প্রথমটাই ইচ্ছে ছিল না।
","5","5","5"
" কিন্তু তারপর বাবা যখন পারমিশন দিলো তখন মনে হল চলেই যায়।
","5","5","5"
" অভি এত বার করে বলছে।
","5","5","5"
" এমনিতেও ঘরে বসেই কাটবে।
","5","5","5"
" ওদের বাড়ি যখন পৌঁছলাম তখন বেলা এগারোটা।
","5","5","5"
" আমরা আর অভির মা বাবা।
","5","5","5"
" পুরোনো বাড়ি, জমিদার গোছের।
","5","5","5"
" অনেক ঘর।
","5","5","5"
" ঢুকতেই এক বয়স্ক করে মহিলা বললেন এত দেরি!আমার দিকে তাকিয়ে অভিকে বললো এই বুঝি তোমার বন্ধু দাদুভাই।
","5","5","5"
" তার মাথায় বেশির ভাগ পাকা চুল,বড় সিঁদুরের টিপ,পরনে লাল পেড়ে সাদা শাড়ি।
","5","5","5"
" অভি পরিচয় করিয়ে দিলো আমার দিদা।
","5","5","5"
" সোনা দিদা।
","5","5","5"
" এক এক করে পরিচয় হলো সবার সাথে, ও বাড়িতে অভির দাদু দিদা,আর জেঠু জেঠিমা থাকেন।
","5","5","5"
"বাকি ছেলেমেয়ে আর নাতি নাতনিরা সব বাইরে থাকে, গরমের ছুটিতে সবাই একসাথে জড়ো হয়।
","5","5","5"
" অভিরা সবাই মিলে দশ জন ভাইবোন।
","5","5","5"
" তার মধ্যে অভি তিন নম্বর।
","5","5","5"
" পুটাইদা সবার মধ্যে বড় ।
","5","5","5"
" গিয়ে প্রথম দিন আমি আর অভি সন্ধ্যে বেলায় হাওয়া খাচ্ছি ছাদে, তখন পুতুল এসে ডেকে গেলো জরুরি তলব মিটিং ঘরে।
","5","5","5"
" পেছনে মন্দির দালানে গিয়ে দেখলাম পুটাইদা গম্ভীর ভাবে বসে আছে, তারপর সবার দিকে চোখ বুলিয়ে হুংকার ছেড়ে বললো কে একাজ করল?
","5","5","5"
" প্রথমটাতে তো ভয় পেয়ে গিয়েছিলাম তারপর বললো কে আমার পেয়ারা খেয়েছিস?
","5","5","5"
" পরে তার বক্তব্য শুনে বুঝলাম সে এসেই গাছের পেয়ারাতে কামড় বসিয়ে ছিল,একটা ছোট কামড় মানে তার?
","5","5","5"
" তার মানে অন্য কোনো ভাইবোন সেটা খেতে পারবে না।
","5","5","5"
" অভি বললো সন্ধ্যে বেলায় তুমি গাছে চড়েছিলে।
","5","5","5"
"দাদু জানে?
","5","5","5"
" পুটাইদা বলল বেটা তুইই করেছিস! মারতে যাবে কান ধরে, তখন অলি বললো না না দাদা বাঁদর এসেছিল, তুমি তখন বাজার গিয়েছিলে?
","5","5","5"
" ওরা খেয়েছে।
","5","5","5"
" সে যাত্রায় অভি বেঁচে গেলো।
","5","5","5"
"পরের দিন সবাই মিলে কাচা পেয়ারাতে কামড় বসিয়ে জাল বেঁধে দিলো।
","5","5","5"
" অভি বললো তাড়াতাড়ি, পেয়ারা বুক করতে হবে, নইলে একটাও পাবিনা।
","5","5","5"
" বুক মানে যত নম্বর ভাই বা বোন তত গুলো কামড়, শুধু পুতুল, আর টাবলু বাদে।
","5","5","5"
" ওরা ছোটো, আর তাছাড়া ন দশটা কামড় বসালে আর খেতে হবে না।
","5","5","5"
" কিন্তু আমি কি করব?
","5","5","5"
" অভি বললো আমি ওপরের দিকে তিনটি কামড় বসাবো তুই নিচের দিকটা কামড়াশ?
","5","5","5"
"সেইদিন আমি প্রথম গাছে উঠে ছিলাম।
","5","5","5"
" কিন্তু আসল মজাতো তখন হল যখন অভি পুটাইদার জালটা খুলে একটা পেয়ারাতে আরো দুটো কামড় বসিয়ে দিলো।
","5","5","5"
" ভেবেছিল পুটাইদা চলে গেছে হঠাৎ আওয়াজ, নেমে আই হতচ্ছাড়া।
","5","5","5"
" অভি তখন ভাবতে পারছে না গাছে থাকবে না নামবে।
","5","5","5"
" হড়বড় করতে গিয়ে গড়বড় হয়ে গেলো, আমায় নিয়ে পড়লো।
","5","5","5"
