"sentence","emotion A1","emotion A2","emotion A3"
"ছোট থেকেই নাচ শেখার খুব শখ আমার।
","5","5","5"
" যে সে নয়, সেটা হতে হবে ভরতনাট্যম বা কত্থক।
","5","5","5"
" ছোটবেলায় টিভিতে ন্যাশনাল চ্যানেলে নৃত্য পরিবেশনা দেখলে বিভোর হয়ে তাকিয়ে থাকতাম।
","5","5","5"
" সাদাকালো টিভিতে নাচ দেখে চোখে রামধনুর সাত রং খেলা করতো আমার।
","5","5","5"
" বেগতিক দেখে মা-বাবা বাড়ির কাছেই একটি ভরতনাট্যম নাচের স্কুলে ভর্তি করে দিলেন।
","5","5","5"
" মহোৎসাহে শুরু করলাম নাচ শেখা।
","5","5","5"
" সালটা বোধ হয় ১৯৯০ হবে।
","5","5","5"
" আমাদের পাড়াতে গুটিকয়েক বাসিন্দা তখন।
","5","5","5"
" সবার মধ্যে খুব মিলমিশ ছিল, বলা যেতে পারে গোটা একটাই পরিবার ছিলাম তখন আমরা।
","5","5","5"
" এই সময় পাড়াতে সবাই মিলে ঠিক হল বাচ্চাদের নিয়ে ছাব্বিশে জানুয়ারি সাংস্কৃতিক অনুষ্ঠান করা হবে।
","5","5","5"
" যেমন ভাবা তেমন কাজ, জোড়তোড় করে আয়োজন শুরু হল।
","5","5","5"
" উৎসাহের চোটে আমার দিনের খাওয়া আর রাতের ঘুম উধাও হওয়ার জোগাড়।
","5","5","5"
" মায়ের চর-চাপাটি খেয়েও কোনো লাভ হচ্ছে না।
","5","5","5"
" আরে হবে নাই বা কেন?
","5","5","5"
" প্রথম স্টেজ পার্ফরমেন্স আমার?
","5","5","5"
" তাও আবার দু-দুটো নাচ।
","5","5","5"
" উদ্বোধন হবে ‘আনন্দলোকে মঙ্গলালোকে’ আর সমাপ্তি নৃত্য ‘মম চিত্তে নিতি নৃত্যে’ দিয়ে।
","5","5","5"
" সদ্য নাচ শেখা শুরু করেছি তো কি হয়েছে?
","5","5","5"
" রোজ এক-দুই-তিন-চার করে প্র্যাকটিস তো করি?
","5","5","5"
" আমাদের নাচ ছাড়াও থাকছে নজরুল গীতি, পরিবেশনে পাশের বাড়ির টেঁপি দিদি আর তার পাশের বাড়ির মান্তুদিদি, সীতাহরন নাট্য এবং পাড়ার পুঁচকেদিগের সমবেত ছড়া পাঠ।
","5","5","5"
" প্রসঙ্গত এই ছড়া পাঠে আবারও নাম নেওয়া হয়েছিল প্রথমে, কিন্তু নাচের ঠেলাতে এমনিতেই পড়াশোনা ডকে উঠেছে দেখে মার ষড়যন্ত্রে নাম বাদ গেল আমার।
","5","5","5"
" যাই হোক, জোরকদমে চলছে প্র্যাকটিস।
","5","5","5"
" নাচতে নাচতে পা ব্যাথা, তবু উৎসাহের শেষ নেই।
","5","5","5"
" ২৬শে জানুয়ারি সকাল থেকেই সাজো সাজো রব।
","5","5","5"
" স্টেজের ডেকোরেশনের ফাইনাল টাচ্ চলছে ।
","5","5","5"
