"sentence","emotion A1","emotion A2","emotion A3"
"তুতুলদের বাগানে ঝাঁক বেঁধে ভুট্টা খেতে এসে একটা টিয়ার ঠিক চোখ পড়েছে খাঁচায় বন্ধ চন্দনার দিকে।
","5","5","5"
" একই জাতের পাখি।
","5","5","5"
" চন্দনার গলায় শুধু লাল একটা দাগ বেড় দিয়ে থাকে।
","5","5","5"
" কথাও নাকি তাড়াতাড়ি শেখে চন্দনারা।
","5","5","5"
" ঝাঁকের অন্য পাখিদের খাঁচাবন্দী চন্দনার দিকে তেমন নজর নেই।
","5","5","5"
" প্রথম প্রথম ভুট্টা খেতে এসে মানুষের গলায় গাল বকুনি শুনে তারা বেশ ঘাবড়ে যেত।
","5","5","5"
" তারপর যখন আবিস্কার করল এ কাজ তাদেরই একজন জাত ভাইয়ের, তখন আর বিশেষ পাত্তা দিত না।
","5","5","5"
" অবশ্য চন্দনার চেঁচামেচিতে পুতুলরা কেউ বা তাদের মালি এসে তাড়া লাগালে উড়ে না পালিয়ে উপায় থাকত না।
","5","5","5"
" কেবল ঝাঁকের একটা পাখি একদিন খাঁচার পাখিটার কাছে এল।
","5","5","5"
" খাঁচায় মুখ লাগিয়ে শুধল, “এ্যাই, তুই এখানে কী করছিস?
","5","5","5"
" ভুট্টা ক্ষেতে কত দানা হয়েছে?
","5","5","5"
" সেসব না খেয়ে তুই এখানে কেন?
","5","5","5"
"” “আমি তো রোজ ছোলা, লঙ্কা আর কখনও কখনও ভুট্টাদানা পাই?
","5","5","5"
" কষ্ট করে খুঁটে খেতে যাব কেন?
","5","5","5"
"” “তাই?
","5","5","5"
" কিন্তু তুই উড়তে পাস না যে?
","5","5","5"
" পাস কি?
","5","5","5"
"” “আমার ওড়ার দরকারও পড়ে না?
","5","5","5"
" এখানে বসেই দিব্যি সব পেয়ে যাই।
","5","5","5"
"” “উড়তে ইচ্ছা করে না?
","5","5","5"
"” “তা আগে করত, এখন অভ্যেস হয়ে গেছে?
","5","5","5"
" মাঝেমাঝে আমায় ছাড়া হয়, একটু চলা ফেরা করি।
","5","5","5"
" তারপর নিজেই এখানে ঢুকে পড়ি।
","5","5","5"
" খাঁচাটাই আমার ঘর।
","5","5","5"
" কিন্তু তোরা আমাদের ভুট্টা খেতে আসিস কেন?
","5","5","5"
" জানিস বাবার কত লোকসান হচ্ছে?
","5","5","5"
"” “আমরা নিজেদের ইচ্ছায় যেখানে খুশি যাই?
","5","5","5"
" কার লাভ হচ্ছে কার লোকসান এতসব বুঝি না।
","5","5","5"
"” “কিন্তু আমি আমার বাগানের ফলমূল নষ্ট হওয়াটা বরদাস্ত করব না।
","5","5","5"
"” “কী করবি তুই?
","5","5","5"
" খাঁচায় আটকে থেকে বড় জোর চেঁচাতে পারিস?
","5","5","5"
"” “আমি চেঁচিয়ে বাড়ির লোক ডেকে আনলে তারাই তোদের ব্যবস্থা করে দেবে।
","5","5","5"
"” কথায় কথায় দুই টিয়ায় ঝগড়াই হয়ে গেল।
","5","5","5"
" পরের দিন টিয়ার ঝাঁক এল না।
","5","5","5"
" একটা কাকতাড়ুয়া ভুট্টা ক্ষেতের মাঝখানে লাগানো হয়েছে।
","5","5","5"
" সেটা দেখেই ভয় পেয়েছে বোধহয়।
","5","5","5"
" খাঁচার চন্দনা ভাবল, যাক, বাঁচা গেল।
","5","5","5"
" আর চেঁচিয়ে লোক ডাকতে হবে না।
","5","5","5"
" আচ্ছা পাজির দল সব।
","5","5","5"
" সব নিকেশ করে দিচ্ছিল।
","5","5","5"
" তার পরের দিনও টিয়ারা এল না।
","5","5","5"
" আজ চন্দনার মনটা আর প্রফুল্ল হল না।
","5","5","5"
" বরং একটু খুঁতখুঁত করতে লাগল।
","5","5","5"
" মানুষের কথা সে অনেক শিখেছে।
","5","5","5"
" টেলিফোন, দরজার ঘন্টা এসবের আওয়াজও নকল করতে পারে।
","5","5","5"
" শাঁখ বাজাতে পারে খালি মুখে।
","5","5","5"
" নিজের ভাষাটাই কেবল ভুলতে বসেছে।
","5","5","5"
" সেই ভাষায় যদি ঝগড়া করার সঙ্গীও পাওয়া যায়, বেশ আরাম হয়।
","5","5","5"
" এভাবে সে রোজ অপেক্ষায় থাকে।
","5","5","5"
" এতদিন পাখিটা মানুষের ভাষায় বকাঝকাই করে গেছে।
","5","5","5"
" সেদিন ঐ দলছুট টিয়াটা এসে মনে করিয়ে দিল, ও মানুষ নয়, টিয়াই।
","5","5","5"
" আকাশে ওড়া ব্যাপারটা কেমন তা সে ভুলেই গেছে।
","5","5","5"
" নিশ্চই দারুণ ব্যাপার হবে।
","5","5","5"
" সেদিন দুজনের মধ্যে ঝগড়া বেধে যাওয়ায় ওড়া নিয়ে বিশেষ আলোচনা হল না।
","5","5","5"
" এতদিন তুতুলদের বাড়িতে থাকতে ধাকতে এটাকেই নিজের মনে হয়।
","5","5","5"
" এই মানুষগুলো তার সাথে কী মিষ্টি ব্যবহার করে, খেতে দেয়, যত্ন করে।
","5","5","5"
" আগে শুধু মাঝেমাঝে ডানা ছেঁটে দিত।
","5","5","5"
" এখন তাও দেয় না।
","5","5","5"
" কিন্তু ঐ ছাড়া পাখির দল- তারা কি ওর চেয়েও ভালো আছে?
","5","5","5"
" দিন তিনেক বাদে টিয়া-চন্দনার ঝাঁকটা আবার সাহস করে ভুট্টা খেতে এল?
","5","5","5"
" আজ আর খাঁচার পাখি তাদের বকাঝকা করল না।
","5","5","5"
" খুঁজতে লাগল সেদিনকার ঝগড়াতে বন্ধুটিকে।
","5","5","5"
" কিন্তু ঝাঁকের মধ্যে আলাদা করে তাকে দেখতে পেল না।
","5","5","5"
" সে নিজে তো এলই না খাঁচার কাছে।
","5","5","5"
" এভাবে দিন যায়।
","5","5","5"
" চন্দনার মন খারাপ বাড়ে।
","5","5","5"
" বাড়ির লোকেরা রাগ করে, “তুই চুপ করে থাকিস কেন?
","5","5","5"
" আমাদের ভুট্টা ওরা শেষ করে ফেলল?
","5","5","5"
" তার ওপর বাগানে ধেড়ে ইঁদুরের উৎপাৎ।
","5","5","5"
" উঃ! বাজারে বিক্রি তো দূর, নিজেরাই খেতে পারছি না এগুলোর জ্বালায়।
","5","5","5"
" তোকেই বা দেব কী?
","5","5","5"
"” চন্দনা চুপ করে রইল?
","5","5","5"
" মাঝেমাঝে তাকে খাঁচার বাইরে এনে খাঁচাটা পরিস্কার করা হয়।
","5","5","5"
" আগে আগে ঐ সময় তার ডানা ছেঁটে দেওয়া হত।
","5","5","5"
" তার উড়ে পালানোর তাগিদ আর বাকি নেই দেখে আজকাল ডানা ছাঁটা বন্ধ হয়েছে।
","5","5","5"
" বরং একটু একটু হাঁটতেও দেওয়া হয়।
","5","5","5"
" খাঁচা পরিস্কার হলে তাকে ভেতরে ঢুকিয়ে দেওয়া হয়।
","5","5","5"
" সে নিজেও লক্ষ্মী ছেলের মতো বিনা আপত্তিতে ঢুকে পড়ে, দানা-পানি খায়।
","5","5","5"
" এই মন খারাপের মধ্যে একদিন চন্দনাটাকে ছাড়া হল বারান্দায়।
","5","5","5"
" অনভ্যস্ত ডানায় সে ঝটপটিয়ে ধেয়ে গেল ভুট্টা ক্ষেতের দিকে।
","5","5","5"
" সন্ধান করল ভুট্টার।
","5","5","5"
" পেল না।
","5","5","5"
" সব পাকা ফল তোলা হয়ে গেছে।
","5","5","5"
" দু-একটি কচি শুধু গাছে লেগে।
","5","5","5"
" সেগুলো ঠুকরে বিশেষ সুবিধা হল না।
","5","5","5"
" “দেখেছ কাণ্ড! মিঠাই বাবাজি কোথায় অন্যান্য পাখিদের তাড়াবে, না নিজেই ক্ষেতে ঢুকে দস্যুবৃত্তি করছে।
","5","5","5"
" শিগ্‌গির ধর ব্যাটাকে, খাঁচায় পোর।
","5","5","5"
"” চট্পট্ ধরা পড়ে চন্দনা ফের খাঁচায়।
","5","5","5"
" না, তাকে বলে কেউ অযত্ন করেনি।
","5","5","5"
" বরং ভুট্টার কিছু দানা তার পাত্রে রেখে দিল তুতুলের মা।
","5","5","5"
" পাখিটা খানিক ঝিম মেরে থেকে সেটাই খেয়ে নিল কিছুটা।
","5","5","5"
" পরের দিন সেই টিয়াটা আবার চন্দনার সামনে এসে বসল।
","5","5","5"
" “কী রে, সব তো দেখছি ফাঁকা।
","5","5","5"
" আমাদের জন্য একটাও নেই।
","5","5","5"
" যাও বা আছে খাওয়া যায় না।
","5","5","5"
" অবশ্য ঠোঁটে চেরাতেও আনন্দ আছে।
","5","5","5"
"” “তুই এতদিন কোথায় ছিলি?
","5","5","5"
" আসিসনি কেন?
","5","5","5"
"” ভেতরে আনন্দ আর অভিমান চেপে রাখতে পারছিল না খাঁচাবাসী?
","5","5","5"
" “আমি?
","5","5","5"
" আমি আমার মতো ঘুরছিলাম?
","5","5","5"
" এখানেও তো এসেছিলাম।
","5","5","5"
" দেখলাম তুই এখানে চুপচাপ বসে আছিস।
","5","5","5"
" আমাদের গালাগাল দিচ্ছিস না।
","5","5","5"
" কিন্তু খাবার খুঁজতে ব্যস্ত থাকতাম তো, তাই কথা বলার সময় পেতাম না।
","5","5","5"
" আজ গাছে কিছু নেই।
","5","5","5"
" সেই ফাঁকে তোর সাথে একটু গল্প করতে এলাম।
","5","5","5"
" এক্ষুণি পাশের বাগানে যেতে হবে।
","5","5","5"
" আমাদের দলটা ঐ দিকেই গেছে।
","5","5","5"
"” “আমায় ওরা দলে নেবে?
","5","5","5"
"” “কেন রে?
","5","5","5"
" তুই যে বলিস সব বিনা পরিশ্রমে পেয়ে যাস?
","5","5","5"
" তাহলে কষ্ট করতে চাইছিস কেন?
","5","5","5"
"” “কষ্ট হবে না?
","5","5","5"
