"sentence","emotion A1","emotion A2","emotion A3"
"পাথরটা ঠাম্মি পেয়েছিল গঙ্গা নাইতে গিয়ে।
","5","5","5"
" প্রত্যেকদিন ভোরবেলার অভ্যেস।
","5","5","5"
" ডুব দিয়ে উঠে এক আঁজলা জল নিয়ে বিড় বিড় করে মন্ত্র পড়া।
","5","5","5"
" সেই সময় হাত থেকে জলটা টুপ টুপ করে পড়ে।
","5","5","5"
" মন্ত্র পড়া আর জল পড়া একসাথে শেষ হলে আর একটা ডুব।
","5","5","5"
" এমনি করে পরপর মোট তিন বার।
","5","5","5"
" বিন্তিও ঠাম্মির সাথে গঙ্গা নাইতে গিয়েছিল সেদিন।
","5","5","5"
" প্রায়ই যায়।
","5","5","5"
" ঠাম্মি হন হন করে হাঁটে এক হাতে কমণ্ডলু আর এক হাতে বিন্তির হাত শক্ত করে ধরে।
","5","5","5"
" তাল রাখতে প্রায় দৌড়োতে হয় ক্লাস ওয়ানে পড়া বিন্তিকে।
","5","5","5"
" অন্যান্য দিনের মতো আগে চান সেরে সাদাবুড়ির পাশে উবু হয়ে বসে ঠাম্মির চান করা দেখছিল বিন্তি।
","5","5","5"
" সাদাবুড়ি সব সময় খঞ্জনী বাজিয়ে বাজিয়ে হরে কৃষ্ণ গান করে।
","5","5","5"
" তার সব সাদা।
","5","5","5"
" চুল সাদা, ভুরু সাদা, গায়ের রঙ সাদা, কাপড় ত ঠাম্মির মতই সাদা, সামনের যে থালাটায় সবাই পয়সা দেয় সেটাও সাদা।
","5","5","5"
" শুধু খঞ্জনী খয়েরী।
","5","5","5"
" ‘উঃ! সবে মাত্তর সুয্যি উঠেছে তবু কী ভীড় আজকে!’ ঠাম্মিকে বারবার চোখের আড়াল হতে দেখে বিরক্ত হয়ে বলেছিল বিন্তি।
","5","5","5"
" ‘হবে নি?
","5","5","5"
" আজ যে শিব রাত্তির দিদিভাই, তার ওপর সোমবার?
","5","5","5"
"’ গান থামিয়ে বলেছিল সাদাবুড়ি।
","5","5","5"
" দিনকে রাত্তির বলল কেন সাদাবুড়ি?
","5","5","5"
" ভাবতে গেলে ডুবগুলো গুলিয়ে যাবে! তাই বিন্তি ভুরু কুঁচকে আবার ঠাম্মির দিকেই চাইল?
","5","5","5"
" তিন নম্বর ডুবটা দিয়ে উঠল ঠাম্মি।
","5","5","5"
" এতক্ষণ সামলে রাখা ঠাম্মির শুকনো কাপড়টা নিয়ে উঠে দাঁড়াল বিন্তি।
","5","5","5"
" পাশে পলিথিনের প্যাকেটে তার ভিজে জামা কাপড় রাখা।
","5","5","5"
" ঠাম্মিকে শুকনো কাপড়টা না দেওয়া পর্যন্ত সেটা ছোঁওয়া মানা।
","5","5","5"
" কিন্তু ঠাম্মি উঠে আসছে না কেন?
","5","5","5"
" মন্তর পড়া শেষ, তবু আঁজলা করে দাঁড়িয়ে কেন?
","5","5","5"
" তখনই ঠাম্মির হাতের আঁজলায় কালো পাথরটা প্রথম দেখল বিন্তি?
","5","5","5"
" ঠিক পায়রার ডিমের মত সাইজ।
","5","5","5"
" চকককে! যেন তেল মাখানো।
","5","5","5"
" ★ ‘অ্যাই, আঙিনা মানে কী রে?
","5","5","5"
"’ ফিসফিস করে সামনে বসা তিতলিকে জিগ্যেস করল বিন্তি?
","5","5","5"
" তিতলি মাথা ঘুরিয়ে কী একটা বলল।
","5","5","5"
" মুখ নড়ল কথা বেরল না।
","5","5","5"
" আবার একই প্রশ্ন জিগ্যেস করল বিন্তি।
","5","5","5"
" তিতলি পেছন ফিরে রবার ধরা বাঁ হাতের মুঠোটা নাড়িয়ে নাড়িয়ে ফিসফিস করে বলল ‘বলচি ত….  …..।
","5","5","5"
"’ শেষটা এবারও শুনতে পেল না বিন্তি।
","5","5","5"
" দেখল রাগী স্যার ওর দিকে কটমট  করে দেখছেন।
","5","5","5"
" তারপর আর জিগ্যেস করার সাহস হয়?
","5","5","5"
" তিতলির ঠোঁট আর হাত নাড়া দেখে যা মনে হলে লিখে দিল?
","5","5","5"
" ‘বিনতা মন্ডল….’ টেস্টের পর খাতা চেক করে ফেরত দেবার সময় স্যার ভুরু টুরু কুঁচকে বললেন ‘কোত্থেকে সব পড়তে চলে আসিস?
","5","5","5"
" ছুটির সময় বাড়ির লোককে দেখা করতে বলবি?
","5","5","5"
" পাস-ফেলের সাথে পড়াশোনাও তুলে দিক! কে নিতে আসে তোকে?
","5","5","5"
"’ সকালে বাবা কাজে বেরনোর সময় গাড়ি করে ইস্কুল পৌঁছে দেয়?
","5","5","5"
" ইস্কুলটা বাড়ির খুব কাছে।
","5","5","5"
" হেঁটেই যাওয়া যায়।
","5","5","5"
" বিন্তিই বাবার গাড়িতে যাবার বায়না করে।
","5","5","5"
" বাবাও হাসতে হাসতে বিন্তি আর ইস্কুল ব্যাগ পাশাপাশি সিটে বসিয়ে চালিয়ে নিয়ে আসে।
","5","5","5"
" মায়ের সাথে রোজ হেঁটেই ফেরে।
","5","5","5"
" ছুটির পর সব শুনে মা রেগে কাঁই! ‘পই পই করে বল্লুম কাল গঙ্গা-নাইতে যাসনি! একটু বই খুললি নি।
","5","5","5"
" এখন আবার কী বাক্যি শুনতে হবে কে জানে!’ হিড় হিড় করে টানতে টানতে আতঙ্কে চুপসে যাওয়া বিন্তিকে নিয়ে মাস্টারদের ঘরের সামনে নিয়ে গেল মা।
","5","5","5"
" হাফ ডোর প্রায় ধাক্কা দিয়ে ঠেলে ঢুকে বিন্তিকে অবাক করে ইংরেজিতে জিগ্যেস করল- ‘মে আই কামিনি স্যার?
","5","5","5"
"’ ★ ‘রিক্সাটা কাল থেকে বাইরে রেখুনি?
","5","5","5"
" কবে চোরে টেনে নিয়ে যাবে, ভাত বন্দো হয়ে যাবে।
","5","5","5"
" আঙিনাটা খালি করে রেকেচি, কাল থেকে ওখানেই রেকো।
","5","5","5"
"’ স্টোভ জ্বালাতে জ্বালাতে বলল বিন্তির  মা।
","5","5","5"
" ‘কোথায় রাখব?
","5","5","5"
"’ বলল বিন্তির বাবা, তার সুবিশাল মিশকালো চেহারার ঘাম মুছতে মুছতে?
","5","5","5"
" ‘যেমন বাপ তেমনি মেয়ে! আঙিনা মানেও জানে না।
","5","5","5"
" মানে উঠোন।
","5","5","5"
" কাল থেকে উঠোনেই রেখো তোমার রিক্সা।
","5","5","5"
"’ ‘তুমিও ত জানতে না।
","5","5","5"
"’ মায়ের পাশে বসে হাতের লেখা লিখতে লিখতে বলল বিন্তি ‘স্যারকে জিগ্যেস করে জানলে।
","5","5","5"
"’ ‘তুই চুপ কর! সব সময় মুখে মুখে কতা?
","5","5","5"
" দেব এটা মুকে গুঁজে?
","5","5","5"
"’ রুটি বেলার বেলুনটা তুলে ধরে বলল মা?
","5","5","5"
" বিন্তি মারের ভয়ে কুঁকড়ে গেল।
","5","5","5"
" ‘ধুস্! সারা দিন মুখ দিয়ে রক্ত তুলে খেটে এলাম আর এই শুরু হল।
","5","5","5"
"’ বিন্তির বাবা একটু ভুল বলল।
","5","5","5"
" শুরু হল না, এরকম চলতেই থাকে।
","5","5","5"
" গলার ঝাঁঝ একটু কমিয়ে বিন্তির মা বলল ‘মেয়ের টিউশানির টাকা জোগাড় করে রেকো।
","5","5","5"
" মাসে পাঁচশো।
","5","5","5"
"’ ‘পাঁচশো!’ ‘ইস্কুলের স্যার বলেচে নইলে নেকাপড়া হবেনি।
","5","5","5"
"’ ‘কেন?
","5","5","5"
"’ ‘তোমার মেয়ে লিকেচে আঙিনা মানে মুঠো?
","5","5","5"
"’ রুটি বেলতে বেলতে বলল বিন্তির মা।
","5","5","5"
" ‘মুঠো?
","5","5","5"
" সেকী রে! মুঠো কেন লিকলি রে মা?
","5","5","5"
"’ কালো মুখটায় ঝকঝকে দাঁতে হাসলে বাবাকে কী সুন্দর দেখায়! ‘তিতলি বলল ত! হাতের মুঠো নেড়ে দেখাল?
","5","5","5"
"’ সাহস পেয়ে বলল বিন্তি।
","5","5","5"
" ‘ও তোকে ভুল ত বলবেই।
","5","5","5"
" স্যারের কাছে পড়ে ত।
","5","5","5"
"’ বলল মা।
","5","5","5"
" ‘আহা।
","5","5","5"
" তিতলি হয়ত উঠোনই বলেচে।
","5","5","5"
"’ বলল বাবা ‘বিন্তি ভুল করে মুঠো শুনেচে।
","5","5","5"
"’ ‘তুমি আর মেয়েকে লাই দিওনি।
","5","5","5"
" টিউশানির টাকা জোগাড়ের মুরোদ নেই! থাক তুই গো মুখ্যু হয়ে।
","5","5","5"
" আমার মত রিক্সাওলার বউ হয়ে সারা জীবন পচে মর!’ রাগে ফেটে পড়ে বলল মা।
","5","5","5"
" ভয়ের চোটে বিন্তি বইয়ে মুখ গুঁজল।
","5","5","5"
" বিন্তির বাবা ‘ধুস!’ বলে রিক্সার চাবিটা দুয়ারে ছুঁড়ে ফেলে খালি বালতিটা তুলে বাইরে রাস্তার কলে চান করতে চলল।
","5","5","5"
" ‘কাল খাটাল থেকে একটু কাঁচা গোরুর দুধ আনিস ত খোকা।
","5","5","5"
" আমার ভোলা খুব ভালবাসে।
","5","5","5"
"’ ঘরে এতক্ষণ পুজো করছিল ঠাম্মি।
","5","5","5"
" বেরিয়ে এসে বলল।
","5","5","5"
" ‘ভোলা আবার কে?
","5","5","5"
"’ থমকে দাঁড়িয়ে অবাক হয়ে বলল বিন্তির বাবা?
","5","5","5"
" ★ সারা ঘর ভর্তি ধূপের ধোঁয়া।
","5","5","5"
" কী সুন্দর গন্ধ! বুকের ধকধকানিটা একটু কমল বিন্তির।
","5","5","5"
" ঘরের ভেতর ঠাম্মির পুজোর সিংহাসন থেকে যেন আলো বেরোচ্ছে! ‘ঠাকুরগো, আজ যেন ছ্যার বকুনি না দেয়।
","5","5","5"
" সব যেন লিকতে পারি।
","5","5","5"
"’ জোড়-হাতে গড় করে বলল বিন্তি।
","5","5","5"
" দুধ ভর্তি পাথরের বাটিতে রাখা ভোলা অর্থাৎ ঠাম্মির আনা কালো পাথরটা থরথর করে কেঁপে উঠে খানিকটা দুধ চলকে দিল! ধড়মড় করে ঘুম থেকে উঠে বসল বিন্তি।
","5","5","5"
" ★ ইস্কুলে গিয়ে সেই দিনের মত আনন্দ কোন দিন পায়নি বিন্তি।
","5","5","5"
" স্যার যেন পুরো পালটে গেছে।
","5","5","5"
" সারাক্ষণ শুধু খেলা আর গল্প।
","5","5","5"
" আর একটু একটু শুধু পড়া, তাও কী মজার! সেটার নামই দিলেন মজার পড়াশুনো।
","5","5","5"
" ছুটির সময় সবার গার্জেনকে ডেকে বলে দিলেন কোন হোম-ওয়ার্ক নাই।
","5","5","5"
" বাড়িতে বেশী পড়ানোর দরকার নেই।
","5","5","5"
" মায়ের হাত ধরে নাচতে নাচতে বাড়ি ফিরল বিন্তি।
","5","5","5"
